Date,Grass Temperature
2021/07/01 17:00,37.3,
2021/07/01 17:01,37.3,
2021/07/01 17:02,37.3,
2021/07/01 17:03,37.4,
2021/07/01 17:04,37.4,
2021/07/01 17:05,37.4,
2021/07/01 17:06,37.4,
2021/07/01 17:07,37.4,
2021/07/01 17:08,37.4,
2021/07/01 17:09,37.3,
2021/07/01 17:10,37.1,
2021/07/01 17:11,37.2,
2021/07/01 17:12,37.2,
2021/07/01 17:13,37.1,
2021/07/01 17:14,37.0,
2021/07/01 17:15,36.7,
2021/07/01 17:16,36.4,
2021/07/01 17:17,36.2,
2021/07/01 17:18,36.2,
2021/07/01 17:19,36.1,
2021/07/01 17:20,35.8,
2021/07/01 17:21,35.5,
2021/07/01 17:22,35.4,
2021/07/01 17:23,35.4,
2021/07/01 17:24,35.1,
2021/07/01 17:25,34.9,
2021/07/01 17:26,34.9,
2021/07/01 17:27,35.0,
2021/07/01 17:28,34.9,
2021/07/01 17:29,34.8,
2021/07/01 17:30,34.7,
2021/07/01 17:31,34.5,
2021/07/01 17:32,34.4,
2021/07/01 17:33,34.2,
2021/07/01 17:34,34.1,
2021/07/01 17:35,33.9,
2021/07/01 17:36,33.6,
2021/07/01 17:37,33.5,
2021/07/01 17:38,33.5,
2021/07/01 17:39,33.5,
2021/07/01 17:40,33.3,
2021/07/01 17:41,33.1,
2021/07/01 17:42,32.9,
2021/07/01 17:43,32.8,
2021/07/01 17:44,32.7,
2021/07/01 17:45,32.5,
2021/07/01 17:46,32.4,
2021/07/01 17:47,32.2,
2021/07/01 17:48,32.1,
2021/07/01 17:49,32.0,
2021/07/01 17:50,31.9,
2021/07/01 17:51,31.9,
2021/07/01 17:52,31.7,
2021/07/01 17:53,31.6,
2021/07/01 17:54,31.5,
2021/07/01 17:55,31.4,
2021/07/01 17:56,31.3,
2021/07/01 17:57,31.2,
2021/07/01 17:58,31.2,
2021/07/01 17:59,31.1,
2021/07/01 18:00,31.1,
2021/07/01 18:01,31.0,
2021/07/01 18:02,30.9,
2021/07/01 18:03,30.9,
2021/07/01 18:04,30.8,
2021/07/01 18:05,30.7,
2021/07/01 18:06,30.7,
2021/07/01 18:07,30.6,
2021/07/01 18:08,30.5,
2021/07/01 18:09,30.4,
2021/07/01 18:10,30.4,
2021/07/01 18:11,30.4,
2021/07/01 18:12,30.4,
2021/07/01 18:13,30.4,
2021/07/01 18:14,30.4,
2021/07/01 18:15,30.3,
2021/07/01 18:16,30.3,
2021/07/01 18:17,30.2,
2021/07/01 18:18,30.1,
2021/07/01 18:19,30.2,
2021/07/01 18:20,30.2,
2021/07/01 18:21,30.2,
2021/07/01 18:22,30.2,
2021/07/01 18:23,30.1,
2021/07/01 18:24,30.1,
2021/07/01 18:25,30.0,
2021/07/01 18:26,30.0,
2021/07/01 18:27,29.9,
2021/07/01 18:28,29.9,
2021/07/01 18:29,29.9,
2021/07/01 18:30,29.9,
2021/07/01 18:31,29.9,
2021/07/01 18:32,29.8,
2021/07/01 18:33,29.8,
2021/07/01 18:34,29.7,
2021/07/01 18:35,29.6,
2021/07/01 18:36,29.6,
2021/07/01 18:37,29.6,
2021/07/01 18:38,29.5,
2021/07/01 18:39,29.5,
2021/07/01 18:40,29.5,
2021/07/01 18:41,29.4,
2021/07/01 18:42,29.4,
2021/07/01 18:43,29.4,
2021/07/01 18:44,29.4,
2021/07/01 18:45,29.4,
2021/07/01 18:46,29.4,
2021/07/01 18:47,29.4,
2021/07/01 18:48,29.4,
2021/07/01 18:49,29.4,
2021/07/01 18:50,29.4,
2021/07/01 18:51,29.4,
2021/07/01 18:52,29.4,
2021/07/01 18:53,29.4,
2021/07/01 18:54,29.4,
2021/07/01 18:55,29.3,
2021/07/01 18:56,29.3,
2021/07/01 18:57,29.2,
2021/07/01 18:58,29.2,
2021/07/01 18:59,29.2,
2021/07/01 19:00,29.2,
2021/07/01 19:01,29.2,
2021/07/01 19:02,29.1,
2021/07/01 19:03,29.1,
2021/07/01 19:04,29.1,
2021/07/01 19:05,29.1,
2021/07/01 19:06,29.0,
2021/07/01 19:07,29.0,
2021/07/01 19:08,29.0,
2021/07/01 19:09,29.0,
2021/07/01 19:10,29.0,
2021/07/01 19:11,29.0,
2021/07/01 19:12,29.0,
2021/07/01 19:13,29.0,
2021/07/01 19:14,29.0,
2021/07/01 19:15,29.0,
2021/07/01 19:16,29.0,
2021/07/01 19:17,28.9,
2021/07/01 19:18,28.9,
2021/07/01 19:19,28.9,
2021/07/01 19:20,28.9,
2021/07/01 19:21,28.9,
2021/07/01 19:22,28.8,
2021/07/01 19:23,28.8,
2021/07/01 19:24,28.8,
2021/07/01 19:25,28.8,
2021/07/01 19:26,28.7,
2021/07/01 19:27,28.7,
2021/07/01 19:28,28.7,
2021/07/01 19:29,28.7,
2021/07/01 19:30,28.8,
2021/07/01 19:31,28.8,
2021/07/01 19:32,28.7,
2021/07/01 19:33,28.6,
2021/07/01 19:34,28.6,
2021/07/01 19:35,28.6,
2021/07/01 19:36,28.6,
2021/07/01 19:37,28.6,
2021/07/01 19:38,28.5,
2021/07/01 19:39,28.5,
2021/07/01 19:40,28.5,
2021/07/01 19:41,28.5,
2021/07/01 19:42,28.5,
2021/07/01 19:43,28.5,
2021/07/01 19:44,28.5,
2021/07/01 19:45,28.5,
2021/07/01 19:46,28.6,
2021/07/01 19:47,28.6,
2021/07/01 19:48,28.5,
2021/07/01 19:49,28.5,
2021/07/01 19:50,28.5,
2021/07/01 19:51,28.5,
2021/07/01 19:52,28.5,
2021/07/01 19:53,28.5,
2021/07/01 19:54,28.6,
2021/07/01 19:55,28.6,
2021/07/01 19:56,28.6,
2021/07/01 19:57,28.5,
2021/07/01 19:58,28.5,
2021/07/01 19:59,28.5,
2021/07/01 20:00,28.5,
2021/07/01 20:01,28.5,
2021/07/01 20:02,28.5,
2021/07/01 20:03,28.5,
2021/07/01 20:04,28.5,
2021/07/01 20:05,28.4,
2021/07/01 20:06,28.5,
2021/07/01 20:07,28.5,
2021/07/01 20:08,28.5,
2021/07/01 20:09,28.4,
2021/07/01 20:10,28.4,
2021/07/01 20:11,28.4,
2021/07/01 20:12,28.4,
2021/07/01 20:13,28.4,
2021/07/01 20:14,28.4,
2021/07/01 20:15,28.5,
2021/07/01 20:16,28.6,
2021/07/01 20:17,28.5,
2021/07/01 20:18,28.4,
2021/07/01 20:19,28.4,
2021/07/01 20:20,28.4,
2021/07/01 20:21,28.4,
2021/07/01 20:22,28.4,
2021/07/01 20:23,28.4,
2021/07/01 20:24,28.4,
2021/07/01 20:25,28.4,
2021/07/01 20:26,28.4,
2021/07/01 20:27,28.5,
2021/07/01 20:28,28.4,
2021/07/01 20:29,28.4,
2021/07/01 20:30,28.4,
2021/07/01 20:31,28.5,
2021/07/01 20:32,28.5,
2021/07/01 20:33,28.4,
2021/07/01 20:34,28.4,
2021/07/01 20:35,28.4,
2021/07/01 20:36,28.4,
2021/07/01 20:37,28.4,
2021/07/01 20:38,28.4,
2021/07/01 20:39,28.4,
2021/07/01 20:40,28.4,
2021/07/01 20:41,28.4,
2021/07/01 20:42,28.4,
2021/07/01 20:43,28.4,
2021/07/01 20:44,28.4,
2021/07/01 20:45,28.3,
2021/07/01 20:46,28.3,
2021/07/01 20:47,28.3,
2021/07/01 20:48,28.3,
2021/07/01 20:49,28.3,
2021/07/01 20:50,28.3,
2021/07/01 20:51,28.3,
2021/07/01 20:52,28.4,
2021/07/01 20:53,28.4,
2021/07/01 20:54,28.4,
2021/07/01 20:55,28.4,
2021/07/01 20:56,28.4,
2021/07/01 20:57,28.4,
2021/07/01 20:58,28.4,
2021/07/01 20:59,28.3,
2021/07/01 21:00,28.3,
2021/07/01 21:01,28.3,
2021/07/01 21:02,28.4,
2021/07/01 21:03,28.4,
2021/07/01 21:04,28.4,
2021/07/01 21:05,28.4,
2021/07/01 21:06,28.4,
2021/07/01 21:07,28.4,
2021/07/01 21:08,28.4,
2021/07/01 21:09,28.4,
2021/07/01 21:10,28.4,
2021/07/01 21:11,28.4,
2021/07/01 21:12,28.4,
2021/07/01 21:13,28.3,
2021/07/01 21:14,28.3,
2021/07/01 21:15,28.3,
2021/07/01 21:16,28.4,
2021/07/01 21:17,28.4,
2021/07/01 21:18,28.3,
2021/07/01 21:19,28.3,
2021/07/01 21:20,28.3,
2021/07/01 21:21,28.3,
2021/07/01 21:22,28.2,
2021/07/01 21:23,28.2,
2021/07/01 21:24,28.2,
2021/07/01 21:25,28.2,
2021/07/01 21:26,28.2,
2021/07/01 21:27,28.2,
2021/07/01 21:28,28.2,
2021/07/01 21:29,28.2,
2021/07/01 21:30,28.2,
2021/07/01 21:31,28.2,
2021/07/01 21:32,28.2,
2021/07/01 21:33,28.2,
2021/07/01 21:34,28.2,
2021/07/01 21:35,28.3,
2021/07/01 21:36,28.2,
2021/07/01 21:37,28.1,
2021/07/01 21:38,28.1,
2021/07/01 21:39,28.1,
2021/07/01 21:40,28.1,
2021/07/01 21:41,28.1,
2021/07/01 21:42,28.2,
2021/07/01 21:43,28.2,
2021/07/01 21:44,28.1,
2021/07/01 21:45,28.1,
2021/07/01 21:46,28.2,
2021/07/01 21:47,28.2,
2021/07/01 21:48,28.2,
2021/07/01 21:49,28.1,
2021/07/01 21:50,28.1,
2021/07/01 21:51,28.1,
2021/07/01 21:52,28.1,
2021/07/01 21:53,28.1,
2021/07/01 21:54,28.1,
2021/07/01 21:55,28.2,
2021/07/01 21:56,28.2,
2021/07/01 21:57,28.1,
2021/07/01 21:58,28.1,
2021/07/01 21:59,28.1,
2021/07/01 22:00,28.1,
2021/07/01 22:01,28.1,
2021/07/01 22:02,28.2,
2021/07/01 22:03,28.2,
2021/07/01 22:04,28.2,
2021/07/01 22:05,28.2,
2021/07/01 22:06,28.2,
2021/07/01 22:07,28.2,
2021/07/01 22:08,28.2,
2021/07/01 22:09,28.1,
2021/07/01 22:10,28.1,
2021/07/01 22:11,28.1,
2021/07/01 22:12,28.1,
2021/07/01 22:13,28.1,
2021/07/01 22:14,28.1,
2021/07/01 22:15,28.1,
2021/07/01 22:16,28.0,
2021/07/01 22:17,28.0,
2021/07/01 22:18,28.0,
2021/07/01 22:19,28.1,
2021/07/01 22:20,28.1,
2021/07/01 22:21,28.0,
2021/07/01 22:22,28.1,
2021/07/01 22:23,28.1,
2021/07/01 22:24,28.2,
2021/07/01 22:25,28.1,
2021/07/01 22:26,28.1,
2021/07/01 22:27,28.1,
2021/07/01 22:28,28.2,
2021/07/01 22:29,28.2,
2021/07/01 22:30,28.2,
2021/07/01 22:31,28.1,
2021/07/01 22:32,28.1,
2021/07/01 22:33,28.1,
2021/07/01 22:34,28.1,
2021/07/01 22:35,28.1,
2021/07/01 22:36,28.1,
2021/07/01 22:37,28.1,
2021/07/01 22:38,28.1,
2021/07/01 22:39,28.1,
2021/07/01 22:40,28.1,
2021/07/01 22:41,28.1,
2021/07/01 22:42,28.1,
2021/07/01 22:43,28.1,
2021/07/01 22:44,28.1,
2021/07/01 22:45,28.1,
2021/07/01 22:46,28.1,
2021/07/01 22:47,28.2,
2021/07/01 22:48,28.1,
2021/07/01 22:49,28.2,
2021/07/01 22:50,28.2,
2021/07/01 22:51,28.2,
2021/07/01 22:52,28.2,
2021/07/01 22:53,28.2,
2021/07/01 22:54,28.2,
2021/07/01 22:55,28.1,
2021/07/01 22:56,28.1,
2021/07/01 22:57,28.1,
2021/07/01 22:58,28.1,
2021/07/01 22:59,28.1,
2021/07/01 23:00,28.1,
2021/07/01 23:01,28.2,
2021/07/01 23:02,28.1,
2021/07/01 23:03,28.1,
2021/07/01 23:04,28.0,
2021/07/01 23:05,28.0,
2021/07/01 23:06,28.0,
2021/07/01 23:07,28.0,
2021/07/01 23:08,28.0,
2021/07/01 23:09,28.0,
2021/07/01 23:10,28.1,
2021/07/01 23:11,28.1,
2021/07/01 23:12,28.1,
2021/07/01 23:13,28.1,
2021/07/01 23:14,28.1,
2021/07/01 23:15,28.1,
2021/07/01 23:16,28.1,
2021/07/01 23:17,28.1,
2021/07/01 23:18,28.2,
2021/07/01 23:19,28.1,
2021/07/01 23:20,28.1,
2021/07/01 23:21,28.1,
2021/07/01 23:22,28.1,
2021/07/01 23:23,28.1,
2021/07/01 23:24,28.1,
2021/07/01 23:25,28.1,
2021/07/01 23:26,28.1,
2021/07/01 23:27,28.1,
2021/07/01 23:28,28.1,
2021/07/01 23:29,28.1,
2021/07/01 23:30,28.1,
2021/07/01 23:31,28.1,
2021/07/01 23:32,28.1,
2021/07/01 23:33,28.2,
2021/07/01 23:34,28.2,
2021/07/01 23:35,28.2,
2021/07/01 23:36,28.1,
2021/07/01 23:37,28.0,
2021/07/01 23:38,28.0,
2021/07/01 23:39,28.0,
2021/07/01 23:40,28.0,
2021/07/01 23:41,28.0,
2021/07/01 23:42,28.0,
2021/07/01 23:43,28.0,
2021/07/01 23:44,28.0,
2021/07/01 23:45,28.0,
2021/07/01 23:46,27.9,
2021/07/01 23:47,27.9,
2021/07/01 23:48,27.9,
2021/07/01 23:49,27.9,
2021/07/01 23:50,27.9,
2021/07/01 23:51,27.9,
2021/07/01 23:52,27.9,
2021/07/01 23:53,28.0,
2021/07/01 23:54,28.0,
2021/07/01 23:55,28.0,
2021/07/01 23:56,28.0,
2021/07/01 23:57,28.0,
2021/07/01 23:58,28.1,
2021/07/01 23:59,28.1,
2021/07/02 0:00,28.1,
2021/07/02 0:01,28.1,
2021/07/02 0:02,28.1,
2021/07/02 0:03,28.0,
2021/07/02 0:04,28.0,
2021/07/02 0:05,28.0,
2021/07/02 0:06,28.0,
2021/07/02 0:07,28.0,
2021/07/02 0:08,28.0,
2021/07/02 0:09,28.0,
2021/07/02 0:10,28.0,
2021/07/02 0:11,28.0,
2021/07/02 0:12,28.0,
2021/07/02 0:13,28.0,
2021/07/02 0:14,28.1,
2021/07/02 0:15,28.0,
2021/07/02 0:16,28.0,
2021/07/02 0:17,28.0,
2021/07/02 0:18,28.0,
2021/07/02 0:19,28.1,
2021/07/02 0:20,28.0,
2021/07/02 0:21,28.0,
2021/07/02 0:22,28.0,
2021/07/02 0:23,28.1,
2021/07/02 0:24,28.0,
2021/07/02 0:25,28.0,
2021/07/02 0:26,28.0,
2021/07/02 0:27,28.0,
2021/07/02 0:28,28.0,
2021/07/02 0:29,28.0,
2021/07/02 0:30,28.0,
2021/07/02 0:31,28.0,
2021/07/02 0:32,28.0,
2021/07/02 0:33,28.0,
2021/07/02 0:34,28.0,
2021/07/02 0:35,28.0,
2021/07/02 0:36,28.0,
2021/07/02 0:37,28.0,
2021/07/02 0:38,28.0,
2021/07/02 0:39,28.0,
2021/07/02 0:40,28.0,
2021/07/02 0:41,28.0,
2021/07/02 0:42,28.0,
2021/07/02 0:43,28.0,
2021/07/02 0:44,28.0,
2021/07/02 0:45,28.0,
2021/07/02 0:46,28.0,
2021/07/02 0:47,28.0,
2021/07/02 0:48,28.0,
2021/07/02 0:49,28.0,
2021/07/02 0:50,28.0,
2021/07/02 0:51,27.9,
2021/07/02 0:52,27.9,
2021/07/02 0:53,28.0,
2021/07/02 0:54,28.0,
2021/07/02 0:55,27.9,
2021/07/02 0:56,27.9,
2021/07/02 0:57,27.9,
2021/07/02 0:58,28.0,
2021/07/02 0:59,27.9,
2021/07/02 1:00,27.9,
2021/07/02 1:01,27.9,
2021/07/02 1:02,27.8,
2021/07/02 1:03,27.9,
2021/07/02 1:04,27.9,
2021/07/02 1:05,27.9,
2021/07/02 1:06,27.9,
2021/07/02 1:07,27.9,
2021/07/02 1:08,27.9,
2021/07/02 1:09,27.9,
2021/07/02 1:10,27.9,
2021/07/02 1:11,28.0,
2021/07/02 1:12,28.0,
2021/07/02 1:13,28.0,
2021/07/02 1:14,27.9,
2021/07/02 1:15,27.9,
2021/07/02 1:16,27.9,
2021/07/02 1:17,27.9,
2021/07/02 1:18,27.9,
2021/07/02 1:19,27.9,
2021/07/02 1:20,27.9,
2021/07/02 1:21,27.9,
2021/07/02 1:22,27.9,
2021/07/02 1:23,27.9,
2021/07/02 1:24,27.9,
2021/07/02 1:25,27.9,
2021/07/02 1:26,27.9,
2021/07/02 1:27,28.0,
2021/07/02 1:28,27.9,
2021/07/02 1:29,27.9,
2021/07/02 1:30,28.0,
2021/07/02 1:31,28.0,
2021/07/02 1:32,28.0,
2021/07/02 1:33,28.0,
2021/07/02 1:34,28.0,
2021/07/02 1:35,28.0,
2021/07/02 1:36,27.9,
2021/07/02 1:37,28.0,
2021/07/02 1:38,28.0,
2021/07/02 1:39,28.0,
2021/07/02 1:40,27.9,
2021/07/02 1:41,27.9,
2021/07/02 1:42,28.0,
2021/07/02 1:43,28.0,
2021/07/02 1:44,27.9,
2021/07/02 1:45,27.9,
2021/07/02 1:46,27.8,
2021/07/02 1:47,27.8,
2021/07/02 1:48,27.8,
2021/07/02 1:49,27.8,
2021/07/02 1:50,27.8,
2021/07/02 1:51,27.8,
2021/07/02 1:52,27.8,
2021/07/02 1:53,27.8,
2021/07/02 1:54,27.8,
2021/07/02 1:55,27.8,
2021/07/02 1:56,27.8,
2021/07/02 1:57,27.8,
2021/07/02 1:58,27.8,
2021/07/02 1:59,27.8,
2021/07/02 2:00,27.8,
2021/07/02 2:01,27.8,
2021/07/02 2:02,27.8,
2021/07/02 2:03,27.8,
2021/07/02 2:04,27.8,
2021/07/02 2:05,27.8,
2021/07/02 2:06,27.8,
2021/07/02 2:07,27.8,
2021/07/02 2:08,27.8,
2021/07/02 2:09,27.8,
2021/07/02 2:10,27.8,
2021/07/02 2:11,27.8,
2021/07/02 2:12,27.8,
2021/07/02 2:13,27.8,
2021/07/02 2:14,27.8,
2021/07/02 2:15,27.8,
2021/07/02 2:16,27.8,
2021/07/02 2:17,27.9,
2021/07/02 2:18,27.9,
2021/07/02 2:19,27.9,
2021/07/02 2:20,27.9,
2021/07/02 2:21,27.9,
2021/07/02 2:22,27.9,
2021/07/02 2:23,27.9,
2021/07/02 2:24,27.9,
2021/07/02 2:25,27.9,
2021/07/02 2:26,27.9,
2021/07/02 2:27,27.9,
2021/07/02 2:28,27.9,
2021/07/02 2:29,27.9,
2021/07/02 2:30,27.9,
2021/07/02 2:31,27.9,
2021/07/02 2:32,28.0,
2021/07/02 2:33,27.9,
2021/07/02 2:34,27.9,
2021/07/02 2:35,27.9,
2021/07/02 2:36,27.9,
2021/07/02 2:37,28.0,
2021/07/02 2:38,28.0,
2021/07/02 2:39,27.9,
2021/07/02 2:40,27.9,
2021/07/02 2:41,27.9,
2021/07/02 2:42,27.9,
2021/07/02 2:43,27.9,
2021/07/02 2:44,27.9,
2021/07/02 2:45,27.9,
2021/07/02 2:46,27.9,
2021/07/02 2:47,27.9,
2021/07/02 2:48,27.9,
2021/07/02 2:49,27.9,
2021/07/02 2:50,27.9,
2021/07/02 2:51,27.9,
2021/07/02 2:52,27.9,
2021/07/02 2:53,27.9,
2021/07/02 2:54,27.9,
2021/07/02 2:55,27.9,
2021/07/02 2:56,27.9,
2021/07/02 2:57,27.9,
2021/07/02 2:58,27.9,
2021/07/02 2:59,27.9,
