Date,Visibility
2021/07/03 0:00,28130.0,
2021/07/03 0:01,28520.0,
2021/07/03 0:02,29950.0,
2021/07/03 0:03,30810.0,
2021/07/03 0:04,32450.0,
2021/07/03 0:05,32870.0,
2021/07/03 0:06,34210.0,
2021/07/03 0:07,33470.0,
2021/07/03 0:08,32660.0,
2021/07/03 0:09,32350.0,
2021/07/03 0:10,31820.0,
2021/07/03 0:11,31840.0,
2021/07/03 0:12,30670.0,
2021/07/03 0:13,30190.0,
2021/07/03 0:14,29310.0,
2021/07/03 0:15,30040.0,
2021/07/03 0:16,29800.0,
2021/07/03 0:17,30040.0,
2021/07/03 0:18,30110.0,
2021/07/03 0:19,30230.0,
2021/07/03 0:20,30740.0,
2021/07/03 0:21,,
2021/07/03 0:22,,
2021/07/03 0:23,31360.0,
2021/07/03 0:24,31800.0,
2021/07/03 0:25,31120.0,
2021/07/03 0:26,30150.0,
2021/07/03 0:27,30210.0,
2021/07/03 0:28,30260.0,
2021/07/03 0:29,30570.0,
2021/07/03 0:30,29890.0,
2021/07/03 0:31,29710.0,
2021/07/03 0:32,29690.0,
2021/07/03 0:33,29550.0,
2021/07/03 0:34,29510.0,
2021/07/03 0:35,29390.0,
2021/07/03 0:36,,
2021/07/03 0:37,29660.0,
2021/07/03 0:38,29570.0,
2021/07/03 0:39,,
2021/07/03 0:40,29680.0,
2021/07/03 0:41,29240.0,
2021/07/03 0:42,29090.0,
2021/07/03 0:43,,
2021/07/03 0:44,28790.0,
2021/07/03 0:45,28430.0,
2021/07/03 0:46,28280.0,
2021/07/03 0:47,28190.0,
2021/07/03 0:48,28850.0,
2021/07/03 0:49,28830.0,
2021/07/03 0:50,29330.0,
2021/07/03 0:51,29160.0,
2021/07/03 0:52,28880.0,
2021/07/03 0:53,28960.0,
2021/07/03 0:54,28590.0,
2021/07/03 0:55,29510.0,
2021/07/03 0:56,30070.0,
2021/07/03 0:57,30020.0,
2021/07/03 0:58,29510.0,
2021/07/03 0:59,29230.0,
2021/07/03 1:00,28580.0,
2021/07/03 1:01,28560.0,
2021/07/03 1:02,28630.0,
2021/07/03 1:03,28520.0,
2021/07/03 1:04,28500.0,
2021/07/03 1:05,28720.0,
2021/07/03 1:06,28750.0,
2021/07/03 1:07,28900.0,
2021/07/03 1:08,29310.0,
2021/07/03 1:09,29380.0,
2021/07/03 1:10,30210.0,
2021/07/03 1:11,31440.0,
2021/07/03 1:12,32450.0,
2021/07/03 1:13,33100.0,
2021/07/03 1:14,33500.0,
2021/07/03 1:15,32750.0,
2021/07/03 1:16,31680.0,
2021/07/03 1:17,32300.0,
2021/07/03 1:18,32040.0,
2021/07/03 1:19,31760.0,
2021/07/03 1:20,30860.0,
2021/07/03 1:21,29460.0,
2021/07/03 1:22,28300.0,
2021/07/03 1:23,27840.0,
2021/07/03 1:24,27120.0,
2021/07/03 1:25,27450.0,
2021/07/03 1:26,26960.0,
2021/07/03 1:27,26820.0,
2021/07/03 1:28,26690.0,
2021/07/03 1:29,26540.0,
2021/07/03 1:30,25910.0,
2021/07/03 1:31,27090.0,
2021/07/03 1:32,27580.0,
2021/07/03 1:33,27780.0,
2021/07/03 1:34,28300.0,
2021/07/03 1:35,27410.0,
2021/07/03 1:36,28290.0,
2021/07/03 1:37,28680.0,
2021/07/03 1:38,28750.0,
2021/07/03 1:39,29390.0,
2021/07/03 1:40,30800.0,
2021/07/03 1:41,30220.0,
2021/07/03 1:42,31110.0,
2021/07/03 1:43,31270.0,
2021/07/03 1:44,31770.0,
2021/07/03 1:45,32340.0,
2021/07/03 1:46,32220.0,
2021/07/03 1:47,32310.0,
2021/07/03 1:48,32100.0,
2021/07/03 1:49,31650.0,
2021/07/03 1:50,31730.0,
2021/07/03 1:51,32180.0,
2021/07/03 1:52,30870.0,
2021/07/03 1:53,31180.0,
2021/07/03 1:54,31370.0,
2021/07/03 1:55,31280.0,
2021/07/03 1:56,31370.0,
2021/07/03 1:57,31530.0,
2021/07/03 1:58,31680.0,
2021/07/03 1:59,31860.0,
2021/07/03 2:00,31530.0,
2021/07/03 2:01,30910.0,
2021/07/03 2:02,30990.0,
2021/07/03 2:03,31030.0,
2021/07/03 2:04,30960.0,
2021/07/03 2:05,31430.0,
2021/07/03 2:06,33460.0,
2021/07/03 2:07,33560.0,
2021/07/03 2:08,34170.0,
2021/07/03 2:09,34530.0,
2021/07/03 2:10,35810.0,
2021/07/03 2:11,36480.0,
2021/07/03 2:12,36760.0,
2021/07/03 2:13,37330.0,
2021/07/03 2:14,36910.0,
2021/07/03 2:15,34750.0,
2021/07/03 2:16,33350.0,
2021/07/03 2:17,32420.0,
2021/07/03 2:18,31620.0,
2021/07/03 2:19,30070.0,
2021/07/03 2:20,29390.0,
2021/07/03 2:21,,
2021/07/03 2:22,28990.0,
2021/07/03 2:23,29320.0,
2021/07/03 2:24,27970.0,
2021/07/03 2:25,28510.0,
2021/07/03 2:26,28510.0,
2021/07/03 2:27,28270.0,
2021/07/03 2:28,28140.0,
2021/07/03 2:29,28610.0,
2021/07/03 2:30,29740.0,
2021/07/03 2:31,29980.0,
2021/07/03 2:32,29530.0,
2021/07/03 2:33,30840.0,
2021/07/03 2:34,30910.0,
2021/07/03 2:35,30920.0,
2021/07/03 2:36,31600.0,
2021/07/03 2:37,31760.0,
2021/07/03 2:38,32410.0,
2021/07/03 2:39,31510.0,
2021/07/03 2:40,31120.0,
2021/07/03 2:41,30940.0,
2021/07/03 2:42,30670.0,
2021/07/03 2:43,30550.0,
2021/07/03 2:44,30350.0,
2021/07/03 2:45,30130.0,
2021/07/03 2:46,29360.0,
2021/07/03 2:47,29230.0,
2021/07/03 2:48,27860.0,
2021/07/03 2:49,27670.0,
2021/07/03 2:50,27530.0,
2021/07/03 2:51,27650.0,
2021/07/03 2:52,27840.0,
2021/07/03 2:53,27240.0,
2021/07/03 2:54,27340.0,
2021/07/03 2:55,27880.0,
2021/07/03 2:56,28500.0,
2021/07/03 2:57,29100.0,
2021/07/03 2:58,29660.0,
2021/07/03 2:59,29680.0,
2021/07/03 3:00,30830.0,
2021/07/03 3:01,31040.0,
2021/07/03 3:02,31090.0,
2021/07/03 3:03,30980.0,
2021/07/03 3:04,31300.0,
2021/07/03 3:05,31090.0,
