Date,Wind Spd, Wind Dir
2021/07/02 21:00,7.0,194
2021/07/02 22:00,7.5,177
2021/07/02 23:00,3.2,178
2021/07/03 01:00,7.5,178
2021/07/03 02:00,8.2,191
2021/07/03 03:00,4.0,190
2021/07/03 04:00,7.5,201
2021/07/03 05:00,7.6,197
2021/07/03 06:00,8.4,224
2021/07/03 07:00,9.1,198
2021/07/03 08:00,10.0,223
2021/07/03 09:00,11.0,226
2021/07/03 10:00,10.3,219
2021/07/03 11:00,3.2,234
2021/07/03 13:00,10.1,229
2021/07/03 14:00,9.4,227
2021/07/03 15:00,5.8,255
2021/07/03 16:00,6.1,259
2021/07/03 18:00,8.0,222
2021/07/03 19:00,6.7,221
2021/07/03 20:00,6.0,208
2021/07/03 21:00,5.2,126
2021/07/03 22:00,5.3,118
2021/07/03 22:00,,
2021/07/03 23:00,3.2,110
