Date,Temp,RH
2021/07/03 0:00,28.7,85
2021/07/03 0:01,28.7,84
2021/07/03 0:02,28.7,84
2021/07/03 0:03,28.7,83
2021/07/03 0:04,28.7,84
2021/07/03 0:05,28.6,85
2021/07/03 0:06,28.6,86
2021/07/03 0:07,28.6,86
2021/07/03 0:08,28.6,86
2021/07/03 0:09,28.6,85
2021/07/03 0:10,28.6,85
2021/07/03 0:11,28.6,86
2021/07/03 0:12,28.6,86
2021/07/03 0:13,28.6,86
2021/07/03 0:14,28.6,86
2021/07/03 0:15,28.6,85
2021/07/03 0:16,28.6,85
2021/07/03 0:17,28.6,85
2021/07/03 0:18,28.5,86
2021/07/03 0:19,28.5,86
2021/07/03 0:20,28.5,86
2021/07/03 0:21,28.6,84
2021/07/03 0:22,28.6,84
2021/07/03 0:23,28.6,84
2021/07/03 0:24,28.6,83
2021/07/03 0:25,28.6,83
2021/07/03 0:26,28.6,84
2021/07/03 0:27,28.6,83
2021/07/03 0:28,28.6,83
2021/07/03 0:29,28.6,83
2021/07/03 0:30,28.6,84
2021/07/03 0:31,28.6,84
2021/07/03 0:32,28.6,84
2021/07/03 0:33,28.6,85
2021/07/03 0:34,28.6,84
2021/07/03 0:35,28.6,84
2021/07/03 0:36,28.6,84
2021/07/03 0:37,28.6,85
2021/07/03 0:38,28.6,86
2021/07/03 0:39,28.5,86
2021/07/03 0:40,28.5,86
2021/07/03 0:41,28.4,87
2021/07/03 0:42,28.4,87
2021/07/03 0:43,28.4,87
2021/07/03 0:44,28.4,87
2021/07/03 0:45,28.4,87
2021/07/03 0:46,28.4,86
2021/07/03 0:47,28.4,86
2021/07/03 0:48,28.4,85
2021/07/03 0:49,28.5,84
2021/07/03 0:50,28.6,83
2021/07/03 0:51,28.6,83
2021/07/03 0:52,28.6,83
2021/07/03 0:53,28.6,83
2021/07/03 0:54,28.6,83
2021/07/03 0:55,28.6,83
2021/07/03 0:56,28.7,82
2021/07/03 0:57,28.7,82
2021/07/03 0:58,28.9,81
