Date,Wind Spd, Wind Dir
2021/07/04 0:00,17.0,9999
2021/07/04 0:01,17.0,9999
2021/07/04 0:02,17.0,9999
2021/07/04 0:03,22.0,227
2021/07/04 0:04,22.0,224
2021/07/04 0:05,23.0,222
2021/07/04 0:06,25.0,221
2021/07/04 0:07,26.0,219
2021/07/04 0:08,26.0,219
2021/07/04 0:09,25.0,221
2021/07/04 0:10,25.0,223
2021/07/04 0:11,26.0,223
2021/07/04 0:12,27.0,223
2021/07/04 0:13,27.0,224
2021/07/04 0:14,28.0,223
2021/07/04 0:15,27.0,219
2021/07/04 0:16,25.0,9999
2021/07/04 0:17,23.0,9999
2021/07/04 0:18,22.0,9999
2021/07/04 0:19,21.0,9999
2021/07/04 0:20,22.0,9999
2021/07/04 0:21,22.0,9999
2021/07/04 0:22,20.0,9999
2021/07/04 0:23,18.0,9999
2021/07/04 0:24,17.0,9999
2021/07/04 0:25,16.0,9999
2021/07/04 0:26,17.0,9999
2021/07/04 0:27,17.0,195
2021/07/04 0:28,16.0,194
2021/07/04 0:29,16.0,194
2021/07/04 0:30,15.0,192
2021/07/04 0:31,14.0,191
2021/07/04 0:32,15.0,193
2021/07/04 0:33,15.0,191
2021/07/04 0:34,15.0,190
2021/07/04 0:35,15.0,190
2021/07/04 0:36,16.0,187
2021/07/04 0:37,16.0,185
2021/07/04 0:38,17.0,184
2021/07/04 0:39,17.0,181
2021/07/04 0:40,17.0,180
2021/07/04 0:41,17.0,180
2021/07/04 0:42,17.0,180
2021/07/04 0:43,17.0,182
2021/07/04 0:44,17.0,183
2021/07/04 0:45,16.0,181
2021/07/04 0:46,15.0,180
2021/07/04 0:47,15.0,179
2021/07/04 0:48,15.0,180
2021/07/04 0:49,15.0,183
2021/07/04 0:50,15.0,183
2021/07/04 0:51,14.0,182
2021/07/04 0:52,14.0,185
2021/07/04 0:53,15.0,188
2021/07/04 0:54,15.0,190
2021/07/04 0:55,16.0,194
2021/07/04 0:56,17.0,200
2021/07/04 0:57,18.0,201
2021/07/04 0:58,18.0,201
2021/07/04 0:59,18.0,203
2021/07/04 1:00,18.0,206
2021/07/04 1:01,19.0,209
2021/07/04 1:02,19.0,206
2021/07/04 1:03,19.0,205
2021/07/04 1:04,19.0,205
2021/07/04 1:05,19.0,205
2021/07/04 1:06,19.0,206
2021/07/04 1:07,19.0,207
2021/07/04 1:08,19.0,205
2021/07/04 1:09,19.0,202
2021/07/04 1:10,18.0,199
2021/07/04 1:11,17.0,200
2021/07/04 1:12,18.0,200
2021/07/04 1:13,18.0,198
2021/07/04 1:14,17.0,199
2021/07/04 1:15,17.0,199
2021/07/04 1:16,17.0,198
2021/07/04 1:17,15.0,199
2021/07/04 1:18,15.0,202
2021/07/04 1:19,15.0,205
2021/07/04 1:20,16.0,209
2021/07/04 1:21,18.0,209
2021/07/04 1:22,18.0,210
2021/07/04 1:23,19.0,211
2021/07/04 1:24,19.0,212
2021/07/04 1:25,20.0,213
2021/07/04 1:26,21.0,214
2021/07/04 1:27,22.0,217
2021/07/04 1:28,22.0,218
2021/07/04 1:29,23.0,218
2021/07/04 1:30,23.0,216
2021/07/04 1:31,22.0,217
2021/07/04 1:32,22.0,218
2021/07/04 1:33,21.0,221
2021/07/04 1:34,21.0,222
2021/07/04 1:35,20.0,223
2021/07/04 1:36,19.0,222
2021/07/04 1:37,19.0,220
2021/07/04 1:38,19.0,219
2021/07/04 1:39,19.0,219
2021/07/04 1:40,19.0,220
2021/07/04 1:41,19.0,221
2021/07/04 1:42,19.0,222
2021/07/04 1:43,20.0,221
2021/07/04 1:44,20.0,221
2021/07/04 1:45,20.0,221
2021/07/04 1:46,19.0,220
2021/07/04 1:47,19.0,219
2021/07/04 1:48,18.0,214
2021/07/04 1:49,18.0,209
2021/07/04 1:50,17.0,210
2021/07/04 1:51,17.0,210
2021/07/04 1:52,18.0,208
2021/07/04 1:53,18.0,207
2021/07/04 1:54,18.0,206
2021/07/04 1:55,18.0,205
2021/07/04 1:56,18.0,207
2021/07/04 1:57,19.0,209
2021/07/04 1:58,20.0,214
2021/07/04 1:59,21.0,219
2021/07/04 2:00,21.0,217
2021/07/04 2:01,20.0,215
2021/07/04 2:02,19.0,214
2021/07/04 2:03,19.0,213
2021/07/04 2:04,19.0,212
2021/07/04 2:05,18.0,212
2021/07/04 2:06,18.0,210
2021/07/04 2:07,18.0,207
2021/07/04 2:08,18.0,205
2021/07/04 2:09,18.0,204
2021/07/04 2:10,17.0,203
2021/07/04 2:11,17.0,201
2021/07/04 2:12,18.0,201
2021/07/04 2:13,18.0,201
2021/07/04 2:14,19.0,199
2021/07/04 2:15,19.0,197
2021/07/04 2:16,20.0,198
2021/07/04 2:17,21.0,198
2021/07/04 2:18,21.0,198
2021/07/04 2:19,22.0,198
2021/07/04 2:20,23.0,198
2021/07/04 2:21,23.0,198
2021/07/04 2:22,23.0,196
2021/07/04 2:23,23.0,194
