Date,Temp,RH
2021/07/04 0:00,29.7,,
2021/07/04 0:01,29.7,,
2021/07/04 0:02,29.7,,
2021/07/04 0:03,29.7,,
2021/07/04 0:04,29.7,,
2021/07/04 0:05,29.7,,
2021/07/04 0:06,29.7,,
2021/07/04 0:07,29.7,,
2021/07/04 0:08,29.6,,
2021/07/04 0:09,29.6,,
2021/07/04 0:10,29.6,,
2021/07/04 0:11,29.6,,
2021/07/04 0:12,29.6,,
2021/07/04 0:13,29.6,,
2021/07/04 0:14,29.6,,
2021/07/04 0:15,29.6,,
2021/07/04 0:16,29.6,,
2021/07/04 0:17,29.6,,
2021/07/04 0:18,29.6,,
2021/07/04 0:19,29.6,,
2021/07/04 0:20,29.6,,
2021/07/04 0:21,29.6,,
2021/07/04 0:22,29.6,,
2021/07/04 0:23,29.5,,
2021/07/04 0:24,29.5,,
2021/07/04 0:25,29.5,,
2021/07/04 0:26,29.5,,
2021/07/04 0:27,29.4,,
2021/07/04 0:28,29.5,,
2021/07/04 0:29,29.5,,
2021/07/04 0:30,29.5,,
2021/07/04 0:31,29.5,,
2021/07/04 0:32,29.4,,
2021/07/04 0:33,29.4,,
2021/07/04 0:34,29.4,,
2021/07/04 0:35,29.4,,
2021/07/04 0:36,29.4,,
2021/07/04 0:37,29.4,,
2021/07/04 0:38,29.4,,
2021/07/04 0:39,29.4,,
2021/07/04 0:40,29.4,,
2021/07/04 0:41,29.4,,
2021/07/04 0:42,29.4,,
2021/07/04 0:43,29.4,,
2021/07/04 0:44,29.4,,
2021/07/04 0:45,29.4,,
2021/07/04 0:46,29.4,,
2021/07/04 0:47,29.4,,
2021/07/04 0:48,29.4,,
2021/07/04 0:49,29.4,,
2021/07/04 0:50,29.4,,
2021/07/04 0:51,29.4,,
2021/07/04 0:52,29.4,,
2021/07/04 0:53,29.4,,
2021/07/04 0:54,29.4,,
2021/07/04 0:55,29.4,,
2021/07/04 0:56,29.3,,
2021/07/04 0:57,29.3,,
2021/07/04 0:58,29.3,,
2021/07/04 0:59,29.3,,
2021/07/04 1:00,29.4,,
2021/07/04 1:01,29.4,,
2021/07/04 1:02,29.4,,
2021/07/04 1:03,29.3,,
2021/07/04 1:04,29.3,,
2021/07/04 1:05,29.3,,
2021/07/04 1:06,29.3,,
2021/07/04 1:07,29.3,,
2021/07/04 1:08,29.3,,
2021/07/04 1:09,29.3,,
2021/07/04 1:10,29.3,,
2021/07/04 1:11,29.4,,
2021/07/04 1:12,29.4,,
2021/07/04 1:13,29.4,,
2021/07/04 1:14,29.4,,
2021/07/04 1:15,29.4,,
2021/07/04 1:16,29.4,,
2021/07/04 1:17,29.4,,
2021/07/04 1:18,29.4,,
2021/07/04 1:19,29.4,,
2021/07/04 1:20,29.4,,
2021/07/04 1:21,29.4,,
