Date,Temp,RH
2021/07/04 0:00,26.2,,
2021/07/04 0:01,26.2,,
2021/07/04 0:02,26.2,,
2021/07/04 0:03,26.2,,
2021/07/04 0:04,26.2,,
2021/07/04 0:05,26.2,,
2021/07/04 0:06,26.2,,
2021/07/04 0:07,26.2,,
2021/07/04 0:08,26.1,,
2021/07/04 0:09,26.1,,
2021/07/04 0:10,26.1,,
2021/07/04 0:11,26.1,,
2021/07/04 0:12,26.1,,
2021/07/04 0:13,26.2,,
2021/07/04 0:14,26.2,,
2021/07/04 0:15,26.1,,
2021/07/04 0:16,26.1,,
2021/07/04 0:17,26.1,,
2021/07/04 0:18,26.1,,
2021/07/04 0:19,26.1,,
2021/07/04 0:20,26.1,,
2021/07/04 0:21,26.1,,
2021/07/04 0:22,26.1,,
2021/07/04 0:23,26.1,,
2021/07/04 0:24,26.1,,
2021/07/04 0:25,26.1,,
2021/07/04 0:26,26.1,,
2021/07/04 0:27,26.1,,
2021/07/04 0:28,26.1,,
2021/07/04 0:29,26.1,,
2021/07/04 0:30,26.1,,
2021/07/04 0:31,26.1,,
2021/07/04 0:32,26.1,,
2021/07/04 0:33,26.1,,
2021/07/04 0:34,26.1,,
2021/07/04 0:35,26.1,,
2021/07/04 0:36,26.1,,
2021/07/04 0:37,26.1,,
2021/07/04 0:38,26.1,,
2021/07/04 0:39,26.1,,
2021/07/04 0:40,26.1,,
2021/07/04 0:41,26.1,,
2021/07/04 0:42,26.1,,
2021/07/04 0:43,26.1,,
2021/07/04 0:44,26.1,,
2021/07/04 0:45,26.1,,
2021/07/04 0:46,26.1,,
2021/07/04 0:47,26.1,,
2021/07/04 0:48,26.1,,
2021/07/04 0:49,26.1,,
2021/07/04 0:50,26.1,,
2021/07/04 0:51,26.1,,
2021/07/04 0:52,26.1,,
2021/07/04 0:53,26.1,,
2021/07/04 0:54,26.0,,
2021/07/04 0:55,26.0,,
2021/07/04 0:56,26.0,,
2021/07/04 0:57,26.0,,
2021/07/04 0:58,26.0,,
2021/07/04 0:59,26.0,,
2021/07/04 1:00,26.0,,
2021/07/04 1:01,26.0,,
2021/07/04 1:02,26.0,,
2021/07/04 1:03,26.0,,
2021/07/04 1:04,26.0,,
2021/07/04 1:05,26.0,,
2021/07/04 1:06,26.0,,
2021/07/04 1:07,26.0,,
2021/07/04 1:08,26.0,,
2021/07/04 1:09,26.0,,
2021/07/04 1:10,26.0,,
2021/07/04 1:11,26.1,,
2021/07/04 1:12,26.1,,
2021/07/04 1:13,26.1,,
2021/07/04 1:14,26.1,,
2021/07/04 1:15,26.1,,
2021/07/04 1:16,26.1,,
2021/07/04 1:17,26.1,,
2021/07/04 1:18,26.1,,
2021/07/04 1:19,26.1,,
2021/07/04 1:20,26.1,,
2021/07/04 1:21,26.1,,
2021/07/04 1:22,26.1,,
2021/07/04 1:23,26.0,,
2021/07/04 1:24,26.0,,
2021/07/04 1:25,26.0,,
2021/07/04 1:26,26.1,,
2021/07/04 1:27,26.0,,
2021/07/04 1:28,26.1,,
2021/07/04 1:29,26.1,,
2021/07/04 1:30,26.1,,
2021/07/04 1:31,26.1,,
2021/07/04 1:32,26.1,,
2021/07/04 1:33,26.1,,
2021/07/04 1:34,26.0,,
2021/07/04 1:35,26.0,,
2021/07/04 1:36,26.1,,
2021/07/04 1:37,26.1,,
2021/07/04 1:38,26.1,,
2021/07/04 1:39,26.1,,
2021/07/04 1:40,26.2,,
2021/07/04 1:41,26.2,,
2021/07/04 1:42,26.2,,
2021/07/04 1:43,26.2,,
2021/07/04 1:44,26.2,,
2021/07/04 1:45,26.2,,
2021/07/04 1:46,26.2,,
2021/07/04 1:47,26.2,,
2021/07/04 1:48,26.2,,
2021/07/04 1:49,26.2,,
2021/07/04 1:50,26.2,,
2021/07/04 1:51,26.2,,
2021/07/04 1:52,26.2,,
2021/07/04 1:53,26.2,,
2021/07/04 1:54,26.2,,
2021/07/04 1:55,26.2,,
2021/07/04 1:56,26.2,,
2021/07/04 1:57,26.2,,
2021/07/04 1:58,26.2,,
2021/07/04 1:59,26.2,,
2021/07/04 2:00,26.1,,
2021/07/04 2:01,26.1,,
2021/07/04 2:02,26.1,,
2021/07/04 2:03,26.1,,
2021/07/04 2:04,26.1,,
2021/07/04 2:05,26.1,,
2021/07/04 2:06,26.1,,
2021/07/04 2:07,26.1,,
2021/07/04 2:08,26.1,,
2021/07/04 2:09,26.1,,
2021/07/04 2:10,26.1,,
2021/07/04 2:11,26.1,,
2021/07/04 2:12,26.1,,
2021/07/04 2:13,26.1,,
2021/07/04 2:14,26.1,,
2021/07/04 2:15,26.1,,
2021/07/04 2:16,26.2,,
2021/07/04 2:17,26.2,,
2021/07/04 2:18,26.2,,
2021/07/04 2:19,26.2,,
2021/07/04 2:20,26.1,,
2021/07/04 2:21,26.1,,
2021/07/04 2:22,26.1,,
2021/07/04 2:23,26.2,,
2021/07/04 2:24,26.1,,
2021/07/04 2:25,26.1,,
2021/07/04 2:26,26.1,,
2021/07/04 2:27,26.1,,
2021/07/04 2:28,26.1,,
2021/07/04 2:29,26.1,,
2021/07/04 2:30,26.1,,
2021/07/04 2:31,26.1,,
2021/07/04 2:32,26.1,,
2021/07/04 2:33,26.1,,
2021/07/04 2:34,26.1,,
2021/07/04 2:35,26.1,,
2021/07/04 2:36,26.1,,
2021/07/04 2:37,26.0,,
2021/07/04 2:38,26.0,,
2021/07/04 2:39,26.0,,
2021/07/04 2:40,26.0,,
2021/07/04 2:41,26.0,,
2021/07/04 2:42,26.0,,
2021/07/04 2:43,26.0,,
2021/07/04 2:44,26.0,,
2021/07/04 2:45,25.9,,
2021/07/04 2:46,25.9,,
2021/07/04 2:47,25.9,,
2021/07/04 2:48,25.9,,
2021/07/04 2:49,25.9,,
2021/07/04 2:50,25.9,,
2021/07/04 2:51,25.9,,
2021/07/04 2:52,25.9,,
2021/07/04 2:53,25.9,,
2021/07/04 2:54,25.9,,
2021/07/04 2:55,25.9,,
2021/07/04 2:56,25.8,,
2021/07/04 2:57,25.8,,
2021/07/04 2:58,25.8,,
2021/07/04 2:59,25.8,,
2021/07/04 3:00,25.8,,
2021/07/04 3:01,25.9,,
2021/07/04 3:02,25.9,,
2021/07/04 3:03,25.9,,
2021/07/04 3:04,25.9,,
2021/07/04 3:05,25.9,,
2021/07/04 3:06,25.8,,
2021/07/04 3:07,25.8,,
2021/07/04 3:08,25.7,,
2021/07/04 3:09,25.7,,
2021/07/04 3:10,25.7,,
2021/07/04 3:11,25.7,,
2021/07/04 3:12,25.7,,
2021/07/04 3:13,25.7,,
2021/07/04 3:14,25.7,,
2021/07/04 3:15,25.7,,
2021/07/04 3:16,25.7,,
2021/07/04 3:17,25.7,,
2021/07/04 3:18,25.8,,
2021/07/04 3:19,25.8,,
2021/07/04 3:20,25.8,,
2021/07/04 3:21,25.8,,
2021/07/04 3:22,25.8,,
2021/07/04 3:23,25.8,,
