Date,Wind Spd, Wind Dir
2021/07/05 0:00,17.0,103
2021/07/05 0:01,16.0,103
2021/07/05 0:02,16.0,104
2021/07/05 0:03,16.0,106
2021/07/05 0:04,16.0,107
2021/07/05 0:05,16.0,106
2021/07/05 0:06,16.0,106
2021/07/05 0:07,16.0,105
2021/07/05 0:08,15.0,104
2021/07/05 0:09,15.0,104
2021/07/05 0:10,15.0,104
2021/07/05 0:11,15.0,104
2021/07/05 0:12,15.0,104
2021/07/05 0:13,15.0,104
2021/07/05 0:14,15.0,102
2021/07/05 0:15,15.0,104
2021/07/05 0:16,15.0,104
2021/07/05 0:17,15.0,104
2021/07/05 0:18,15.0,103
2021/07/05 0:19,15.0,103
2021/07/05 0:20,15.0,102
2021/07/05 0:21,16.0,101
2021/07/05 0:22,16.0,101
2021/07/05 0:23,15.0,101
2021/07/05 0:24,16.0,102
2021/07/05 0:25,17.0,102
2021/07/05 0:26,17.0,102
2021/07/05 0:27,18.0,103
2021/07/05 0:28,19.0,104
2021/07/05 0:29,19.0,104
2021/07/05 0:30,19.0,104
2021/07/05 0:31,20.0,106
2021/07/05 0:32,21.0,106
2021/07/05 0:33,21.0,105
2021/07/05 0:34,21.0,105
2021/07/05 0:35,21.0,105
2021/07/05 0:36,21.0,105
2021/07/05 0:37,21.0,106
2021/07/05 0:38,21.0,106
2021/07/05 0:39,20.0,106
2021/07/05 0:40,19.0,106
2021/07/05 0:41,19.0,106
2021/07/05 0:42,19.0,106
2021/07/05 0:43,19.0,108
2021/07/05 0:44,19.0,108
2021/07/05 0:45,19.0,109
2021/07/05 0:46,19.0,109
2021/07/05 0:47,19.0,108
2021/07/05 0:48,18.0,109
2021/07/05 0:49,18.0,110
2021/07/05 0:50,18.0,109
2021/07/05 0:51,18.0,108
2021/07/05 0:52,18.0,109
2021/07/05 0:53,18.0,109
2021/07/05 0:54,18.0,109
2021/07/05 0:55,18.0,109
2021/07/05 0:56,19.0,108
2021/07/05 0:57,19.0,107
2021/07/05 0:58,19.0,107
2021/07/05 0:59,21.0,107
2021/07/05 1:00,21.0,106
2021/07/05 1:01,20.0,105
2021/07/05 1:02,20.0,103
2021/07/05 1:03,20.0,101
2021/07/05 1:04,20.0,98
2021/07/05 1:05,19.0,96
2021/07/05 1:06,19.0,95
2021/07/05 1:07,19.0,96
2021/07/05 1:08,19.0,96
2021/07/05 1:09,18.0,95
2021/07/05 1:10,19.0,97
2021/07/05 1:11,19.0,96
2021/07/05 1:12,18.0,98
2021/07/05 1:13,18.0,98
2021/07/05 1:14,18.0,100
2021/07/05 1:15,18.0,102
2021/07/05 1:16,18.0,103
2021/07/05 1:17,18.0,102
2021/07/05 1:18,18.0,102
2021/07/05 1:19,18.0,103
2021/07/05 1:20,19.0,103
2021/07/05 1:21,19.0,97
2021/07/05 1:22,19.0,106
2021/07/05 1:23,19.0,105
2021/07/05 1:24,19.0,103
