Date,Wind Spd, Wind Dir
2021/07/06 0:00,8.0,5
2021/07/06 0:01,8.0,1
2021/07/06 0:02,9.0,1
2021/07/06 0:03,9.0,1
2021/07/06 0:04,9.0,329
2021/07/06 0:05,9.0,334
2021/07/06 0:06,10.0,334
2021/07/06 0:07,10.0,334
2021/07/06 0:08,10.0,334
2021/07/06 0:09,10.0,334
2021/07/06 0:10,9.0,9999
2021/07/06 0:11,9.0,9999
2021/07/06 0:12,9.0,9999
2021/07/06 0:13,8.0,199
2021/07/06 0:14,9.0,198
2021/07/06 0:15,9.0,196
2021/07/06 0:16,8.0,194
2021/07/06 0:17,8.0,195
2021/07/06 0:18,9.0,192
2021/07/06 0:19,9.0,192
2021/07/06 0:20,9.0,192
2021/07/06 0:21,9.0,9999
2021/07/06 0:22,9.0,9999
2021/07/06 0:23,9.0,9999
2021/07/06 0:24,9.0,202
2021/07/06 0:25,9.0,194
2021/07/06 0:26,9.0,196
2021/07/06 0:27,9.0,196
2021/07/06 0:28,10.0,201
2021/07/06 0:29,11.0,204
2021/07/06 0:30,10.0,203
2021/07/06 0:31,10.0,203
2021/07/06 0:32,9.0,201
2021/07/06 0:33,10.0,9999
2021/07/06 0:34,10.0,203
2021/07/06 0:35,10.0,178
2021/07/06 0:36,9.0,9999
2021/07/06 0:37,9.0,9999
2021/07/06 0:38,8.0,356
2021/07/06 0:39,6.0,358
2021/07/06 0:40,6.0,2
2021/07/06 0:41,6.0,2
2021/07/06 0:42,7.0,2
2021/07/06 0:43,6.0,196
2021/07/06 0:44,6.0,196
2021/07/06 0:45,7.0,195
2021/07/06 0:46,8.0,197
2021/07/06 0:47,8.0,197
2021/07/06 0:48,8.0,195
2021/07/06 0:49,8.0,193
2021/07/06 0:50,8.0,191
2021/07/06 0:51,8.0,191
2021/07/06 0:52,8.0,190
2021/07/06 0:53,8.0,189
2021/07/06 0:54,8.0,188
2021/07/06 0:55,8.0,188
2021/07/06 0:56,8.0,185
2021/07/06 0:57,7.0,183
2021/07/06 0:58,8.0,9999
2021/07/06 0:59,8.0,9999
2021/07/06 1:00,8.0,196
2021/07/06 1:01,8.0,197
2021/07/06 1:02,8.0,197
2021/07/06 1:03,8.0,197
2021/07/06 1:04,8.0,5
2021/07/06 1:05,8.0,197
2021/07/06 1:06,9.0,9999
2021/07/06 1:07,9.0,337
2021/07/06 1:08,9.0,335
2021/07/06 1:09,9.0,340
2021/07/06 1:10,9.0,338
2021/07/06 1:11,10.0,338
2021/07/06 1:12,11.0,333
2021/07/06 1:13,12.0,333
2021/07/06 1:14,12.0,333
2021/07/06 1:15,12.0,350
2021/07/06 1:16,11.0,353
2021/07/06 1:17,10.0,353
2021/07/06 1:18,10.0,353
2021/07/06 1:19,11.0,176
2021/07/06 1:20,11.0,177
2021/07/06 1:21,10.0,183
2021/07/06 1:22,9.0,183
2021/07/06 1:23,10.0,183
2021/07/06 1:24,10.0,183
2021/07/06 1:25,10.0,207
2021/07/06 1:26,11.0,199
2021/07/06 1:27,12.0,200
2021/07/06 1:28,12.0,202
2021/07/06 1:29,12.0,202
2021/07/06 1:30,12.0,202
2021/07/06 1:31,12.0,349
2021/07/06 1:32,13.0,356
2021/07/06 1:33,12.0,354
2021/07/06 1:34,12.0,347
2021/07/06 1:35,12.0,347
2021/07/06 1:36,13.0,347
2021/07/06 1:37,12.0,206
2021/07/06 1:38,12.0,202
2021/07/06 1:39,12.0,200
2021/07/06 1:40,12.0,200
2021/07/06 1:41,11.0,199
2021/07/06 1:42,10.0,199
2021/07/06 1:43,11.0,199
2021/07/06 1:44,11.0,337
2021/07/06 1:45,12.0,334
2021/07/06 1:46,11.0,334
