Date,Wind Spd, Wind Dir
2021/07/07 0:00,24.0,127
2021/07/07 0:01,24.0,125
2021/07/07 0:02,22.0,121
2021/07/07 0:03,21.0,119
2021/07/07 0:04,22.0,118
2021/07/07 0:05,21.0,116
2021/07/07 0:06,19.0,110
2021/07/07 0:07,18.0,104
2021/07/07 0:08,18.0,98
2021/07/07 0:09,16.0,93
2021/07/07 0:10,14.0,86
2021/07/07 0:11,14.0,85
2021/07/07 0:12,13.0,84
2021/07/07 0:13,12.0,81
2021/07/07 0:14,12.0,81
2021/07/07 0:15,12.0,80
2021/07/07 0:16,12.0,81
2021/07/07 0:17,12.0,82
2021/07/07 0:18,11.0,83
2021/07/07 0:19,12.0,87
2021/07/07 0:20,12.0,88
2021/07/07 0:21,11.0,88
2021/07/07 0:22,12.0,90
2021/07/07 0:23,,,
2021/07/07 0:24,,,
2021/07/07 0:25,,,
2021/07/07 0:26,,,
2021/07/07 0:27,,,
2021/07/07 0:28,,,
2021/07/07 0:29,,,
2021/07/07 0:30,,,
2021/07/07 0:31,,,
2021/07/07 0:32,,,
2021/07/07 0:33,,,
2021/07/07 0:34,,,
2021/07/07 0:35,,,
2021/07/07 0:36,,,
2021/07/07 0:37,,,
2021/07/07 0:38,,,
2021/07/07 0:39,,,
2021/07/07 0:40,,,
2021/07/07 0:41,,,
2021/07/07 0:42,,,
2021/07/07 0:43,,,
2021/07/07 0:44,,,
2021/07/07 0:45,,,
2021/07/07 0:46,,,
2021/07/07 0:47,,,
2021/07/07 0:48,,,
2021/07/07 0:49,,,
2021/07/07 0:50,,,
2021/07/07 0:51,,,
2021/07/07 0:52,,,
2021/07/07 0:53,,,
2021/07/07 0:54,,,
2021/07/07 0:55,,,
2021/07/07 0:56,,,
2021/07/07 0:57,,,
2021/07/07 0:58,,,
2021/07/07 0:59,,,
2021/07/07 1:00,,,
2021/07/07 1:01,,,
2021/07/07 1:02,,,
2021/07/07 1:03,,,
2021/07/07 1:04,,,
2021/07/07 1:05,,,
2021/07/07 1:06,,,
2021/07/07 1:07,,,
2021/07/07 1:08,,,
2021/07/07 1:09,,,
2021/07/07 1:10,,,
2021/07/07 1:11,,,
2021/07/07 1:12,,,
2021/07/07 1:13,,,
2021/07/07 1:14,,,
2021/07/07 1:15,,,
2021/07/07 1:16,,,
2021/07/07 1:17,,,
2021/07/07 1:18,,,
2021/07/07 1:19,,,
2021/07/07 1:20,,,
2021/07/07 1:21,,,
2021/07/07 1:22,,,
2021/07/07 1:23,,,
2021/07/07 1:24,,,
2021/07/07 1:25,,,
2021/07/07 1:26,,,
2021/07/07 1:27,,,
2021/07/07 1:28,,,
2021/07/07 1:29,,,
2021/07/07 1:30,,,
2021/07/07 1:31,,,
2021/07/07 1:32,,,
2021/07/07 1:33,,,
2021/07/07 1:34,,,
2021/07/07 1:35,,,
2021/07/07 1:36,,,
2021/07/07 1:37,,,
2021/07/07 1:38,,,
2021/07/07 1:39,,,
2021/07/07 1:40,,,
2021/07/07 1:41,,,
2021/07/07 1:42,,,
2021/07/07 1:43,,,
2021/07/07 1:44,,,
2021/07/07 1:45,,,
2021/07/07 1:46,,,
2021/07/07 1:47,,,
2021/07/07 1:48,,,
2021/07/07 1:49,,,
2021/07/07 1:50,,,
2021/07/07 1:51,,,
2021/07/07 1:52,,,
2021/07/07 1:53,,,
2021/07/07 1:54,,,
2021/07/07 1:55,,,
2021/07/07 1:56,,,
2021/07/07 1:57,,,
2021/07/07 1:58,,,
2021/07/07 1:59,,,
2021/07/07 2:00,,,
2021/07/07 2:01,,,
2021/07/07 2:02,,,
2021/07/07 2:03,,,
2021/07/07 2:04,,,
2021/07/07 2:05,,,
2021/07/07 2:06,,,
2021/07/07 2:07,,,
2021/07/07 2:08,,,
2021/07/07 2:09,,,
2021/07/07 2:10,,,
2021/07/07 2:11,,,
2021/07/07 2:12,,,
2021/07/07 2:13,,,
2021/07/07 2:14,,,
2021/07/07 2:15,,,
2021/07/07 2:16,,,
2021/07/07 2:17,,,
2021/07/07 2:18,,,
2021/07/07 2:19,,,
2021/07/07 2:20,,,
2021/07/07 2:21,,,
2021/07/07 2:22,,,
2021/07/07 2:23,,,
2021/07/07 2:24,,,
2021/07/07 2:25,,,
2021/07/07 2:26,,,
2021/07/07 2:27,,,
2021/07/07 2:28,,,
2021/07/07 2:29,,,
2021/07/07 2:30,,,
2021/07/07 2:31,,,
2021/07/07 2:32,,,
2021/07/07 2:33,,,
2021/07/07 2:34,,,
2021/07/07 2:35,,,
2021/07/07 2:36,16.0,97
2021/07/07 2:37,15.0,97
2021/07/07 2:38,14.0,95
2021/07/07 2:39,14.0,93
2021/07/07 2:40,14.0,91
2021/07/07 2:41,13.0,99
2021/07/07 2:42,12.0,87
2021/07/07 2:43,12.0,88
2021/07/07 2:44,12.0,87
2021/07/07 2:45,12.0,86
2021/07/07 2:46,12.0,84
2021/07/07 2:47,12.0,84
2021/07/07 2:48,14.0,82
2021/07/07 2:49,14.0,81
2021/07/07 2:50,14.0,82
2021/07/07 2:51,14.0,80
2021/07/07 2:52,14.0,79
2021/07/07 2:53,14.0,77
2021/07/07 2:54,13.0,76
2021/07/07 2:55,13.0,98
2021/07/07 2:56,12.0,99
2021/07/07 2:57,13.0,98
2021/07/07 2:58,13.0,99
2021/07/07 2:59,13.0,98
2021/07/07 3:00,12.0,98
2021/07/07 3:01,12.0,98
2021/07/07 3:02,13.0,97
2021/07/07 3:03,12.0,95
2021/07/07 3:04,12.0,95
2021/07/07 3:05,12.0,94
2021/07/07 3:06,12.0,93
2021/07/07 3:07,12.0,92
2021/07/07 3:08,11.0,90
2021/07/07 3:09,11.0,89
2021/07/07 3:10,12.0,88
2021/07/07 3:11,11.0,88
2021/07/07 3:12,11.0,89
2021/07/07 3:13,12.0,87
2021/07/07 3:14,11.0,87
2021/07/07 3:15,11.0,88
2021/07/07 3:16,11.0,86
2021/07/07 3:17,11.0,86
2021/07/07 3:18,11.0,90
2021/07/07 3:19,11.0,90
2021/07/07 3:20,10.0,92
2021/07/07 3:21,11.0,91
2021/07/07 3:22,12.0,92
2021/07/07 3:23,12.0,94
2021/07/07 3:24,12.0,94
2021/07/07 3:25,14.0,93
2021/07/07 3:26,14.0,96
2021/07/07 3:27,15.0,97
2021/07/07 3:28,17.0,94
2021/07/07 3:29,18.0,95
2021/07/07 3:30,19.0,95
2021/07/07 3:31,20.0,94
2021/07/07 3:32,21.0,93
2021/07/07 3:33,21.0,95
2021/07/07 3:34,21.0,96
2021/07/07 3:35,21.0,95
2021/07/07 3:36,21.0,97
2021/07/07 3:37,21.0,96
2021/07/07 3:38,20.0,97
2021/07/07 3:39,19.0,96
2021/07/07 3:40,19.0,95
2021/07/07 3:41,19.0,96
2021/07/07 3:42,18.0,95
2021/07/07 3:43,19.0,94
2021/07/07 3:44,18.0,95
2021/07/07 3:45,18.0,97
2021/07/07 3:46,18.0,94
2021/07/07 3:47,17.0,94
2021/07/07 3:48,15.0,91
2021/07/07 3:49,15.0,91
2021/07/07 3:50,14.0,90
2021/07/07 3:51,13.0,89
2021/07/07 3:52,12.0,89
2021/07/07 3:53,11.0,89
2021/07/07 3:54,10.0,108
2021/07/07 3:55,11.0,102
2021/07/07 3:56,11.0,97
2021/07/07 3:57,11.0,94
2021/07/07 3:58,12.0,89
2021/07/07 3:59,12.0,89
