Date,Temp,RH
2021/07/07 0:00,26.2,,
2021/07/07 0:01,26.1,,
2021/07/07 0:02,26.1,,
2021/07/07 0:03,26.2,,
2021/07/07 0:04,26.2,,
2021/07/07 0:05,26.2,,
2021/07/07 0:06,26.3,,
2021/07/07 0:07,26.3,,
2021/07/07 0:08,26.3,,
2021/07/07 0:09,26.4,,
2021/07/07 0:10,26.4,,
2021/07/07 0:11,26.5,,
2021/07/07 0:12,26.5,,
2021/07/07 0:13,26.5,,
2021/07/07 0:14,26.5,,
2021/07/07 0:15,26.6,,
2021/07/07 0:16,26.6,,
2021/07/07 0:17,26.6,,
2021/07/07 0:18,26.6,,
2021/07/07 0:19,26.6,,
2021/07/07 0:20,26.5,,
2021/07/07 0:21,26.5,,
2021/07/07 0:22,26.5,,
2021/07/07 0:23,26.4,,
2021/07/07 0:24,26.3,,
2021/07/07 0:25,26.4,,
2021/07/07 0:26,26.4,,
2021/07/07 0:27,26.4,,
2021/07/07 0:28,26.4,,
2021/07/07 0:29,26.3,,
2021/07/07 0:30,26.3,,
2021/07/07 0:31,26.3,,
2021/07/07 0:32,26.3,,
2021/07/07 0:33,26.4,,
2021/07/07 0:34,26.4,,
2021/07/07 0:35,26.4,,
2021/07/07 0:36,26.5,,
2021/07/07 0:37,26.6,,
2021/07/07 0:38,26.6,,
2021/07/07 0:39,26.6,,
2021/07/07 0:40,26.7,,
2021/07/07 0:41,26.7,,
2021/07/07 0:42,26.7,,
2021/07/07 0:43,26.7,,
2021/07/07 0:44,26.7,,
2021/07/07 0:45,26.7,,
2021/07/07 0:46,26.7,,
2021/07/07 0:47,26.8,,
2021/07/07 0:48,26.8,,
2021/07/07 0:49,26.8,,
2021/07/07 0:50,26.8,,
2021/07/07 0:51,26.8,,
2021/07/07 0:52,26.9,,
2021/07/07 0:53,26.8,,
2021/07/07 0:54,26.9,,
2021/07/07 0:55,26.9,,
2021/07/07 0:56,26.9,,
2021/07/07 0:57,26.9,,
2021/07/07 0:58,26.9,,
2021/07/07 0:59,26.8,,
2021/07/07 1:00,26.8,,
2021/07/07 1:01,26.8,,
2021/07/07 1:02,26.9,,
2021/07/07 1:03,26.8,,
2021/07/07 1:04,26.9,,
2021/07/07 1:05,26.9,,
2021/07/07 1:06,26.9,,
2021/07/07 1:07,26.9,,
2021/07/07 1:08,26.9,,
2021/07/07 1:09,26.9,,
2021/07/07 1:10,27.0,,
2021/07/07 1:11,27.0,,
2021/07/07 1:12,27.0,,
2021/07/07 1:13,27.0,,
2021/07/07 1:14,27.0,,
2021/07/07 1:15,27.0,,
2021/07/07 1:16,26.9,,
2021/07/07 1:17,27.0,,
2021/07/07 1:18,27.0,,
2021/07/07 1:19,27.0,,
2021/07/07 1:20,27.1,,
2021/07/07 1:21,27.0,,
2021/07/07 1:22,27.0,,
2021/07/07 1:23,27.1,,
2021/07/07 1:24,27.1,,
2021/07/07 1:25,27.1,,
2021/07/07 1:26,27.1,,
2021/07/07 1:27,27.1,,
2021/07/07 1:28,27.1,,
2021/07/07 1:29,27.1,,
2021/07/07 1:30,27.1,,
2021/07/07 1:31,27.2,,
2021/07/07 1:32,27.1,,
2021/07/07 1:33,27.1,,
2021/07/07 1:34,27.2,,
2021/07/07 1:35,27.2,,
2021/07/07 1:36,27.1,,
2021/07/07 1:37,27.1,,
2021/07/07 1:38,27.1,,
2021/07/07 1:39,27.1,,
2021/07/07 1:40,27.1,,
2021/07/07 1:41,27.2,,
2021/07/07 1:42,27.2,,
2021/07/07 1:43,27.2,,
2021/07/07 1:44,27.2,,
2021/07/07 1:45,27.2,,
2021/07/07 1:46,27.2,,
2021/07/07 1:47,27.2,,
2021/07/07 1:48,27.2,,
2021/07/07 1:49,27.2,,
2021/07/07 1:50,27.2,,
2021/07/07 1:51,27.2,,
2021/07/07 1:52,27.2,,
2021/07/07 1:53,27.2,,
2021/07/07 1:54,27.2,,
2021/07/07 1:55,27.2,,
2021/07/07 1:56,27.2,,
2021/07/07 1:57,27.2,,
2021/07/07 1:58,27.2,,
2021/07/07 1:59,27.2,,
2021/07/07 2:00,27.3,,
2021/07/07 2:01,27.3,,
2021/07/07 2:02,27.3,,
2021/07/07 2:03,27.3,,
2021/07/07 2:04,27.3,,
2021/07/07 2:05,27.3,,
2021/07/07 2:06,27.3,,
2021/07/07 2:07,27.3,,
2021/07/07 2:08,27.3,,
2021/07/07 2:09,27.3,,
2021/07/07 2:10,27.3,,
2021/07/07 2:11,27.3,,
2021/07/07 2:12,27.3,,
2021/07/07 2:13,27.3,,
2021/07/07 2:14,27.2,,
2021/07/07 2:15,27.2,,
2021/07/07 2:16,27.2,,
2021/07/07 2:17,27.2,,
2021/07/07 2:18,27.2,,
2021/07/07 2:19,27.2,,
2021/07/07 2:20,27.3,,
2021/07/07 2:21,27.3,,
2021/07/07 2:22,27.3,,
2021/07/07 2:23,27.3,,
2021/07/07 2:24,27.3,,
2021/07/07 2:25,27.3,,
2021/07/07 2:26,27.3,,
2021/07/07 2:27,27.3,,
2021/07/07 2:28,27.3,,
2021/07/07 2:29,27.3,,
2021/07/07 2:30,27.3,,
2021/07/07 2:31,27.3,,
2021/07/07 2:32,27.3,,
2021/07/07 2:33,27.3,,
2021/07/07 2:34,27.3,,
2021/07/07 2:35,27.3,,
2021/07/07 2:36,27.3,,
2021/07/07 2:37,27.2,,
2021/07/07 2:38,27.3,,
2021/07/07 2:39,27.3,,
2021/07/07 2:40,27.3,,
