Date,Temp,RH
2021/07/08 0:00,21.3,,
2021/07/08 0:01,21.3,,
2021/07/08 0:02,21.4,,
2021/07/08 0:03,21.3,,
2021/07/08 0:04,21.4,,
2021/07/08 0:05,21.4,,
2021/07/08 0:06,21.5,,
2021/07/08 0:07,21.5,,
2021/07/08 0:08,21.4,,
2021/07/08 0:09,21.4,,
2021/07/08 0:10,21.4,,
2021/07/08 0:11,21.4,,
2021/07/08 0:12,21.4,,
2021/07/08 0:13,21.2,,
2021/07/08 0:14,21.1,,
2021/07/08 0:15,21.2,,
2021/07/08 0:16,21.3,,
2021/07/08 0:17,21.3,,
2021/07/08 0:18,21.3,,
2021/07/08 0:19,21.2,,
2021/07/08 0:20,21.3,,
2021/07/08 0:21,21.3,,
2021/07/08 0:22,21.3,,
2021/07/08 0:23,21.3,,
2021/07/08 0:24,21.4,,
2021/07/08 0:25,21.4,,
2021/07/08 0:26,21.5,,
2021/07/08 0:27,21.5,,
2021/07/08 0:28,21.5,,
2021/07/08 0:29,21.5,,
2021/07/08 0:30,21.5,,
2021/07/08 0:31,21.4,,
2021/07/08 0:32,21.4,,
2021/07/08 0:33,21.4,,
2021/07/08 0:34,21.5,,
2021/07/08 0:35,21.5,,
2021/07/08 0:36,21.5,,
2021/07/08 0:37,21.4,,
2021/07/08 0:38,21.4,,
2021/07/08 0:39,21.4,,
2021/07/08 0:40,21.3,,
2021/07/08 0:41,21.3,,
2021/07/08 0:42,21.3,,
2021/07/08 0:43,21.3,,
2021/07/08 0:44,21.4,,
2021/07/08 0:45,21.4,,
2021/07/08 0:46,21.4,,
2021/07/08 0:47,21.4,,
2021/07/08 0:48,21.4,,
2021/07/08 0:49,21.4,,
2021/07/08 0:50,21.4,,
2021/07/08 0:51,21.4,,
2021/07/08 0:52,21.4,,
2021/07/08 0:53,21.5,,
2021/07/08 0:54,21.4,,
2021/07/08 0:55,21.3,,
2021/07/08 0:56,21.3,,
2021/07/08 0:57,21.3,,
2021/07/08 0:58,21.4,,
2021/07/08 0:59,21.4,,
2021/07/08 1:00,21.4,,
2021/07/08 1:01,21.4,,
2021/07/08 1:02,21.4,,
2021/07/08 1:03,21.5,,
2021/07/08 1:04,21.5,,
2021/07/08 1:05,21.5,,
2021/07/08 1:06,21.5,,
2021/07/08 1:07,21.3,,
2021/07/08 1:08,21.2,,
2021/07/08 1:09,21.4,,
2021/07/08 1:10,21.5,,
2021/07/08 1:11,21.5,,
2021/07/08 1:12,21.5,,
2021/07/08 1:13,21.5,,
2021/07/08 1:14,21.5,,
2021/07/08 1:15,21.5,,
2021/07/08 1:16,21.5,,
2021/07/08 1:17,21.5,,
2021/07/08 1:18,21.4,,
2021/07/08 1:19,21.3,,
2021/07/08 1:20,21.3,,
2021/07/08 1:21,21.4,,
2021/07/08 1:22,21.5,,
2021/07/08 1:23,21.6,,
2021/07/08 1:24,21.6,,
2021/07/08 1:25,21.6,,
2021/07/08 1:26,21.6,,
2021/07/08 1:27,21.7,,
2021/07/08 1:28,21.8,,
2021/07/08 1:29,21.7,,
2021/07/08 1:30,21.7,,
2021/07/08 1:31,21.7,,
2021/07/08 1:32,21.7,,
2021/07/08 1:33,21.7,,
2021/07/08 1:34,21.6,,
2021/07/08 1:35,21.6,,
2021/07/08 1:36,21.5,,
2021/07/08 1:37,21.5,,
2021/07/08 1:38,21.5,,
2021/07/08 1:39,21.5,,
2021/07/08 1:40,21.5,,
2021/07/08 1:41,21.5,,
2021/07/08 1:42,21.4,,
2021/07/08 1:43,21.4,,
2021/07/08 1:44,21.4,,
2021/07/08 1:45,21.4,,
2021/07/08 1:46,21.4,,
2021/07/08 1:47,21.4,,
2021/07/08 1:48,21.5,,
2021/07/08 1:49,21.5,,
2021/07/08 1:50,21.5,,
2021/07/08 1:51,21.5,,
2021/07/08 1:52,21.5,,
2021/07/08 1:53,21.5,,
2021/07/08 1:54,21.5,,
2021/07/08 1:55,21.5,,
2021/07/08 1:56,21.5,,
2021/07/08 1:57,21.5,,
2021/07/08 1:58,21.5,,
2021/07/08 1:59,21.5,,
2021/07/08 2:00,21.6,,
2021/07/08 2:01,21.6,,
2021/07/08 2:02,21.6,,
2021/07/08 2:03,21.6,,
2021/07/08 2:04,21.5,,
2021/07/08 2:05,21.6,,
2021/07/08 2:06,21.6,,
2021/07/08 2:07,21.6,,
2021/07/08 2:08,21.7,,
2021/07/08 2:09,21.6,,
2021/07/08 2:10,21.6,,
2021/07/08 2:11,21.6,,
2021/07/08 2:12,21.6,,
2021/07/08 2:13,21.6,,
2021/07/08 2:14,21.6,,
2021/07/08 2:15,21.5,,
2021/07/08 2:16,21.5,,
2021/07/08 2:17,21.5,,
2021/07/08 2:18,21.5,,
2021/07/08 2:19,21.5,,
2021/07/08 2:20,21.5,,
2021/07/08 2:21,21.5,,
2021/07/08 2:22,21.5,,
2021/07/08 2:23,21.5,,
2021/07/08 2:24,21.5,,
2021/07/08 2:25,21.5,,
2021/07/08 2:26,21.5,,
2021/07/08 2:27,21.6,,
