Date,Grass Temperature
2021/07/15 17:00,28.9,
2021/07/15 17:01,28.9,
2021/07/15 17:02,28.9,
2021/07/15 17:03,28.8,
2021/07/15 17:04,28.8,
2021/07/15 17:05,28.8,
2021/07/15 17:06,28.8,
2021/07/15 17:07,28.7,
2021/07/15 17:08,28.7,
2021/07/15 17:09,28.7,
2021/07/15 17:10,28.6,
2021/07/15 17:11,28.6,
2021/07/15 17:12,28.6,
2021/07/15 17:13,28.5,
2021/07/15 17:14,28.5,
2021/07/15 17:15,28.5,
2021/07/15 17:16,28.4,
2021/07/15 17:17,28.4,
2021/07/15 17:18,28.3,
2021/07/15 17:19,28.3,
2021/07/15 17:20,28.3,
2021/07/15 17:21,28.3,
2021/07/15 17:22,28.2,
2021/07/15 17:23,28.2,
2021/07/15 17:24,28.1,
2021/07/15 17:25,28.1,
2021/07/15 17:26,28.0,
2021/07/15 17:27,28.0,
2021/07/15 17:28,28.0,
2021/07/15 17:29,27.9,
2021/07/15 17:30,27.9,
2021/07/15 17:31,27.8,
2021/07/15 17:32,27.8,
2021/07/15 17:33,27.8,
2021/07/15 17:34,27.7,
2021/07/15 17:35,27.7,
2021/07/15 17:36,27.7,
2021/07/15 17:37,27.6,
2021/07/15 17:38,27.6,
2021/07/15 17:39,27.6,
2021/07/15 17:40,27.5,
2021/07/15 17:41,27.5,
2021/07/15 17:42,27.4,
2021/07/15 17:43,27.4,
2021/07/15 17:44,27.4,
2021/07/15 17:45,27.3,
2021/07/15 17:46,27.3,
2021/07/15 17:47,27.2,
2021/07/15 17:48,27.2,
2021/07/15 17:49,27.1,
2021/07/15 17:50,27.1,
2021/07/15 17:51,27.0,
2021/07/15 17:52,27.0,
2021/07/15 17:53,26.9,
2021/07/15 17:54,26.9,
2021/07/15 17:55,26.8,
2021/07/15 17:56,26.8,
2021/07/15 17:57,26.7,
2021/07/15 17:58,26.7,
2021/07/15 17:59,26.6,
2021/07/15 18:00,26.5,
2021/07/15 18:01,26.5,
2021/07/15 18:02,26.4,
2021/07/15 18:03,26.3,
2021/07/15 18:04,26.3,
2021/07/15 18:05,26.2,
2021/07/15 18:06,26.1,
2021/07/15 18:07,26.1,
2021/07/15 18:08,26.0,
2021/07/15 18:09,26.0,
2021/07/15 18:10,25.9,
2021/07/15 18:11,25.9,
2021/07/15 18:12,25.8,
2021/07/15 18:13,25.8,
2021/07/15 18:14,25.7,
2021/07/15 18:15,25.7,
2021/07/15 18:16,25.6,
2021/07/15 18:17,25.6,
2021/07/15 18:18,25.5,
2021/07/15 18:19,25.5,
2021/07/15 18:20,25.5,
2021/07/15 18:21,25.4,
2021/07/15 18:22,25.4,
2021/07/15 18:23,25.3,
2021/07/15 18:24,25.3,
2021/07/15 18:25,25.3,
2021/07/15 18:26,25.2,
2021/07/15 18:27,25.2,
2021/07/15 18:28,25.2,
2021/07/15 18:29,25.1,
2021/07/15 18:30,25.1,
2021/07/15 18:31,25.0,
2021/07/15 18:32,25.0,
2021/07/15 18:33,25.0,
2021/07/15 18:34,24.9,
2021/07/15 18:35,24.9,
2021/07/15 18:36,24.8,
2021/07/15 18:37,24.8,
2021/07/15 18:38,24.8,
2021/07/15 18:39,24.7,
2021/07/15 18:40,24.7,
2021/07/15 18:41,24.6,
2021/07/15 18:42,24.6,
2021/07/15 18:43,24.6,
2021/07/15 18:44,24.5,
2021/07/15 18:45,24.5,
2021/07/15 18:46,24.4,
2021/07/15 18:47,24.4,
2021/07/15 18:48,24.4,
2021/07/15 18:49,24.3,
2021/07/15 18:50,24.3,
2021/07/15 18:51,24.3,
2021/07/15 18:52,24.2,
2021/07/15 18:53,24.2,
2021/07/15 18:54,24.2,
2021/07/15 18:55,24.1,
2021/07/15 18:56,24.1,
2021/07/15 18:57,24.0,
2021/07/15 18:58,24.0,
2021/07/15 18:59,24.0,
2021/07/15 19:00,23.9,
2021/07/15 19:01,23.9,
2021/07/15 19:02,23.9,
2021/07/15 19:03,23.8,
2021/07/15 19:04,23.8,
2021/07/15 19:05,23.8,
2021/07/15 19:06,23.8,
2021/07/15 19:07,23.7,
2021/07/15 19:08,23.7,
2021/07/15 19:09,23.7,
2021/07/15 19:10,23.6,
2021/07/15 19:11,23.6,
2021/07/15 19:12,23.6,
2021/07/15 19:13,23.6,
2021/07/15 19:14,23.5,
2021/07/15 19:15,23.5,
2021/07/15 19:16,23.5,
2021/07/15 19:17,23.4,
2021/07/15 19:18,23.4,
2021/07/15 19:19,23.4,
2021/07/15 19:20,23.4,
2021/07/15 19:21,23.3,
2021/07/15 19:22,23.3,
2021/07/15 19:23,23.3,
2021/07/15 19:24,23.3,
2021/07/15 19:25,23.2,
2021/07/15 19:26,23.2,
2021/07/15 19:27,23.2,
2021/07/15 19:28,23.2,
2021/07/15 19:29,23.1,
2021/07/15 19:30,23.1,
2021/07/15 19:31,23.1,
2021/07/15 19:32,23.1,
2021/07/15 19:33,23.0,
2021/07/15 19:34,23.0,
2021/07/15 19:35,23.0,
2021/07/15 19:36,23.0,
2021/07/15 19:37,22.9,
2021/07/15 19:38,22.9,
2021/07/15 19:39,22.9,
2021/07/15 19:40,22.9,
2021/07/15 19:41,22.9,
2021/07/15 19:42,22.9,
2021/07/15 19:43,22.9,
2021/07/15 19:44,22.8,
2021/07/15 19:45,22.8,
2021/07/15 19:46,22.8,
2021/07/15 19:47,22.8,
2021/07/15 19:48,22.8,
2021/07/15 19:49,22.8,
2021/07/15 19:50,22.8,
2021/07/15 19:51,22.8,
2021/07/15 19:52,22.7,
2021/07/15 19:53,22.8,
2021/07/15 19:54,22.8,
2021/07/15 19:55,22.7,
2021/07/15 19:56,22.7,
2021/07/15 19:57,22.7,
2021/07/15 19:58,22.7,
2021/07/15 19:59,22.6,
2021/07/15 20:00,22.6,
2021/07/15 20:01,22.6,
2021/07/15 20:02,22.6,
2021/07/15 20:03,22.6,
2021/07/15 20:04,22.5,
2021/07/15 20:05,22.5,
2021/07/15 20:06,22.5,
2021/07/15 20:07,22.5,
2021/07/15 20:08,22.5,
2021/07/15 20:09,22.5,
2021/07/15 20:10,22.5,
2021/07/15 20:11,22.5,
2021/07/15 20:12,22.5,
2021/07/15 20:13,22.5,
2021/07/15 20:14,22.5,
2021/07/15 20:15,22.5,
2021/07/15 20:16,22.5,
2021/07/15 20:17,22.5,
2021/07/15 20:18,22.5,
2021/07/15 20:19,22.5,
2021/07/15 20:20,22.5,
2021/07/15 20:21,22.4,
