Date,Grass Temperature
2021/07/17 17:00,32.6,
2021/07/17 17:01,32.5,
2021/07/17 17:02,32.4,
2021/07/17 17:03,32.4,
2021/07/17 17:04,32.5,
2021/07/17 17:05,32.4,
2021/07/17 17:06,32.5,
2021/07/17 17:07,32.4,
2021/07/17 17:08,32.2,
2021/07/17 17:09,32.1,
2021/07/17 17:10,32.0,
2021/07/17 17:11,32.0,
2021/07/17 17:12,32.1,
2021/07/17 17:13,32.2,
2021/07/17 17:14,32.0,
2021/07/17 17:15,32.0,
2021/07/17 17:16,32.0,
2021/07/17 17:17,32.0,
2021/07/17 17:18,31.9,
2021/07/17 17:19,31.9,
2021/07/17 17:20,31.8,
2021/07/17 17:21,31.7,
2021/07/17 17:22,31.8,
2021/07/17 17:23,31.8,
2021/07/17 17:24,31.8,
2021/07/17 17:25,31.8,
2021/07/17 17:26,31.8,
2021/07/17 17:27,31.8,
2021/07/17 17:28,31.7,
2021/07/17 17:29,31.6,
2021/07/17 17:30,31.5,
2021/07/17 17:31,31.4,
2021/07/17 17:32,31.3,
2021/07/17 17:33,31.1,
2021/07/17 17:34,31.1,
2021/07/17 17:35,31.1,
2021/07/17 17:36,31.1,
2021/07/17 17:37,31.0,
2021/07/17 17:38,31.0,
2021/07/17 17:39,30.8,
2021/07/17 17:40,30.7,
2021/07/17 17:41,30.6,
2021/07/17 17:42,30.5,
2021/07/17 17:43,30.4,
2021/07/17 17:44,30.3,
2021/07/17 17:45,30.1,
2021/07/17 17:46,30.0,
2021/07/17 17:47,29.9,
2021/07/17 17:48,29.9,
2021/07/17 17:49,29.8,
2021/07/17 17:50,29.8,
2021/07/17 17:51,29.8,
2021/07/17 17:52,29.7,
2021/07/17 17:53,29.7,
2021/07/17 17:54,29.6,
2021/07/17 17:55,29.6,
2021/07/17 17:56,29.5,
2021/07/17 17:57,29.4,
2021/07/17 17:58,29.4,
2021/07/17 17:59,29.4,
2021/07/17 18:00,29.4,
2021/07/17 18:01,29.3,
2021/07/17 18:02,29.3,
2021/07/17 18:03,29.3,
2021/07/17 18:04,29.2,
2021/07/17 18:05,29.2,
2021/07/17 18:06,29.1,
2021/07/17 18:07,29.1,
2021/07/17 18:08,29.1,
2021/07/17 18:09,29.0,
2021/07/17 18:10,29.0,
2021/07/17 18:11,28.9,
2021/07/17 18:12,28.9,
2021/07/17 18:13,28.8,
2021/07/17 18:14,28.7,
2021/07/17 18:15,28.7,
2021/07/17 18:16,28.7,
2021/07/17 18:17,28.8,
2021/07/17 18:18,28.7,
2021/07/17 18:19,28.6,
2021/07/17 18:20,28.6,
2021/07/17 18:21,28.6,
2021/07/17 18:22,28.6,
2021/07/17 18:23,28.5,
2021/07/17 18:24,28.4,
2021/07/17 18:25,28.4,
2021/07/17 18:26,28.4,
2021/07/17 18:27,28.3,
2021/07/17 18:28,28.3,
2021/07/17 18:29,28.3,
2021/07/17 18:30,28.3,
2021/07/17 18:31,28.2,
2021/07/17 18:32,28.3,
2021/07/17 18:33,28.3,
2021/07/17 18:34,28.2,
2021/07/17 18:35,28.2,
2021/07/17 18:36,28.2,
2021/07/17 18:37,28.2,
2021/07/17 18:38,28.1,
2021/07/17 18:39,28.1,
2021/07/17 18:40,28.0,
2021/07/17 18:41,28.0,
2021/07/17 18:42,28.0,
2021/07/17 18:43,27.9,
2021/07/17 18:44,27.9,
2021/07/17 18:45,27.9,
2021/07/17 18:46,27.8,
2021/07/17 18:47,27.8,
2021/07/17 18:48,27.9,
2021/07/17 18:49,27.9,
2021/07/17 18:50,27.8,
2021/07/17 18:51,27.8,
2021/07/17 18:52,27.8,
2021/07/17 18:53,27.7,
2021/07/17 18:54,27.7,
2021/07/17 18:55,27.7,
2021/07/17 18:56,27.7,
2021/07/17 18:57,27.7,
2021/07/17 18:58,27.7,
2021/07/17 18:59,27.7,
2021/07/17 19:00,27.7,
2021/07/17 19:01,27.6,
2021/07/17 19:02,27.7,
2021/07/17 19:03,27.7,
2021/07/17 19:04,27.7,
2021/07/17 19:05,27.6,
2021/07/17 19:06,27.6,
2021/07/17 19:07,27.6,
2021/07/17 19:08,27.6,
2021/07/17 19:09,27.6,
2021/07/17 19:10,27.6,
2021/07/17 19:11,27.6,
2021/07/17 19:12,27.5,
2021/07/17 19:13,27.4,
2021/07/17 19:14,27.5,
2021/07/17 19:15,27.6,
2021/07/17 19:16,27.5,
2021/07/17 19:17,27.4,
2021/07/17 19:18,27.5,
2021/07/17 19:19,27.5,
2021/07/17 19:20,27.4,
2021/07/17 19:21,27.4,
2021/07/17 19:22,27.4,
2021/07/17 19:23,27.4,
2021/07/17 19:24,27.4,
2021/07/17 19:25,27.4,
2021/07/17 19:26,27.4,
2021/07/17 19:27,27.5,
2021/07/17 19:28,27.4,
2021/07/17 19:29,27.4,
2021/07/17 19:30,27.4,
2021/07/17 19:31,27.4,
2021/07/17 19:32,27.4,
2021/07/17 19:33,27.4,
2021/07/17 19:34,27.4,
2021/07/17 19:35,27.4,
2021/07/17 19:36,27.5,
2021/07/17 19:37,27.5,
2021/07/17 19:38,27.5,
2021/07/17 19:39,27.4,
2021/07/17 19:40,27.4,
2021/07/17 19:41,27.4,
2021/07/17 19:42,27.4,
2021/07/17 19:43,27.3,
2021/07/17 19:44,27.3,
2021/07/17 19:45,27.3,
2021/07/17 19:46,27.3,
2021/07/17 19:47,27.3,
2021/07/17 19:48,27.2,
2021/07/17 19:49,27.3,
2021/07/17 19:50,27.2,
2021/07/17 19:51,27.2,
2021/07/17 19:52,27.2,
2021/07/17 19:53,27.2,
2021/07/17 19:54,27.2,
2021/07/17 19:55,27.2,
2021/07/17 19:56,27.2,
2021/07/17 19:57,27.2,
2021/07/17 19:58,27.2,
2021/07/17 19:59,27.2,
2021/07/17 20:00,27.3,
2021/07/17 20:01,27.3,
2021/07/17 20:02,27.3,
2021/07/17 20:03,27.3,
2021/07/17 20:04,27.2,
2021/07/17 20:05,27.2,
2021/07/17 20:06,27.2,
2021/07/17 20:07,27.2,
2021/07/17 20:08,27.3,
2021/07/17 20:09,27.2,
2021/07/17 20:10,27.2,
2021/07/17 20:11,27.2,
2021/07/17 20:12,27.2,
2021/07/17 20:13,27.2,
2021/07/17 20:14,27.2,
2021/07/17 20:15,27.3,
2021/07/17 20:16,27.3,
2021/07/17 20:17,27.3,
2021/07/17 20:18,27.3,
2021/07/17 20:19,27.2,
2021/07/17 20:20,27.3,
2021/07/17 20:21,27.3,
2021/07/17 20:22,27.3,
2021/07/17 20:23,27.3,
2021/07/17 20:24,27.2,
2021/07/17 20:25,27.2,
2021/07/17 20:26,27.2,
2021/07/17 20:27,27.3,
2021/07/17 20:28,27.3,
2021/07/17 20:29,27.3,
2021/07/17 20:30,27.3,
2021/07/17 20:31,27.3,
2021/07/17 20:32,27.2,
2021/07/17 20:33,27.2,
2021/07/17 20:34,27.2,
2021/07/17 20:35,27.2,
2021/07/17 20:36,27.2,
2021/07/17 20:37,27.2,
2021/07/17 20:38,27.2,
2021/07/17 20:39,27.2,
2021/07/17 20:40,27.2,
2021/07/17 20:41,27.2,
2021/07/17 20:42,27.2,
2021/07/17 20:43,27.2,
2021/07/17 20:44,27.2,
2021/07/17 20:45,27.2,
2021/07/17 20:46,27.2,
2021/07/17 20:47,27.2,
2021/07/17 20:48,27.2,
2021/07/17 20:49,27.2,
2021/07/17 20:50,27.2,
2021/07/17 20:51,27.2,
2021/07/17 20:52,27.2,
2021/07/17 20:53,27.2,
2021/07/17 20:54,27.3,
2021/07/17 20:55,27.3,
2021/07/17 20:56,27.3,
2021/07/17 20:57,27.3,
2021/07/17 20:58,27.3,
2021/07/17 20:59,27.3,
2021/07/17 21:00,27.3,
2021/07/17 21:01,27.3,
2021/07/17 21:02,27.2,
2021/07/17 21:03,27.2,
2021/07/17 21:04,27.3,
2021/07/17 21:05,27.3,
2021/07/17 21:06,27.3,
2021/07/17 21:07,27.3,
2021/07/17 21:08,27.3,
2021/07/17 21:09,27.3,
2021/07/17 21:10,27.3,
2021/07/17 21:11,27.3,
2021/07/17 21:12,27.3,
2021/07/17 21:13,27.3,
2021/07/17 21:14,27.3,
2021/07/17 21:15,27.3,
2021/07/17 21:16,27.2,
2021/07/17 21:17,27.2,
2021/07/17 21:18,27.3,
2021/07/17 21:19,27.3,
2021/07/17 21:20,27.3,
2021/07/17 21:21,27.3,
2021/07/17 21:22,27.3,
2021/07/17 21:23,27.2,
2021/07/17 21:24,27.1,
2021/07/17 21:25,27.1,
2021/07/17 21:26,27.2,
2021/07/17 21:27,27.1,
2021/07/17 21:28,27.1,
2021/07/17 21:29,27.1,
2021/07/17 21:30,27.1,
2021/07/17 21:31,27.1,
2021/07/17 21:32,27.2,
2021/07/17 21:33,27.1,
2021/07/17 21:34,27.1,
2021/07/17 21:35,27.1,
2021/07/17 21:36,27.1,
2021/07/17 21:37,27.1,
2021/07/17 21:38,27.1,
2021/07/17 21:39,27.1,
2021/07/17 21:40,27.1,
2021/07/17 21:41,27.1,
2021/07/17 21:42,27.1,
2021/07/17 21:43,27.1,
2021/07/17 21:44,27.1,
2021/07/17 21:45,27.1,
2021/07/17 21:46,27.1,
2021/07/17 21:47,27.1,
2021/07/17 21:48,27.1,
2021/07/17 21:49,27.1,
2021/07/17 21:50,27.1,
2021/07/17 21:51,27.1,
2021/07/17 21:52,27.1,
2021/07/17 21:53,27.1,
2021/07/17 21:54,27.1,
2021/07/17 21:55,27.1,
2021/07/17 21:56,27.1,
2021/07/17 21:57,27.1,
2021/07/17 21:58,27.1,
2021/07/17 21:59,27.1,
2021/07/17 22:00,27.1,
2021/07/17 22:01,27.1,
2021/07/17 22:02,27.1,
2021/07/17 22:03,27.1,
2021/07/17 22:04,27.1,
2021/07/17 22:05,27.1,
2021/07/17 22:06,27.1,
2021/07/17 22:07,27.1,
2021/07/17 22:08,27.1,
2021/07/17 22:09,27.1,
2021/07/17 22:10,27.1,
2021/07/17 22:11,27.1,
2021/07/17 22:12,27.1,
2021/07/17 22:13,27.1,
2021/07/17 22:14,27.0,
2021/07/17 22:15,27.0,
2021/07/17 22:16,27.0,
2021/07/17 22:17,27.0,
2021/07/17 22:18,27.0,
2021/07/17 22:19,27.0,
2021/07/17 22:20,27.0,
2021/07/17 22:21,27.0,
2021/07/17 22:22,27.0,
2021/07/17 22:23,27.0,
2021/07/17 22:24,27.0,
2021/07/17 22:25,27.0,
2021/07/17 22:26,26.9,
2021/07/17 22:27,26.9,
2021/07/17 22:28,26.9,
2021/07/17 22:29,26.9,
2021/07/17 22:30,27.0,
2021/07/17 22:31,26.9,
2021/07/17 22:32,26.9,
2021/07/17 22:33,26.9,
2021/07/17 22:34,27.0,
2021/07/17 22:35,26.9,
2021/07/17 22:36,26.9,
2021/07/17 22:37,26.9,
2021/07/17 22:38,26.9,
2021/07/17 22:39,26.9,
2021/07/17 22:40,26.9,
2021/07/17 22:41,26.9,
2021/07/17 22:42,26.9,
2021/07/17 22:43,26.9,
2021/07/17 22:44,26.9,
2021/07/17 22:45,26.9,
2021/07/17 22:46,26.9,
2021/07/17 22:47,26.9,
2021/07/17 22:48,26.9,
2021/07/17 22:49,26.9,
