Date,Wind Spd, Wind Dir
2021/07/18 0:00,,
2021/07/18 01:00,8.2,92
2021/07/18 02:00,7.9,90
2021/07/18 2:00,,
2021/07/18 03:00,3.2,65
2021/07/18 04:00,7.1,90
2021/07/18 05:00,7.5,86
2021/07/18 06:00,8.3,88
2021/07/18 07:00,9.1,90
2021/07/18 08:00,10.3,90
2021/07/18 09:00,11.3,93
2021/07/18 10:00,12.3,90
2021/07/18 11:00,5.4,107
2021/07/18 12:00,10.4,101
2021/07/18 13:00,13.7,86
2021/07/18 14:00,13.6,88
2021/07/18 15:00,18.0,90
2021/07/18 16:00,,
2021/07/18 17:00,13.5,90
2021/07/18 18:00,13.1,91
2021/07/18 19:00,12.3,90
2021/07/18 20:00,12.6,89
2021/07/18 21:00,13.1,90
2021/07/18 22:00,12.2,90
2021/07/19 00:00,14.8,90
