Date,Wind Spd, Wind Dir
2021/07/18 0:00,,,
2021/07/18 0:01,,,
2021/07/18 0:02,,,
2021/07/18 0:03,,,
2021/07/18 0:04,,,
2021/07/18 0:05,,,
2021/07/18 0:06,,,
2021/07/18 0:07,,,
2021/07/18 0:08,,,
2021/07/18 0:09,,,
2021/07/18 0:10,,,
2021/07/18 0:11,,,
2021/07/18 0:12,,,
2021/07/18 0:13,,,
2021/07/18 0:14,,,
2021/07/18 0:15,,,
2021/07/18 0:16,,,
2021/07/18 0:17,,,
2021/07/18 0:18,,,
2021/07/18 0:19,,,
2021/07/18 0:20,,,
2021/07/18 0:21,,,
2021/07/18 0:22,,,
2021/07/18 0:23,,,
2021/07/18 0:24,,,
2021/07/18 0:25,,,
2021/07/18 0:26,,,
2021/07/18 0:27,,,
2021/07/18 0:28,,,
2021/07/18 0:29,,,
2021/07/18 0:30,,,
2021/07/18 0:31,,,
2021/07/18 0:32,,,
2021/07/18 0:33,,,
2021/07/18 0:34,,,
2021/07/18 0:35,,,
2021/07/18 0:36,,,
2021/07/18 0:37,,,
2021/07/18 0:38,,,
2021/07/18 0:39,,,
2021/07/18 0:40,,,
2021/07/18 0:41,,,
2021/07/18 0:42,,,
2021/07/18 0:43,,,
2021/07/18 0:44,,,
2021/07/18 0:45,,,
2021/07/18 0:46,,,
2021/07/18 0:47,,,
2021/07/18 0:48,,,
2021/07/18 0:49,,,
2021/07/18 0:50,,,
2021/07/18 0:51,,,
2021/07/18 0:52,,,
2021/07/18 0:53,,,
2021/07/18 0:54,,,
2021/07/18 0:55,,,
2021/07/18 0:56,,,
2021/07/18 0:57,,,
2021/07/18 0:58,,,
2021/07/18 0:59,,,
2021/07/18 1:00,,,
2021/07/18 1:01,,,
2021/07/18 1:02,,,
2021/07/18 1:03,,,
2021/07/18 1:04,,,
2021/07/18 1:05,,,
2021/07/18 1:06,,,
2021/07/18 1:07,,,
2021/07/18 1:08,,,
2021/07/18 1:09,,,
2021/07/18 1:10,,,
2021/07/18 1:11,,,
2021/07/18 1:12,,,
2021/07/18 1:13,,,
2021/07/18 1:14,,,
2021/07/18 1:15,,,
2021/07/18 1:16,,,
2021/07/18 1:17,,,
2021/07/18 1:18,,,
2021/07/18 1:19,,,
2021/07/18 1:20,,,
2021/07/18 1:21,,,
2021/07/18 1:22,,,
2021/07/18 1:23,,,
2021/07/18 1:24,,,
2021/07/18 1:25,,,
2021/07/18 1:26,,,
2021/07/18 1:27,,,
2021/07/18 1:28,,,
2021/07/18 1:29,,,
2021/07/18 1:30,,,
2021/07/18 1:31,,,
2021/07/18 1:32,,,
2021/07/18 1:33,,,
2021/07/18 1:34,,,
2021/07/18 1:35,,,
2021/07/18 1:36,,,
2021/07/18 1:37,,,
2021/07/18 1:38,,,
2021/07/18 1:39,,,
2021/07/18 1:40,,,
2021/07/18 1:41,,,
2021/07/18 1:42,,,
2021/07/18 1:43,,,
2021/07/18 1:44,,,
2021/07/18 1:45,,,
2021/07/18 1:46,,,
2021/07/18 1:47,,,
2021/07/18 1:48,,,
2021/07/18 1:49,,,
2021/07/18 1:50,,,
2021/07/18 1:51,,,
2021/07/18 1:52,,,
2021/07/18 1:53,,,
2021/07/18 1:54,,,
2021/07/18 1:55,,,
2021/07/18 1:56,,,
2021/07/18 1:57,,,
2021/07/18 1:58,,,
2021/07/18 1:59,,,
2021/07/18 2:00,,,
2021/07/18 2:01,,,
2021/07/18 2:02,,,
2021/07/18 2:03,,,
2021/07/18 2:04,,,
2021/07/18 2:05,,,
2021/07/18 2:06,,,
2021/07/18 2:07,,,
2021/07/18 2:08,,,
2021/07/18 2:09,,,
2021/07/18 2:10,,,
2021/07/18 2:11,,,
2021/07/18 2:12,,,
2021/07/18 2:13,,,
2021/07/18 2:14,,,
2021/07/18 2:15,,,
2021/07/18 2:16,,,
2021/07/18 2:17,,,
2021/07/18 2:18,,,
2021/07/18 2:19,,,
2021/07/18 2:20,,,
2021/07/18 2:21,,,
2021/07/18 2:22,,,
2021/07/18 2:23,,,
2021/07/18 2:24,,,
2021/07/18 2:25,,,
2021/07/18 2:26,,,
2021/07/18 2:27,,,
2021/07/18 2:28,,,
2021/07/18 2:29,3.0,27
2021/07/18 2:30,3.0,27
2021/07/18 2:31,3.0,27
2021/07/18 2:32,3.0,32
2021/07/18 2:33,3.0,9999
2021/07/18 2:34,2.0,9999
2021/07/18 2:35,1.0,9999
2021/07/18 2:36,1.0,127
2021/07/18 2:37,1.0,132
2021/07/18 2:38,1.0,132
2021/07/18 2:39,1.0,132
2021/07/18 2:40,0.0,0
2021/07/18 2:41,0.0,0
2021/07/18 2:42,1.0,9999
2021/07/18 2:43,1.0,9999
2021/07/18 2:44,1.0,198
2021/07/18 2:45,1.0,200
2021/07/18 2:46,1.0,201
2021/07/18 2:47,1.0,201
2021/07/18 2:48,1.0,202
2021/07/18 2:49,1.0,202
2021/07/18 2:50,1.0,202
2021/07/18 2:51,1.0,205
2021/07/18 2:52,1.0,209
2021/07/18 2:53,2.0,212
2021/07/18 2:54,2.0,215
2021/07/18 2:55,2.0,217
2021/07/18 2:56,2.0,218
2021/07/18 2:57,2.0,220
2021/07/18 2:58,2.0,222
2021/07/18 2:59,2.0,224
2021/07/18 3:00,2.0,226
2021/07/18 3:01,2.0,226
2021/07/18 3:02,1.0,228
2021/07/18 3:03,1.0,230
2021/07/18 3:04,1.0,231
2021/07/18 3:05,1.0,232
2021/07/18 3:06,1.0,232
2021/07/18 3:07,1.0,231
2021/07/18 3:08,1.0,229
2021/07/18 3:09,1.0,227
2021/07/18 3:10,1.0,224
2021/07/18 3:11,1.0,222
2021/07/18 3:12,1.0,218
2021/07/18 3:13,2.0,214
2021/07/18 3:14,2.0,212
2021/07/18 3:15,2.0,211
2021/07/18 3:16,2.0,211
2021/07/18 3:17,2.0,212
2021/07/18 3:18,2.0,213
2021/07/18 3:19,2.0,215
2021/07/18 3:20,1.0,216
2021/07/18 3:21,1.0,217
2021/07/18 3:22,1.0,9999
2021/07/18 3:23,1.0,9999
2021/07/18 3:24,1.0,9999
2021/07/18 3:25,0.0,0
2021/07/18 3:26,0.0,0
2021/07/18 3:27,0.0,0
2021/07/18 3:28,0.0,0
2021/07/18 3:29,0.0,0
2021/07/18 3:30,0.0,0
2021/07/18 3:31,0.0,0
2021/07/18 3:32,0.0,0
2021/07/18 3:33,0.0,0
2021/07/18 3:34,0.0,0
2021/07/18 3:35,1.0,9999
2021/07/18 3:36,1.0,9999
2021/07/18 3:37,1.0,212
2021/07/18 3:38,1.0,220
2021/07/18 3:39,1.0,224
2021/07/18 3:40,1.0,228
2021/07/18 3:41,1.0,232
2021/07/18 3:42,1.0,237
2021/07/18 3:43,1.0,242
2021/07/18 3:44,3.0,246
2021/07/18 3:45,3.0,254
2021/07/18 3:46,3.0,260
2021/07/18 3:47,3.0,263
2021/07/18 3:48,3.0,262
2021/07/18 3:49,3.0,264
2021/07/18 3:50,4.0,266
2021/07/18 3:51,4.0,268
2021/07/18 3:52,4.0,139
2021/07/18 3:53,4.0,137
2021/07/18 3:54,4.0,137
2021/07/18 3:55,4.0,137
2021/07/18 3:56,5.0,183
2021/07/18 3:57,5.0,185
2021/07/18 3:58,5.0,186
2021/07/18 3:59,6.0,189
2021/07/18 4:00,6.0,189
2021/07/18 4:01,6.0,188
2021/07/18 4:02,6.0,188
2021/07/18 4:03,6.0,189
2021/07/18 4:04,6.0,188
2021/07/18 4:05,7.0,187
2021/07/18 4:06,7.0,186
2021/07/18 4:07,7.0,188
2021/07/18 4:08,8.0,191
2021/07/18 4:09,8.0,192
2021/07/18 4:10,7.0,193
2021/07/18 4:11,7.0,195
2021/07/18 4:12,6.0,195
2021/07/18 4:13,6.0,193
2021/07/18 4:14,6.0,193
2021/07/18 4:15,5.0,191
2021/07/18 4:16,4.0,192
2021/07/18 4:17,4.0,191
2021/07/18 4:18,3.0,89
2021/07/18 4:19,3.0,183
2021/07/18 4:20,1.0,9999
2021/07/18 4:21,1.0,9999
2021/07/18 4:22,1.0,11
2021/07/18 4:23,2.0,9999
2021/07/18 4:24,2.0,9999
2021/07/18 4:25,3.0,9999
2021/07/18 4:26,3.0,9999
2021/07/18 4:27,4.0,315
2021/07/18 4:28,4.0,311
2021/07/18 4:29,5.0,306
2021/07/18 4:30,5.0,301
2021/07/18 4:31,5.0,298
2021/07/18 4:32,5.0,296
2021/07/18 4:33,5.0,296
2021/07/18 4:34,5.0,297
2021/07/18 4:35,5.0,293
2021/07/18 4:36,4.0,290
2021/07/18 4:37,4.0,252
2021/07/18 4:38,3.0,250
2021/07/18 4:39,3.0,250
2021/07/18 4:40,2.0,250
2021/07/18 4:41,2.0,250
2021/07/18 4:42,3.0,16
2021/07/18 4:43,3.0,17
2021/07/18 4:44,3.0,14
2021/07/18 4:45,3.0,12
2021/07/18 4:46,3.0,9
2021/07/18 4:47,4.0,8
2021/07/18 4:48,4.0,8
2021/07/18 4:49,5.0,8
2021/07/18 4:50,6.0,6
2021/07/18 4:51,6.0,163
2021/07/18 4:52,6.0,165
2021/07/18 4:53,6.0,166
2021/07/18 4:54,6.0,168
2021/07/18 4:55,6.0,166
2021/07/18 4:56,7.0,164
2021/07/18 4:57,8.0,164
2021/07/18 4:58,7.0,164
2021/07/18 4:59,6.0,166
2021/07/18 5:00,6.0,220
2021/07/18 5:01,5.0,226
2021/07/18 5:02,5.0,233
2021/07/18 5:03,4.0,241
2021/07/18 5:04,4.0,245
2021/07/18 5:05,4.0,248
2021/07/18 5:06,4.0,249
2021/07/18 5:07,3.0,248
2021/07/18 5:08,3.0,251
2021/07/18 5:09,3.0,255
2021/07/18 5:10,3.0,256
2021/07/18 5:11,3.0,256
2021/07/18 5:12,3.0,254
2021/07/18 5:13,3.0,252
2021/07/18 5:14,3.0,250
2021/07/18 5:15,3.0,249
2021/07/18 5:16,3.0,250
2021/07/18 5:17,3.0,253
2021/07/18 5:18,3.0,254
2021/07/18 5:19,3.0,257
2021/07/18 5:20,3.0,260
2021/07/18 5:21,3.0,262
2021/07/18 5:22,3.0,265
2021/07/18 5:23,3.0,266
2021/07/18 5:24,3.0,268
2021/07/18 5:25,3.0,268
2021/07/18 5:26,3.0,268
2021/07/18 5:27,3.0,268
2021/07/18 5:28,3.0,268
2021/07/18 5:29,4.0,268
2021/07/18 5:30,4.0,266
2021/07/18 5:31,4.0,264
2021/07/18 5:32,4.0,263
2021/07/18 5:33,4.0,263
2021/07/18 5:34,4.0,262
2021/07/18 5:35,4.0,261
2021/07/18 5:36,4.0,259
2021/07/18 5:37,4.0,258
2021/07/18 5:38,4.0,256
2021/07/18 5:39,4.0,253
2021/07/18 5:40,4.0,252
2021/07/18 5:41,4.0,250
2021/07/18 5:42,4.0,250
2021/07/18 5:43,4.0,250
2021/07/18 5:44,4.0,250
2021/07/18 5:45,4.0,251
2021/07/18 5:46,4.0,253
2021/07/18 5:47,5.0,254
2021/07/18 5:48,5.0,256
2021/07/18 5:49,5.0,259
2021/07/18 5:50,5.0,260
2021/07/18 5:51,6.0,263
2021/07/18 5:52,6.0,264
2021/07/18 5:53,6.0,263
2021/07/18 5:54,6.0,263
2021/07/18 5:55,6.0,263
2021/07/18 5:56,6.0,262
2021/07/18 5:57,6.0,261
2021/07/18 5:58,6.0,259
2021/07/18 5:59,6.0,257
2021/07/18 6:00,5.0,256
2021/07/18 6:01,5.0,254
2021/07/18 6:02,5.0,253
2021/07/18 6:03,5.0,252
2021/07/18 6:04,5.0,251
2021/07/18 6:05,5.0,250
2021/07/18 6:06,5.0,248
2021/07/18 6:07,5.0,246
2021/07/18 6:08,5.0,245
2021/07/18 6:09,5.0,243
2021/07/18 6:10,4.0,243
2021/07/18 6:11,4.0,241
2021/07/18 6:12,4.0,240
2021/07/18 6:13,3.0,239
2021/07/18 6:14,3.0,238
2021/07/18 6:15,2.0,9999
2021/07/18 6:16,1.0,9999
2021/07/18 6:17,1.0,9999
2021/07/18 6:18,1.0,9999
2021/07/18 6:19,0.0,0
2021/07/18 6:20,0.0,0
2021/07/18 6:21,0.0,0
2021/07/18 6:22,0.0,0
2021/07/18 6:23,0.0,0
2021/07/18 6:24,1.0,240
2021/07/18 6:25,1.0,239
2021/07/18 6:26,1.0,239
2021/07/18 6:27,1.0,240
2021/07/18 6:28,1.0,241
2021/07/18 6:29,1.0,241
2021/07/18 6:30,1.0,240
2021/07/18 6:31,1.0,240
