Date,Wind Spd, Wind Dir
2021/07/20 0:00,31.0,87
2021/07/20 0:01,30.0,92
2021/07/20 0:02,29.0,95
2021/07/20 0:03,29.0,97
2021/07/20 0:04,29.0,99
2021/07/20 0:05,28.0,102
2021/07/20 0:06,28.0,103
2021/07/20 0:07,28.0,104
2021/07/20 0:08,28.0,104
2021/07/20 0:09,28.0,104
2021/07/20 0:10,28.0,107
2021/07/20 0:11,28.0,106
2021/07/20 0:12,28.0,107
2021/07/20 0:13,26.0,110
2021/07/20 0:14,25.0,111
2021/07/20 0:15,25.0,110
2021/07/20 0:16,24.0,111
2021/07/20 0:17,24.0,111
2021/07/20 0:18,23.0,113
2021/07/20 0:19,22.0,113
2021/07/20 0:20,22.0,113
2021/07/20 0:21,21.0,114
2021/07/20 0:22,21.0,115
2021/07/20 0:23,22.0,116
2021/07/20 0:24,21.0,118
2021/07/20 0:25,19.0,121
2021/07/20 0:26,18.0,122
2021/07/20 0:27,17.0,122
2021/07/20 0:28,17.0,122
2021/07/20 0:29,16.0,124
2021/07/20 0:30,15.0,123
2021/07/20 0:31,16.0,121
2021/07/20 0:32,15.0,120
2021/07/20 0:33,15.0,117
2021/07/20 0:34,16.0,115
2021/07/20 0:35,17.0,112
2021/07/20 0:36,17.0,111
2021/07/20 0:37,17.0,111
2021/07/20 0:38,17.0,109
2021/07/20 0:39,18.0,105
2021/07/20 0:40,19.0,103
2021/07/20 0:41,19.0,102
2021/07/20 0:42,21.0,100
2021/07/20 0:43,23.0,98
2021/07/20 0:44,23.0,95
2021/07/20 0:45,24.0,92
2021/07/20 0:46,24.0,90
2021/07/20 0:47,25.0,87
2021/07/20 0:48,26.0,84
2021/07/20 0:49,27.0,82
2021/07/20 0:50,27.0,80
2021/07/20 0:51,26.0,78
2021/07/20 0:52,26.0,76
2021/07/20 0:53,25.0,77
2021/07/20 0:54,24.0,78
2021/07/20 0:55,24.0,78
2021/07/20 0:56,24.0,79
2021/07/20 0:57,23.0,82
2021/07/20 0:58,23.0,85
2021/07/20 0:59,24.0,87
2021/07/20 1:00,25.0,90
2021/07/20 1:01,26.0,93
2021/07/20 1:02,26.0,98
2021/07/20 1:03,26.0,100
2021/07/20 1:04,27.0,101
2021/07/20 1:05,27.0,103
2021/07/20 1:06,29.0,103
2021/07/20 1:07,30.0,103
2021/07/20 1:08,32.0,103
2021/07/20 1:09,33.0,102
2021/07/20 1:10,33.0,100
2021/07/20 1:11,33.0,98
2021/07/20 1:12,33.0,95
2021/07/20 1:13,32.0,93
2021/07/20 1:14,32.0,92
2021/07/20 1:15,30.0,92
2021/07/20 1:16,30.0,93
2021/07/20 1:17,27.0,95
2021/07/20 1:18,26.0,95
2021/07/20 1:19,24.0,95
2021/07/20 1:20,22.0,95
2021/07/20 1:21,21.0,94
2021/07/20 1:22,21.0,93
2021/07/20 1:23,21.0,93
2021/07/20 1:24,21.0,92
2021/07/20 1:25,21.0,90
2021/07/20 1:26,22.0,87
2021/07/20 1:27,22.0,85
2021/07/20 1:28,22.0,84
2021/07/20 1:29,22.0,84
2021/07/20 1:30,22.0,83
2021/07/20 1:31,22.0,84
2021/07/20 1:32,22.0,84
2021/07/20 1:33,22.0,84
2021/07/20 1:34,22.0,84
2021/07/20 1:35,22.0,84
