Date,Wind Spd, Wind Dir
2021/07/20 0:00,40.0,96
2021/07/20 0:01,40.0,96
2021/07/20 0:02,41.0,97
2021/07/20 0:03,42.0,98
2021/07/20 0:04,43.0,98
2021/07/20 0:05,43.0,98
2021/07/20 0:06,44.0,99
2021/07/20 0:07,45.0,99
2021/07/20 0:08,45.0,100
2021/07/20 0:09,45.0,101
2021/07/20 0:10,45.0,102
2021/07/20 0:11,44.0,102
2021/07/20 0:12,44.0,102
2021/07/20 0:13,44.0,102
2021/07/20 0:14,44.0,102
2021/07/20 0:15,43.0,102
2021/07/20 0:16,44.0,102
2021/07/20 0:17,44.0,102
2021/07/20 0:18,45.0,102
2021/07/20 0:19,45.0,102
2021/07/20 0:20,46.0,101
2021/07/20 0:21,45.0,101
2021/07/20 0:22,45.0,101
2021/07/20 0:23,45.0,101
2021/07/20 0:24,44.0,102
2021/07/20 0:25,44.0,102
2021/07/20 0:26,43.0,101
2021/07/20 0:27,42.0,101
2021/07/20 0:28,42.0,101
2021/07/20 0:29,41.0,99
2021/07/20 0:30,40.0,99
2021/07/20 0:31,40.0,98
2021/07/20 0:32,41.0,97
2021/07/20 0:33,40.0,97
2021/07/20 0:34,40.0,97
2021/07/20 0:35,40.0,96
2021/07/20 0:36,40.0,96
2021/07/20 0:37,40.0,96
2021/07/20 0:38,40.0,95
2021/07/20 0:39,40.0,95
2021/07/20 0:40,40.0,95
2021/07/20 0:41,40.0,94
2021/07/20 0:42,41.0,94
2021/07/20 0:43,42.0,93
2021/07/20 0:44,43.0,93
2021/07/20 0:45,44.0,92
2021/07/20 0:46,44.0,91
2021/07/20 0:47,44.0,91
2021/07/20 0:48,45.0,92
2021/07/20 0:49,45.0,92
2021/07/20 0:50,45.0,92
2021/07/20 0:51,44.0,93
2021/07/20 0:52,43.0,93
2021/07/20 0:53,42.0,93
2021/07/20 0:54,42.0,94
2021/07/20 0:55,42.0,95
2021/07/20 0:56,41.0,96
2021/07/20 0:57,40.0,96
2021/07/20 0:58,40.0,96
2021/07/20 0:59,40.0,96
2021/07/20 1:00,39.0,94
2021/07/20 1:01,38.0,93
2021/07/20 1:02,37.0,92
2021/07/20 1:03,36.0,92
2021/07/20 1:04,35.0,92
2021/07/20 1:05,34.0,92
2021/07/20 1:06,34.0,92
2021/07/20 1:07,35.0,94
2021/07/20 1:08,35.0,94
2021/07/20 1:09,35.0,96
2021/07/20 1:10,36.0,98
2021/07/20 1:11,37.0,100
2021/07/20 1:12,38.0,101
2021/07/20 1:13,39.0,101
2021/07/20 1:14,39.0,101
2021/07/20 1:15,39.0,101
2021/07/20 1:16,39.0,101
2021/07/20 1:17,37.0,100
2021/07/20 1:18,37.0,100
2021/07/20 1:19,37.0,100
2021/07/20 1:20,37.0,100
2021/07/20 1:21,36.0,99
2021/07/20 1:22,36.0,100
2021/07/20 1:23,36.0,99
2021/07/20 1:24,36.0,100
2021/07/20 1:25,37.0,100
2021/07/20 1:26,37.0,99
2021/07/20 1:27,38.0,98
2021/07/20 1:28,39.0,98
2021/07/20 1:29,39.0,97
2021/07/20 1:30,40.0,97
2021/07/20 1:31,40.0,97
2021/07/20 1:32,40.0,97
2021/07/20 1:33,41.0,97
2021/07/20 1:34,42.0,97
2021/07/20 1:35,42.0,98
2021/07/20 1:36,42.0,98
2021/07/20 1:37,42.0,98
2021/07/20 1:38,42.0,98
2021/07/20 1:39,42.0,99
2021/07/20 1:40,42.0,99
2021/07/20 1:41,43.0,99
2021/07/20 1:42,43.0,99
2021/07/20 1:43,43.0,99
2021/07/20 1:44,42.0,99
2021/07/20 1:45,42.0,100
2021/07/20 1:46,41.0,99
2021/07/20 1:47,41.0,100
2021/07/20 1:48,42.0,100
2021/07/20 1:49,40.0,99
2021/07/20 1:50,40.0,99
2021/07/20 1:51,40.0,100
2021/07/20 1:52,40.0,99
2021/07/20 1:53,40.0,100
2021/07/20 1:54,41.0,99
2021/07/20 1:55,42.0,99
2021/07/20 1:56,42.0,100
2021/07/20 1:57,43.0,100
2021/07/20 1:58,44.0,99
2021/07/20 1:59,45.0,100
2021/07/20 2:00,45.0,99
2021/07/20 2:01,45.0,99
2021/07/20 2:02,45.0,100
2021/07/20 2:03,45.0,100
2021/07/20 2:04,44.0,100
2021/07/20 2:05,44.0,100
2021/07/20 2:06,43.0,98
2021/07/20 2:07,43.0,98
2021/07/20 2:08,43.0,99
2021/07/20 2:09,43.0,98
2021/07/20 2:10,44.0,99
2021/07/20 2:11,43.0,99
2021/07/20 2:12,44.0,99
2021/07/20 2:13,44.0,98
2021/07/20 2:14,44.0,98
2021/07/20 2:15,44.0,98
2021/07/20 2:16,44.0,99
2021/07/20 2:17,43.0,99
2021/07/20 2:18,42.0,99
2021/07/20 2:19,42.0,99
2021/07/20 2:20,42.0,98
2021/07/20 2:21,42.0,97
2021/07/20 2:22,41.0,97
2021/07/20 2:23,41.0,97
2021/07/20 2:24,40.0,96
2021/07/20 2:25,40.0,95
2021/07/20 2:26,40.0,94
2021/07/20 2:27,40.0,93
2021/07/20 2:28,40.0,91
