Date,Wind Spd, Wind Dir
2021/07/22 0:00,13.0,116
2021/07/22 0:01,13.0,116
2021/07/22 0:02,13.0,116
2021/07/22 0:03,13.0,116
2021/07/22 0:04,13.0,117
2021/07/22 0:05,12.0,117
2021/07/22 0:06,12.0,117
2021/07/22 0:07,12.0,117
2021/07/22 0:08,12.0,118
2021/07/22 0:09,12.0,118
2021/07/22 0:10,12.0,118
2021/07/22 0:11,12.0,119
2021/07/22 0:12,12.0,120
2021/07/22 0:13,12.0,121
2021/07/22 0:14,12.0,122
2021/07/22 0:15,12.0,123
2021/07/22 0:16,12.0,125
2021/07/22 0:17,12.0,125
2021/07/22 0:18,12.0,127
2021/07/22 0:19,12.0,128
2021/07/22 0:20,12.0,129
2021/07/22 0:21,12.0,130
2021/07/22 0:22,12.0,130
2021/07/22 0:23,12.0,131
2021/07/22 0:24,12.0,131
2021/07/22 0:25,12.0,131
2021/07/22 0:26,12.0,130
2021/07/22 0:27,12.0,130
2021/07/22 0:28,12.0,129
2021/07/22 0:29,12.0,128
2021/07/22 0:30,12.0,126
2021/07/22 0:31,12.0,126
2021/07/22 0:32,12.0,125
2021/07/22 0:33,12.0,125
2021/07/22 0:34,12.0,124
2021/07/22 0:35,12.0,123
2021/07/22 0:36,12.0,123
2021/07/22 0:37,12.0,123
2021/07/22 0:38,12.0,123
2021/07/22 0:39,12.0,124
2021/07/22 0:40,12.0,125
2021/07/22 0:41,12.0,125
2021/07/22 0:42,11.0,126
2021/07/22 0:43,11.0,126
2021/07/22 0:44,11.0,127
2021/07/22 0:45,11.0,126
2021/07/22 0:46,11.0,126
2021/07/22 0:47,11.0,126
2021/07/22 0:48,11.0,125
2021/07/22 0:49,11.0,124
2021/07/22 0:50,11.0,124
2021/07/22 0:51,11.0,124
2021/07/22 0:52,11.0,123
2021/07/22 0:53,11.0,122
2021/07/22 0:54,11.0,122
2021/07/22 0:55,11.0,122
2021/07/22 0:56,11.0,122
2021/07/22 0:57,11.0,123
2021/07/22 0:58,11.0,123
2021/07/22 0:59,11.0,123
2021/07/22 1:00,11.0,122
2021/07/22 1:01,11.0,121
2021/07/22 1:02,11.0,121
2021/07/22 1:03,11.0,120
2021/07/22 1:04,11.0,119
2021/07/22 1:05,11.0,116
2021/07/22 1:06,10.0,114
2021/07/22 1:07,10.0,111
2021/07/22 1:08,10.0,109
2021/07/22 1:09,10.0,106
2021/07/22 1:10,10.0,105
2021/07/22 1:11,10.0,103
2021/07/22 1:12,9.0,102
2021/07/22 1:13,9.0,101
2021/07/22 1:14,9.0,100
2021/07/22 1:15,9.0,101
2021/07/22 1:16,9.0,101
2021/07/22 1:17,9.0,101
2021/07/22 1:18,9.0,101
2021/07/22 1:19,9.0,102
2021/07/22 1:20,9.0,102
2021/07/22 1:21,9.0,102
2021/07/22 1:22,9.0,102
2021/07/22 1:23,9.0,102
2021/07/22 1:24,9.0,102
2021/07/22 1:25,9.0,102
2021/07/22 1:26,9.0,102
2021/07/22 1:27,9.0,102
2021/07/22 1:28,9.0,102
2021/07/22 1:29,9.0,102
2021/07/22 1:30,9.0,102
2021/07/22 1:31,9.0,101
2021/07/22 1:32,9.0,101
2021/07/22 1:33,9.0,101
2021/07/22 1:34,10.0,101
2021/07/22 1:35,10.0,100
2021/07/22 1:36,10.0,100
2021/07/22 1:37,10.0,99
2021/07/22 1:38,10.0,99
2021/07/22 1:39,11.0,99
2021/07/22 1:40,11.0,100
2021/07/22 1:41,11.0,100
2021/07/22 1:42,11.0,101
2021/07/22 1:43,11.0,100
2021/07/22 1:44,11.0,101
2021/07/22 1:45,10.0,100
2021/07/22 1:46,10.0,100
2021/07/22 1:47,10.0,100
2021/07/22 1:48,10.0,100
2021/07/22 1:49,10.0,100
2021/07/22 1:50,10.0,100
2021/07/22 1:51,10.0,99
2021/07/22 1:52,10.0,99
2021/07/22 1:53,10.0,98
2021/07/22 1:54,10.0,98
2021/07/22 1:55,10.0,98
2021/07/22 1:56,10.0,99
2021/07/22 1:57,10.0,100
2021/07/22 1:58,9.0,100
2021/07/22 1:59,9.0,99
2021/07/22 2:00,9.0,99
2021/07/22 2:01,9.0,99
2021/07/22 2:02,9.0,100
2021/07/22 2:03,9.0,100
2021/07/22 2:04,9.0,101
2021/07/22 2:05,9.0,101
2021/07/22 2:06,9.0,100
2021/07/22 2:07,9.0,99
2021/07/22 2:08,10.0,99
2021/07/22 2:09,10.0,100
2021/07/22 2:10,10.0,100
2021/07/22 2:11,10.0,99
2021/07/22 2:12,11.0,98
2021/07/22 2:13,11.0,99
2021/07/22 2:14,11.0,98
2021/07/22 2:15,12.0,98
2021/07/22 2:16,12.0,98
2021/07/22 2:17,12.0,99
2021/07/22 2:18,12.0,99
2021/07/22 2:19,12.0,99
2021/07/22 2:20,12.0,99
2021/07/22 2:21,12.0,99
2021/07/22 2:22,12.0,97
2021/07/22 2:23,12.0,94
2021/07/22 2:24,11.0,92
2021/07/22 2:25,10.0,89
2021/07/22 2:26,10.0,85
2021/07/22 2:27,9.0,82
2021/07/22 2:28,8.0,80
2021/07/22 2:29,8.0,78
2021/07/22 2:30,7.0,75
2021/07/22 2:31,6.0,73
2021/07/22 2:32,6.0,74
2021/07/22 2:33,6.0,75
2021/07/22 2:34,6.0,75
2021/07/22 2:35,6.0,75
2021/07/22 2:36,6.0,76
2021/07/22 2:37,6.0,77
2021/07/22 2:38,6.0,77
2021/07/22 2:39,6.0,78
2021/07/22 2:40,6.0,77
2021/07/22 2:41,6.0,78
2021/07/22 2:42,6.0,77
2021/07/22 2:43,6.0,75
2021/07/22 2:44,6.0,74
2021/07/22 2:45,6.0,74
2021/07/22 2:46,6.0,74
2021/07/22 2:47,6.0,72
2021/07/22 2:48,6.0,71
2021/07/22 2:49,6.0,69
2021/07/22 2:50,6.0,68
2021/07/22 2:51,6.0,67
2021/07/22 2:52,6.0,67
2021/07/22 2:53,6.0,68
2021/07/22 2:54,6.0,69
2021/07/22 2:55,6.0,70
2021/07/22 2:56,6.0,71
2021/07/22 2:57,7.0,72
2021/07/22 2:58,6.0,72
2021/07/22 2:59,6.0,73
2021/07/22 3:00,6.0,72
2021/07/22 3:01,6.0,71
2021/07/22 3:02,6.0,69
2021/07/22 3:03,5.0,69
2021/07/22 3:04,5.0,68
2021/07/22 3:05,5.0,67
2021/07/22 3:06,5.0,65
2021/07/22 3:07,4.0,64
2021/07/22 3:08,4.0,64
2021/07/22 3:09,4.0,64
2021/07/22 3:10,4.0,65
2021/07/22 3:11,5.0,66
2021/07/22 3:12,5.0,67
2021/07/22 3:13,5.0,67
2021/07/22 3:14,5.0,67
2021/07/22 3:15,5.0,68
2021/07/22 3:16,5.0,69
2021/07/22 3:17,5.0,69
2021/07/22 3:18,5.0,69
2021/07/22 3:19,5.0,69
2021/07/22 3:20,5.0,69
2021/07/22 3:21,5.0,67
2021/07/22 3:22,5.0,67
2021/07/22 3:23,5.0,67
2021/07/22 3:24,5.0,66
2021/07/22 3:25,5.0,65
2021/07/22 3:26,5.0,64
2021/07/22 3:27,5.0,63
2021/07/22 3:28,5.0,63
2021/07/22 3:29,4.0,61
2021/07/22 3:30,4.0,61
2021/07/22 3:31,4.0,61
2021/07/22 3:32,4.0,60
2021/07/22 3:33,4.0,59
2021/07/22 3:34,4.0,59
2021/07/22 3:35,4.0,57
2021/07/22 3:36,4.0,56
2021/07/22 3:37,4.0,55
2021/07/22 3:38,4.0,54
2021/07/22 3:39,4.0,53
2021/07/22 3:40,4.0,53
2021/07/22 3:41,4.0,54
2021/07/22 3:42,4.0,53
2021/07/22 3:43,4.0,53
2021/07/22 3:44,4.0,52
2021/07/22 3:45,4.0,53
2021/07/22 3:46,4.0,53
2021/07/22 3:47,4.0,53
2021/07/22 3:48,4.0,55
2021/07/22 3:49,4.0,56
2021/07/22 3:50,5.0,56
2021/07/22 3:51,5.0,57
2021/07/22 3:52,5.0,59
2021/07/22 3:53,5.0,60
2021/07/22 3:54,5.0,62
2021/07/22 3:55,5.0,63
2021/07/22 3:56,5.0,64
2021/07/22 3:57,5.0,65
2021/07/22 3:58,5.0,64
2021/07/22 3:59,4.0,65
2021/07/22 4:00,4.0,64
2021/07/22 4:01,4.0,64
2021/07/22 4:02,4.0,63
2021/07/22 4:03,4.0,62
2021/07/22 4:04,4.0,60
2021/07/22 4:05,4.0,59
2021/07/22 4:06,4.0,58
2021/07/22 4:07,4.0,58
2021/07/22 4:08,4.0,57
2021/07/22 4:09,5.0,55
2021/07/22 4:10,5.0,55
