Date,Temp,RH
2021/07/22 0:00,25.5,,
2021/07/22 0:01,25.5,,
2021/07/22 0:02,25.5,,
2021/07/22 0:03,25.5,,
2021/07/22 0:04,25.4,,
2021/07/22 0:05,25.4,,
2021/07/22 0:06,25.4,,
2021/07/22 0:07,25.4,,
2021/07/22 0:08,25.4,,
2021/07/22 0:09,25.4,,
2021/07/22 0:10,25.4,,
2021/07/22 0:11,25.4,,
2021/07/22 0:12,25.4,,
2021/07/22 0:13,25.4,,
2021/07/22 0:14,25.4,,
2021/07/22 0:15,25.4,,
2021/07/22 0:16,25.4,,
2021/07/22 0:17,25.4,,
2021/07/22 0:18,25.4,,
2021/07/22 0:19,25.4,,
2021/07/22 0:20,25.3,,
2021/07/22 0:21,25.3,,
2021/07/22 0:22,25.3,,
2021/07/22 0:23,25.3,,
2021/07/22 0:24,25.3,,
2021/07/22 0:25,25.3,,
2021/07/22 0:26,25.3,,
2021/07/22 0:27,25.3,,
2021/07/22 0:28,25.3,,
2021/07/22 0:29,25.3,,
2021/07/22 0:30,25.3,,
2021/07/22 0:31,25.2,,
2021/07/22 0:32,25.2,,
2021/07/22 0:33,25.2,,
2021/07/22 0:34,25.2,,
2021/07/22 0:35,25.2,,
2021/07/22 0:36,25.2,,
2021/07/22 0:37,25.2,,
2021/07/22 0:38,25.2,,
2021/07/22 0:39,25.2,,
2021/07/22 0:40,25.2,,
2021/07/22 0:41,25.2,,
2021/07/22 0:42,25.2,,
2021/07/22 0:43,25.2,,
2021/07/22 0:44,25.2,,
2021/07/22 0:45,25.1,,
2021/07/22 0:46,25.2,,
2021/07/22 0:47,25.2,,
2021/07/22 0:48,25.2,,
2021/07/22 0:49,25.2,,
2021/07/22 0:50,25.1,,
2021/07/22 0:51,25.1,,
2021/07/22 0:52,25.1,,
2021/07/22 0:53,25.1,,
2021/07/22 0:54,25.1,,
2021/07/22 0:55,25.1,,
2021/07/22 0:56,25.1,,
2021/07/22 0:57,25.1,,
2021/07/22 0:58,25.0,,
2021/07/22 0:59,25.0,,
2021/07/22 1:00,25.0,,
2021/07/22 1:01,25.0,,
2021/07/22 1:02,25.0,,
2021/07/22 1:03,25.0,,
2021/07/22 1:04,25.0,,
2021/07/22 1:05,25.0,,
2021/07/22 1:06,25.0,,
2021/07/22 1:07,25.0,,
2021/07/22 1:08,25.0,,
2021/07/22 1:09,25.0,,
2021/07/22 1:10,24.9,,
2021/07/22 1:11,24.9,,
2021/07/22 1:12,24.9,,
2021/07/22 1:13,25.0,,
2021/07/22 1:14,24.9,,
2021/07/22 1:15,24.9,,
2021/07/22 1:16,24.9,,
2021/07/22 1:17,24.9,,
2021/07/22 1:18,24.9,,
2021/07/22 1:19,24.9,,
2021/07/22 1:20,24.9,,
2021/07/22 1:21,24.9,,
2021/07/22 1:22,24.9,,
2021/07/22 1:23,24.9,,
2021/07/22 1:24,25.0,,
2021/07/22 1:25,25.0,,
2021/07/22 1:26,25.0,,
2021/07/22 1:27,25.0,,
2021/07/22 1:28,24.9,,
2021/07/22 1:29,24.9,,
2021/07/22 1:30,24.9,,
2021/07/22 1:31,24.9,,
2021/07/22 1:32,24.9,,
2021/07/22 1:33,24.9,,
2021/07/22 1:34,24.9,,
2021/07/22 1:35,24.9,,
2021/07/22 1:36,24.9,,
2021/07/22 1:37,24.9,,
2021/07/22 1:38,24.9,,
2021/07/22 1:39,24.9,,
2021/07/22 1:40,24.9,,
2021/07/22 1:41,24.9,,
2021/07/22 1:42,24.9,,
2021/07/22 1:43,24.9,,
2021/07/22 1:44,24.9,,
2021/07/22 1:45,24.9,,
2021/07/22 1:46,24.9,,
2021/07/22 1:47,25.0,,
2021/07/22 1:48,25.0,,
2021/07/22 1:49,25.0,,
2021/07/22 1:50,25.0,,
2021/07/22 1:51,25.0,,
2021/07/22 1:52,25.0,,
2021/07/22 1:53,25.0,,
2021/07/22 1:54,25.0,,
2021/07/22 1:55,25.0,,
2021/07/22 1:56,25.0,,
2021/07/22 1:57,25.0,,
2021/07/22 1:58,24.9,,
2021/07/22 1:59,24.9,,
2021/07/22 2:00,24.9,,
2021/07/22 2:01,24.9,,
2021/07/22 2:02,24.9,,
2021/07/22 2:03,24.9,,
2021/07/22 2:04,24.9,,
2021/07/22 2:05,24.9,,
2021/07/22 2:06,24.9,,
2021/07/22 2:07,24.8,,
2021/07/22 2:08,24.8,,
2021/07/22 2:09,24.8,,
2021/07/22 2:10,24.8,,
2021/07/22 2:11,24.8,,
2021/07/22 2:12,24.8,,
2021/07/22 2:13,24.8,,
2021/07/22 2:14,24.7,,
2021/07/22 2:15,24.7,,
2021/07/22 2:16,24.7,,
2021/07/22 2:17,24.7,,
2021/07/22 2:18,24.7,,
2021/07/22 2:19,24.7,,
2021/07/22 2:20,24.7,,
2021/07/22 2:21,24.7,,
2021/07/22 2:22,24.7,,
2021/07/22 2:23,24.7,,
2021/07/22 2:24,24.6,,
2021/07/22 2:25,24.6,,
2021/07/22 2:26,24.6,,
2021/07/22 2:27,24.6,,
2021/07/22 2:28,24.6,,
2021/07/22 2:29,24.6,,
2021/07/22 2:30,24.6,,
2021/07/22 2:31,24.6,,
2021/07/22 2:32,24.6,,
2021/07/22 2:33,24.6,,
2021/07/22 2:34,24.6,,
2021/07/22 2:35,24.6,,
2021/07/22 2:36,24.6,,
2021/07/22 2:37,24.5,,
2021/07/22 2:38,24.5,,
2021/07/22 2:39,24.5,,
2021/07/22 2:40,24.5,,
2021/07/22 2:41,24.5,,
2021/07/22 2:42,24.5,,
2021/07/22 2:43,24.5,,
2021/07/22 2:44,24.5,,
2021/07/22 2:45,24.5,,
2021/07/22 2:46,24.5,,
2021/07/22 2:47,24.5,,
2021/07/22 2:48,24.5,,
2021/07/22 2:49,24.5,,
2021/07/22 2:50,24.5,,
2021/07/22 2:51,24.4,,
2021/07/22 2:52,24.5,,
2021/07/22 2:53,24.5,,
2021/07/22 2:54,24.5,,
2021/07/22 2:55,24.5,,
2021/07/22 2:56,24.5,,
2021/07/22 2:57,24.4,,
2021/07/22 2:58,24.4,,
2021/07/22 2:59,24.4,,
2021/07/22 3:00,24.4,,
2021/07/22 3:01,24.4,,
2021/07/22 3:02,24.4,,
2021/07/22 3:03,24.4,,
2021/07/22 3:04,24.4,,
2021/07/22 3:05,24.4,,
2021/07/22 3:06,24.4,,
2021/07/22 3:07,24.4,,
2021/07/22 3:08,24.4,,
2021/07/22 3:09,24.4,,
2021/07/22 3:10,24.4,,
2021/07/22 3:11,24.4,,
2021/07/22 3:12,24.4,,
2021/07/22 3:13,24.4,,
2021/07/22 3:14,24.4,,
2021/07/22 3:15,24.4,,
2021/07/22 3:16,24.4,,
2021/07/22 3:17,24.4,,
2021/07/22 3:18,24.3,,
2021/07/22 3:19,24.3,,
2021/07/22 3:20,24.3,,
2021/07/22 3:21,24.3,,
2021/07/22 3:22,24.3,,
2021/07/22 3:23,24.3,,
2021/07/22 3:24,24.3,,
2021/07/22 3:25,24.3,,
2021/07/22 3:26,24.3,,
2021/07/22 3:27,24.3,,
2021/07/22 3:28,24.3,,
2021/07/22 3:29,24.3,,
2021/07/22 3:30,24.3,,
2021/07/22 3:31,24.3,,
2021/07/22 3:32,24.3,,
2021/07/22 3:33,24.3,,
2021/07/22 3:34,24.3,,
2021/07/22 3:35,24.3,,
2021/07/22 3:36,24.3,,
2021/07/22 3:37,24.2,,
2021/07/22 3:38,24.3,,
2021/07/22 3:39,24.3,,
2021/07/22 3:40,24.3,,
2021/07/22 3:41,24.2,,
2021/07/22 3:42,24.2,,
2021/07/22 3:43,24.2,,
2021/07/22 3:44,24.2,,
2021/07/22 3:45,24.2,,
2021/07/22 3:46,24.2,,
2021/07/22 3:47,24.2,,
2021/07/22 3:48,24.2,,
2021/07/22 3:49,24.2,,
2021/07/22 3:50,24.2,,
2021/07/22 3:51,24.2,,
2021/07/22 3:52,24.2,,
2021/07/22 3:53,24.2,,
2021/07/22 3:54,24.2,,
2021/07/22 3:55,24.2,,
2021/07/22 3:56,24.2,,
2021/07/22 3:57,24.3,,
2021/07/22 3:58,24.3,,
2021/07/22 3:59,24.3,,
2021/07/22 4:00,24.3,,
2021/07/22 4:01,24.3,,
2021/07/22 4:02,24.3,,
2021/07/22 4:03,24.3,,
2021/07/22 4:04,24.3,,
2021/07/22 4:05,24.3,,
2021/07/22 4:06,24.2,,
2021/07/22 4:07,24.2,,
2021/07/22 4:08,24.2,,
2021/07/22 4:09,24.2,,
2021/07/22 4:10,24.2,,
2021/07/22 4:11,24.2,,
2021/07/22 4:12,24.2,,
2021/07/22 4:13,24.2,,
2021/07/22 4:14,24.2,,
2021/07/22 4:15,24.2,,
2021/07/22 4:16,24.2,,
2021/07/22 4:17,24.2,,
2021/07/22 4:18,24.1,,
2021/07/22 4:19,24.1,,
2021/07/22 4:20,24.1,,
2021/07/22 4:21,24.1,,
2021/07/22 4:22,24.1,,
