Date,Pressure
2021/07/23 0:00,1000.2,
2021/07/23 0:01,1000.2,
2021/07/23 0:02,1000.2,
2021/07/23 0:03,1000.2,
2021/07/23 0:04,1000.2,
2021/07/23 0:05,1000.2,
2021/07/23 0:06,1000.2,
2021/07/23 0:07,1000.2,
2021/07/23 0:08,1000.1,
2021/07/23 0:09,1000.2,
2021/07/23 0:10,1000.1,
2021/07/23 0:11,1000.2,
2021/07/23 0:12,1000.1,
2021/07/23 0:13,1000.1,
2021/07/23 0:14,1000.1,
2021/07/23 0:15,1000.1,
2021/07/23 0:16,1000.1,
2021/07/23 0:17,1000.1,
2021/07/23 0:18,1000.1,
2021/07/23 0:19,1000.1,
2021/07/23 0:20,1000.1,
2021/07/23 0:21,1000.1,
2021/07/23 0:22,1000.1,
2021/07/23 0:23,1000.1,
2021/07/23 0:24,1000.1,
2021/07/23 0:25,1000.1,
2021/07/23 0:26,1000.1,
2021/07/23 0:27,1000.1,
2021/07/23 0:28,1000.1,
2021/07/23 0:29,1000.1,
2021/07/23 0:30,1000.1,
2021/07/23 0:31,1000.1,
2021/07/23 0:32,1000.1,
2021/07/23 0:33,1000.0,
2021/07/23 0:34,1000.0,
2021/07/23 0:35,1000.0,
2021/07/23 0:36,1000.0,
2021/07/23 0:37,1000.0,
2021/07/23 0:38,1000.0,
2021/07/23 0:39,1000.0,
2021/07/23 0:40,1000.0,
2021/07/23 0:41,1000.0,
2021/07/23 0:42,1000.0,
2021/07/23 0:43,1000.0,
2021/07/23 0:44,1000.0,
2021/07/23 0:45,1000.0,
2021/07/23 0:46,1000.0,
2021/07/23 0:47,1000.0,
2021/07/23 0:48,1000.0,
2021/07/23 0:49,1000.0,
2021/07/23 0:50,1000.0,
2021/07/23 0:51,,
2021/07/23 0:52,,
2021/07/23 0:53,,
2021/07/23 0:54,,
2021/07/23 0:55,,
2021/07/23 0:56,,
2021/07/23 0:57,,
2021/07/23 0:58,,
2021/07/23 0:59,,
2021/07/23 1:00,,
2021/07/23 1:01,,
2021/07/23 1:02,,
2021/07/23 1:03,,
2021/07/23 1:04,,
2021/07/23 1:05,,
2021/07/23 1:06,,
2021/07/23 1:07,,
2021/07/23 1:08,,
2021/07/23 1:09,,
2021/07/23 1:10,,
2021/07/23 1:11,,
2021/07/23 1:12,,
2021/07/23 1:13,,
2021/07/23 1:14,,
2021/07/23 1:15,,
2021/07/23 1:16,,
2021/07/23 1:17,,
2021/07/23 1:18,,
2021/07/23 1:19,,
2021/07/23 1:20,,
2021/07/23 1:21,,
2021/07/23 1:22,,
2021/07/23 1:23,,
2021/07/23 1:24,,
2021/07/23 1:25,,
2021/07/23 1:26,,
2021/07/23 1:27,,
2021/07/23 1:28,,
2021/07/23 1:29,,
2021/07/23 1:30,,
2021/07/23 1:31,,
2021/07/23 1:32,,
2021/07/23 1:33,,
2021/07/23 1:34,,
2021/07/23 1:35,,
2021/07/23 1:36,,
2021/07/23 1:37,,
2021/07/23 1:38,,
2021/07/23 1:39,,
2021/07/23 1:40,,
2021/07/23 1:41,,
2021/07/23 1:42,,
2021/07/23 1:43,,
2021/07/23 1:44,,
2021/07/23 1:45,,
2021/07/23 1:46,,
2021/07/23 1:47,,
2021/07/23 1:48,,
2021/07/23 1:49,,
2021/07/23 1:50,,
2021/07/23 1:51,,
2021/07/23 1:52,,
2021/07/23 1:53,,
2021/07/23 1:54,,
2021/07/23 1:55,,
2021/07/23 1:56,,
2021/07/23 1:57,,
2021/07/23 1:58,,
2021/07/23 1:59,,
2021/07/23 2:00,,
2021/07/23 2:01,,
2021/07/23 2:02,,
2021/07/23 2:03,,
