Date,Temp,RH
2021/07/24 0:00,29.5,,
2021/07/24 0:01,29.5,,
2021/07/24 0:02,29.5,,
2021/07/24 0:03,29.5,,
2021/07/24 0:04,29.5,,
2021/07/24 0:05,29.5,,
2021/07/24 0:06,29.4,,
2021/07/24 0:07,29.4,,
2021/07/24 0:08,29.4,,
2021/07/24 0:09,29.3,,
2021/07/24 0:10,29.3,,
2021/07/24 0:11,29.2,,
2021/07/24 0:12,29.2,,
2021/07/24 0:13,29.0,,
2021/07/24 0:14,28.8,,
2021/07/24 0:15,28.6,,
2021/07/24 0:16,28.5,,
2021/07/24 0:17,28.3,,
2021/07/24 0:18,28.2,,
2021/07/24 0:19,28.0,,
2021/07/24 0:20,27.9,,
2021/07/24 0:21,27.8,,
2021/07/24 0:22,27.7,,
2021/07/24 0:23,27.7,,
2021/07/24 0:24,27.6,,
2021/07/24 0:25,27.4,,
2021/07/24 0:26,27.1,,
2021/07/24 0:27,26.9,,
2021/07/24 0:28,26.9,,
2021/07/24 0:29,26.8,,
2021/07/24 0:30,26.8,,
2021/07/24 0:31,26.7,,
2021/07/24 0:32,26.6,,
2021/07/24 0:33,26.7,,
2021/07/24 0:34,26.7,,
2021/07/24 0:35,26.7,,
2021/07/24 0:36,26.7,,
2021/07/24 0:37,26.7,,
2021/07/24 0:38,26.7,,
2021/07/24 0:39,26.7,,
2021/07/24 0:40,26.8,,
2021/07/24 0:41,26.8,,
2021/07/24 0:42,26.9,,
2021/07/24 0:43,26.9,,
2021/07/24 0:44,26.9,,
2021/07/24 0:45,27.0,,
2021/07/24 0:46,27.1,,
2021/07/24 0:47,27.1,,
2021/07/24 0:48,27.2,,
2021/07/24 0:49,27.3,,
2021/07/24 0:50,27.3,,
2021/07/24 0:51,27.3,,
2021/07/24 0:52,27.3,,
2021/07/24 0:53,27.2,,
2021/07/24 0:54,27.1,,
2021/07/24 0:55,27.0,,
2021/07/24 0:56,26.9,,
2021/07/24 0:57,26.9,,
2021/07/24 0:58,26.8,,
2021/07/24 0:59,26.8,,
2021/07/24 1:00,26.8,,
2021/07/24 1:01,26.8,,
2021/07/24 1:02,26.7,,
