Date,Temp,RH
2021/07/24 0:00,29.3,,
2021/07/24 0:01,29.4,,
2021/07/24 0:02,29.4,,
2021/07/24 0:03,29.4,,
2021/07/24 0:04,29.5,,
2021/07/24 0:05,29.5,,
2021/07/24 0:06,29.5,,
2021/07/24 0:07,29.5,,
2021/07/24 0:08,29.5,,
2021/07/24 0:09,29.5,,
2021/07/24 0:10,29.5,,
2021/07/24 0:11,29.5,,
2021/07/24 0:12,29.5,,
2021/07/24 0:13,29.5,,
2021/07/24 0:14,29.5,,
2021/07/24 0:15,29.5,,
2021/07/24 0:16,29.6,,
2021/07/24 0:17,29.6,,
2021/07/24 0:18,29.6,,
2021/07/24 0:19,29.6,,
2021/07/24 0:20,29.6,,
2021/07/24 0:21,29.6,,
2021/07/24 0:22,29.6,,
2021/07/24 0:23,29.6,,
2021/07/24 0:24,29.6,,
2021/07/24 0:25,29.6,,
2021/07/24 0:26,29.6,,
2021/07/24 0:27,29.6,,
2021/07/24 0:28,29.6,,
2021/07/24 0:29,29.6,,
2021/07/24 0:30,29.6,,
2021/07/24 0:31,29.5,,
2021/07/24 0:32,29.5,,
2021/07/24 0:33,29.5,,
2021/07/24 0:34,29.5,,
2021/07/24 0:35,29.5,,
2021/07/24 0:36,29.5,,
2021/07/24 0:37,29.5,,
2021/07/24 0:38,29.5,,
2021/07/24 0:39,29.5,,
2021/07/24 0:40,29.5,,
2021/07/24 0:41,29.5,,
2021/07/24 0:42,29.5,,
2021/07/24 0:43,29.5,,
2021/07/24 0:44,29.5,,
2021/07/24 0:45,29.6,,
2021/07/24 0:46,29.7,,
2021/07/24 0:47,29.8,,
2021/07/24 0:48,29.8,,
2021/07/24 0:49,29.8,,
2021/07/24 0:50,29.8,,
2021/07/24 0:51,29.7,,
2021/07/24 0:52,29.7,,
2021/07/24 0:53,29.6,,
2021/07/24 0:54,29.6,,
2021/07/24 0:55,29.6,,
2021/07/24 0:56,29.6,,
2021/07/24 0:57,29.6,,
2021/07/24 0:58,29.7,,
2021/07/24 0:59,29.6,,
2021/07/24 1:00,29.6,,
2021/07/24 1:01,29.6,,
2021/07/24 1:02,29.7,,
2021/07/24 1:03,29.7,,
2021/07/24 1:04,29.7,,
2021/07/24 1:05,29.7,,
2021/07/24 1:06,29.7,,
2021/07/24 1:07,29.7,,
2021/07/24 1:08,29.7,,
2021/07/24 1:09,29.7,,
2021/07/24 1:10,29.7,,
2021/07/24 1:11,29.7,,
2021/07/24 1:12,29.7,,
2021/07/24 1:13,29.7,,
2021/07/24 1:14,29.7,,
2021/07/24 1:15,29.7,,
2021/07/24 1:16,29.7,,
2021/07/24 1:17,29.7,,
2021/07/24 1:18,29.7,,
