Date,Temp,RH
2021/07/25 0:00,28.3,,
2021/07/25 0:01,28.3,,
2021/07/25 0:02,28.3,,
2021/07/25 0:03,28.3,,
2021/07/25 0:04,28.2,,
2021/07/25 0:05,28.2,,
2021/07/25 0:06,28.2,,
2021/07/25 0:07,28.1,,
2021/07/25 0:08,28.1,,
2021/07/25 0:09,28.1,,
2021/07/25 0:10,28.1,,
2021/07/25 0:11,28.1,,
2021/07/25 0:12,28.1,,
2021/07/25 0:13,28.1,,
2021/07/25 0:14,28.1,,
2021/07/25 0:15,28.1,,
2021/07/25 0:16,28.1,,
2021/07/25 0:17,28.1,,
2021/07/25 0:18,28.1,,
2021/07/25 0:19,28.1,,
2021/07/25 0:20,28.0,,
2021/07/25 0:21,28.0,,
2021/07/25 0:22,28.0,,
2021/07/25 0:23,28.0,,
2021/07/25 0:24,28.0,,
2021/07/25 0:25,28.0,,
2021/07/25 0:26,27.9,,
2021/07/25 0:27,28.0,,
2021/07/25 0:28,28.0,,
2021/07/25 0:29,28.0,,
2021/07/25 0:30,28.1,,
2021/07/25 0:31,28.1,,
2021/07/25 0:32,28.1,,
2021/07/25 0:33,28.1,,
2021/07/25 0:34,28.2,,
2021/07/25 0:35,28.2,,
2021/07/25 0:36,28.2,,
2021/07/25 0:37,28.2,,
2021/07/25 0:38,28.2,,
2021/07/25 0:39,28.2,,
2021/07/25 0:40,28.2,,
2021/07/25 0:41,28.3,,
2021/07/25 0:42,28.3,,
2021/07/25 0:43,28.3,,
2021/07/25 0:44,28.3,,
2021/07/25 0:45,28.3,,
2021/07/25 0:46,28.3,,
2021/07/25 0:47,28.3,,
2021/07/25 0:48,28.3,,
2021/07/25 0:49,28.3,,
2021/07/25 0:50,28.2,,
2021/07/25 0:51,28.2,,
2021/07/25 0:52,28.0,,
2021/07/25 0:53,28.0,,
2021/07/25 0:54,27.8,,
2021/07/25 0:55,27.7,,
2021/07/25 0:56,27.7,,
2021/07/25 0:57,27.6,,
2021/07/25 0:58,27.5,,
2021/07/25 0:59,27.4,,
2021/07/25 1:00,27.4,,
2021/07/25 1:01,27.3,,
2021/07/25 1:02,27.3,,
2021/07/25 1:03,27.2,,
2021/07/25 1:04,27.2,,
2021/07/25 1:05,27.1,,
2021/07/25 1:06,27.1,,
2021/07/25 1:07,27.0,,
2021/07/25 1:08,26.9,,
2021/07/25 1:09,26.9,,
2021/07/25 1:10,26.9,,
2021/07/25 1:11,26.8,,
2021/07/25 1:12,26.8,,
2021/07/25 1:13,26.8,,
2021/07/25 1:14,26.7,,
2021/07/25 1:15,26.7,,
2021/07/25 1:16,26.7,,
2021/07/25 1:17,26.7,,
2021/07/25 1:18,26.6,,
2021/07/25 1:19,26.6,,
2021/07/25 1:20,26.5,,
2021/07/25 1:21,26.5,,
2021/07/25 1:22,26.5,,
2021/07/25 1:23,26.5,,
2021/07/25 1:24,26.5,,
2021/07/25 1:25,26.5,,
2021/07/25 1:26,26.5,,
