Date,Temp,RH
2021/07/25 0:00,28.7,,
2021/07/25 0:01,28.6,,
2021/07/25 0:02,28.6,,
2021/07/25 0:03,28.4,,
2021/07/25 0:04,28.4,,
2021/07/25 0:05,28.2,,
2021/07/25 0:06,27.8,,
2021/07/25 0:07,27.6,,
2021/07/25 0:08,27.4,,
2021/07/25 0:09,27.3,,
2021/07/25 0:10,27.3,,
2021/07/25 0:11,27.2,,
2021/07/25 0:12,27.2,,
2021/07/25 0:13,27.1,,
2021/07/25 0:14,27.1,,
2021/07/25 0:15,27.1,,
2021/07/25 0:16,27.1,,
2021/07/25 0:17,27.1,,
2021/07/25 0:18,27.0,,
2021/07/25 0:19,27.0,,
2021/07/25 0:20,27.0,,
2021/07/25 0:21,27.0,,
2021/07/25 0:22,27.0,,
2021/07/25 0:23,27.0,,
2021/07/25 0:24,27.0,,
2021/07/25 0:25,27.0,,
2021/07/25 0:26,26.9,,
2021/07/25 0:27,26.8,,
2021/07/25 0:28,26.8,,
2021/07/25 0:29,26.8,,
2021/07/25 0:30,26.7,,
2021/07/25 0:31,26.7,,
2021/07/25 0:32,26.7,,
2021/07/25 0:33,26.7,,
2021/07/25 0:34,26.7,,
2021/07/25 0:35,26.6,,
2021/07/25 0:36,26.6,,
2021/07/25 0:37,26.6,,
2021/07/25 0:38,26.6,,
2021/07/25 0:39,26.6,,
2021/07/25 0:40,26.5,,
2021/07/25 0:41,26.5,,
2021/07/25 0:42,26.6,,
2021/07/25 0:43,26.8,,
2021/07/25 0:44,26.8,,
2021/07/25 0:45,26.8,,
2021/07/25 0:46,26.8,,
2021/07/25 0:47,26.8,,
2021/07/25 0:48,26.8,,
2021/07/25 0:49,26.8,,
2021/07/25 0:50,26.8,,
2021/07/25 0:51,26.7,,
2021/07/25 0:52,26.7,,
2021/07/25 0:53,26.7,,
2021/07/25 0:54,26.6,,
2021/07/25 0:55,26.6,,
2021/07/25 0:56,26.6,,
2021/07/25 0:57,26.6,,
2021/07/25 0:58,26.6,,
2021/07/25 0:59,26.6,,
2021/07/25 1:00,26.6,,
2021/07/25 1:01,26.6,,
2021/07/25 1:02,26.6,,
2021/07/25 1:03,26.6,,
2021/07/25 1:04,26.5,,
2021/07/25 1:05,26.5,,
2021/07/25 1:06,26.6,,
2021/07/25 1:07,26.6,,
2021/07/25 1:08,26.6,,
2021/07/25 1:09,26.6,,
2021/07/25 1:10,26.6,,
2021/07/25 1:11,26.6,,
2021/07/25 1:12,26.6,,
2021/07/25 1:13,26.6,,
2021/07/25 1:14,26.5,,
2021/07/25 1:15,26.5,,
2021/07/25 1:16,26.5,,
2021/07/25 1:17,26.4,,
2021/07/25 1:18,26.4,,
2021/07/25 1:19,26.4,,
2021/07/25 1:20,26.4,,
2021/07/25 1:21,26.4,,
2021/07/25 1:22,26.4,,
2021/07/25 1:23,26.3,,
2021/07/25 1:24,26.2,,
2021/07/25 1:25,26.2,,
2021/07/25 1:26,26.1,,
2021/07/25 1:27,26.1,,
2021/07/25 1:28,26.1,,
2021/07/25 1:29,26.1,,
2021/07/25 1:30,26.1,,
2021/07/25 1:31,26.1,,
2021/07/25 1:32,26.1,,
2021/07/25 1:33,26.1,,
2021/07/25 1:34,26.0,,
2021/07/25 1:35,26.0,,
2021/07/25 1:36,25.9,,
2021/07/25 1:37,25.9,,
2021/07/25 1:38,25.8,,
2021/07/25 1:39,25.8,,
2021/07/25 1:40,25.8,,
2021/07/25 1:41,25.7,,
2021/07/25 1:42,25.7,,
2021/07/25 1:43,25.8,,
2021/07/25 1:44,25.8,,
2021/07/25 1:45,25.8,,
2021/07/25 1:46,25.8,,
2021/07/25 1:47,25.8,,
2021/07/25 1:48,25.8,,
2021/07/25 1:49,25.8,,
2021/07/25 1:50,25.7,,
2021/07/25 1:51,25.7,,
2021/07/25 1:52,25.6,,
2021/07/25 1:53,25.5,,
2021/07/25 1:54,25.5,,
2021/07/25 1:55,25.5,,
2021/07/25 1:56,25.5,,
2021/07/25 1:57,25.5,,
2021/07/25 1:58,25.6,,
2021/07/25 1:59,25.6,,
2021/07/25 2:00,25.7,,
2021/07/25 2:01,25.7,,
2021/07/25 2:02,25.7,,
2021/07/25 2:03,25.7,,
2021/07/25 2:04,25.6,,
2021/07/25 2:05,25.6,,
2021/07/25 2:06,25.6,,
2021/07/25 2:07,25.7,,
2021/07/25 2:08,25.7,,
2021/07/25 2:09,25.7,,
2021/07/25 2:10,25.7,,
2021/07/25 2:11,25.7,,
2021/07/25 2:12,25.8,,
2021/07/25 2:13,25.8,,
2021/07/25 2:14,25.8,,
2021/07/25 2:15,25.8,,
2021/07/25 2:16,25.7,,
2021/07/25 2:17,25.7,,
2021/07/25 2:18,25.7,,
2021/07/25 2:19,25.7,,
2021/07/25 2:20,25.7,,
2021/07/25 2:21,25.7,,
2021/07/25 2:22,25.7,,
2021/07/25 2:23,25.7,,
2021/07/25 2:24,25.7,,
2021/07/25 2:25,25.7,,
2021/07/25 2:26,25.7,,
2021/07/25 2:27,25.7,,
2021/07/25 2:28,25.7,,
2021/07/25 2:29,25.7,,
2021/07/25 2:30,25.7,,
2021/07/25 2:31,25.7,,
2021/07/25 2:32,25.7,,
2021/07/25 2:33,25.8,,
2021/07/25 2:34,25.8,,
2021/07/25 2:35,25.8,,
2021/07/25 2:36,25.7,,
2021/07/25 2:37,25.6,,
2021/07/25 2:38,25.7,,
2021/07/25 2:39,25.7,,
2021/07/25 2:40,25.7,,
2021/07/25 2:41,25.6,,
2021/07/25 2:42,25.6,,
2021/07/25 2:43,25.6,,
2021/07/25 2:44,25.6,,
2021/07/25 2:45,25.6,,
2021/07/25 2:46,25.6,,
2021/07/25 2:47,25.6,,
2021/07/25 2:48,25.6,,
2021/07/25 2:49,25.7,,
2021/07/25 2:50,25.7,,
2021/07/25 2:51,25.7,,
2021/07/25 2:52,25.6,,
2021/07/25 2:53,25.6,,
2021/07/25 2:54,25.6,,
2021/07/25 2:55,25.6,,
2021/07/25 2:56,25.6,,
2021/07/25 2:57,25.6,,
2021/07/25 2:58,25.6,,
2021/07/25 2:59,25.6,,
2021/07/25 3:00,25.5,,
2021/07/25 3:01,25.5,,
2021/07/25 3:02,25.6,,
2021/07/25 3:03,25.6,,
2021/07/25 3:04,25.6,,
2021/07/25 3:05,25.6,,
2021/07/25 3:06,25.6,,
2021/07/25 3:07,25.6,,
2021/07/25 3:08,25.6,,
2021/07/25 3:09,25.6,,
2021/07/25 3:10,25.7,,
2021/07/25 3:11,25.6,,
2021/07/25 3:12,25.6,,
2021/07/25 3:13,25.5,,
2021/07/25 3:14,25.5,,
2021/07/25 3:15,25.6,,
2021/07/25 3:16,25.6,,
2021/07/25 3:17,25.6,,
2021/07/25 3:18,25.6,,
2021/07/25 3:19,25.6,,
2021/07/25 3:20,25.6,,
2021/07/25 3:21,25.6,,
2021/07/25 3:22,25.6,,
2021/07/25 3:23,25.5,,
2021/07/25 3:24,25.5,,
2021/07/25 3:25,25.5,,
2021/07/25 3:26,25.5,,
2021/07/25 3:27,25.5,,
2021/07/25 3:28,25.5,,
2021/07/25 3:29,25.5,,
2021/07/25 3:30,25.4,,
2021/07/25 3:31,25.3,,
2021/07/25 3:32,25.3,,
2021/07/25 3:33,25.3,,
2021/07/25 3:34,25.4,,
2021/07/25 3:35,25.4,,
2021/07/25 3:36,25.4,,
2021/07/25 3:37,25.4,,
2021/07/25 3:38,25.5,,
2021/07/25 3:39,25.5,,
2021/07/25 3:40,25.5,,
2021/07/25 3:41,25.5,,
2021/07/25 3:42,25.5,,
2021/07/25 3:43,25.6,,
2021/07/25 3:44,25.6,,
2021/07/25 3:45,25.6,,
2021/07/25 3:46,25.5,,
2021/07/25 3:47,25.6,,
2021/07/25 3:48,25.5,,
2021/07/25 3:49,25.5,,
2021/07/25 3:50,25.5,,
2021/07/25 3:51,25.5,,
2021/07/25 3:52,25.5,,
2021/07/25 3:53,25.6,,
2021/07/25 3:54,25.6,,
2021/07/25 3:55,25.6,,
2021/07/25 3:56,25.6,,
2021/07/25 3:57,25.6,,
2021/07/25 3:58,25.6,,
2021/07/25 3:59,25.6,,
2021/07/25 4:00,25.7,,
2021/07/25 4:01,25.7,,
2021/07/25 4:02,25.7,,
2021/07/25 4:03,25.7,,
2021/07/25 4:04,25.6,,
2021/07/25 4:05,25.6,,
2021/07/25 4:06,25.6,,
2021/07/25 4:07,25.7,,
2021/07/25 4:08,25.7,,
2021/07/25 4:09,25.7,,
2021/07/25 4:10,25.7,,
2021/07/25 4:11,25.7,,
2021/07/25 4:12,25.6,,
2021/07/25 4:13,25.6,,
2021/07/25 4:14,25.6,,
2021/07/25 4:15,25.7,,
2021/07/25 4:16,25.7,,
2021/07/25 4:17,25.7,,
2021/07/25 4:18,25.7,,
2021/07/25 4:19,25.7,,
2021/07/25 4:20,25.7,,
2021/07/25 4:21,25.7,,
2021/07/25 4:22,25.7,,
2021/07/25 4:23,25.7,,
2021/07/25 4:24,25.7,,
2021/07/25 4:25,25.7,,
2021/07/25 4:26,25.7,,
2021/07/25 4:27,25.7,,
2021/07/25 4:28,25.7,,
2021/07/25 4:29,25.6,,
2021/07/25 4:30,25.6,,
2021/07/25 4:31,25.6,,
2021/07/25 4:32,25.6,,
2021/07/25 4:33,25.6,,
2021/07/25 4:34,25.6,,
2021/07/25 4:35,25.6,,
2021/07/25 4:36,25.6,,
2021/07/25 4:37,25.5,,
2021/07/25 4:38,25.5,,
2021/07/25 4:39,25.5,,
2021/07/25 4:40,25.6,,
2021/07/25 4:41,25.6,,
2021/07/25 4:42,25.6,,
2021/07/25 4:43,25.6,,
2021/07/25 4:44,25.6,,
2021/07/25 4:45,25.6,,
2021/07/25 4:46,25.6,,
2021/07/25 4:47,25.6,,
2021/07/25 4:48,25.6,,
2021/07/25 4:49,25.6,,
2021/07/25 4:50,25.6,,
2021/07/25 4:51,25.6,,
2021/07/25 4:52,25.6,,
2021/07/25 4:53,25.6,,
2021/07/25 4:54,25.6,,
2021/07/25 4:55,25.6,,
2021/07/25 4:56,25.6,,
2021/07/25 4:57,25.6,,
2021/07/25 4:58,25.6,,
2021/07/25 4:59,25.7,,
2021/07/25 5:00,25.6,,
2021/07/25 5:01,25.6,,
2021/07/25 5:02,25.6,,
2021/07/25 5:03,25.6,,
2021/07/25 5:04,25.6,,
2021/07/25 5:05,25.6,,
2021/07/25 5:06,25.6,,
2021/07/25 5:07,25.6,,
2021/07/25 5:08,25.6,,
2021/07/25 5:09,25.6,,
2021/07/25 5:10,25.6,,
2021/07/25 5:11,25.7,,
2021/07/25 5:12,25.7,,
2021/07/25 5:13,25.7,,
2021/07/25 5:14,25.6,,
2021/07/25 5:15,25.7,,
2021/07/25 5:16,25.7,,
2021/07/25 5:17,25.7,,
2021/07/25 5:18,25.7,,
2021/07/25 5:19,25.7,,
2021/07/25 5:20,25.7,,
2021/07/25 5:21,25.7,,
2021/07/25 5:22,25.7,,
2021/07/25 5:23,25.8,,
2021/07/25 5:24,25.8,,
2021/07/25 5:25,25.8,,
2021/07/25 5:26,25.8,,
2021/07/25 5:27,25.8,,
2021/07/25 5:28,25.8,,
2021/07/25 5:29,25.8,,
2021/07/25 5:30,25.8,,
2021/07/25 5:31,25.9,,
2021/07/25 5:32,25.9,,
2021/07/25 5:33,25.9,,
2021/07/25 5:34,25.9,,
2021/07/25 5:35,25.9,,
2021/07/25 5:36,25.9,,
2021/07/25 5:37,25.9,,
2021/07/25 5:38,25.9,,
2021/07/25 5:39,25.9,,
2021/07/25 5:40,25.9,,
2021/07/25 5:41,25.9,,
2021/07/25 5:42,25.9,,
2021/07/25 5:43,25.9,,
2021/07/25 5:44,25.9,,
2021/07/25 5:45,25.9,,
2021/07/25 5:46,25.9,,
2021/07/25 5:47,25.9,,
2021/07/25 5:48,25.9,,
2021/07/25 5:49,25.9,,
2021/07/25 5:50,25.9,,
2021/07/25 5:51,25.9,,
2021/07/25 5:52,25.9,,
2021/07/25 5:53,25.9,,
2021/07/25 5:54,25.9,,
2021/07/25 5:55,25.9,,
2021/07/25 5:56,25.9,,
2021/07/25 5:57,25.9,,
2021/07/25 5:58,25.9,,
2021/07/25 5:59,25.8,,
2021/07/25 6:00,25.8,,
2021/07/25 6:01,25.8,,
2021/07/25 6:02,25.9,,
2021/07/25 6:03,25.9,,
2021/07/25 6:04,25.9,,
2021/07/25 6:05,25.9,,
2021/07/25 6:06,25.9,,
2021/07/25 6:07,25.9,,
2021/07/25 6:08,25.9,,
2021/07/25 6:09,25.9,,
2021/07/25 6:10,26.0,,
2021/07/25 6:11,25.9,,
2021/07/25 6:12,25.9,,
2021/07/25 6:13,26.0,,
2021/07/25 6:14,25.9,,
2021/07/25 6:15,25.9,,
2021/07/25 6:16,25.9,,
2021/07/25 6:17,25.9,,
2021/07/25 6:18,25.9,,
2021/07/25 6:19,25.9,,
2021/07/25 6:20,25.9,,
2021/07/25 6:21,25.9,,
2021/07/25 6:22,25.9,,
2021/07/25 6:23,25.9,,
2021/07/25 6:24,25.9,,
2021/07/25 6:25,26.0,,
