Date,Temp,RH
2021/07/26 0:00,28.6,,
2021/07/26 0:01,28.6,,
2021/07/26 0:02,28.6,,
2021/07/26 0:03,28.6,,
2021/07/26 0:04,28.5,,
2021/07/26 0:05,28.5,,
2021/07/26 0:06,28.6,,
2021/07/26 0:07,28.6,,
2021/07/26 0:08,28.6,,
2021/07/26 0:09,28.5,,
2021/07/26 0:10,28.5,,
2021/07/26 0:11,28.5,,
2021/07/26 0:12,28.5,,
2021/07/26 0:13,28.5,,
2021/07/26 0:14,28.5,,
2021/07/26 0:15,28.5,,
2021/07/26 0:16,28.5,,
2021/07/26 0:17,28.5,,
2021/07/26 0:18,28.5,,
2021/07/26 0:19,28.5,,
2021/07/26 0:20,28.4,,
2021/07/26 0:21,28.4,,
2021/07/26 0:22,28.4,,
2021/07/26 0:23,28.4,,
2021/07/26 0:24,28.4,,
2021/07/26 0:25,28.4,,
2021/07/26 0:26,28.4,,
2021/07/26 0:27,28.4,,
2021/07/26 0:28,28.4,,
2021/07/26 0:29,28.4,,
2021/07/26 0:30,28.4,,
2021/07/26 0:31,28.4,,
2021/07/26 0:32,28.4,,
2021/07/26 0:33,28.4,,
2021/07/26 0:34,28.4,,
2021/07/26 0:35,28.4,,
2021/07/26 0:36,28.4,,
2021/07/26 0:37,28.4,,
2021/07/26 0:38,28.4,,
2021/07/26 0:39,28.3,,
2021/07/26 0:40,28.3,,
2021/07/26 0:41,28.3,,
2021/07/26 0:42,28.3,,
2021/07/26 0:43,28.3,,
2021/07/26 0:44,28.3,,
2021/07/26 0:45,28.3,,
2021/07/26 0:46,28.3,,
2021/07/26 0:47,28.3,,
2021/07/26 0:48,28.3,,
2021/07/26 0:49,28.3,,
2021/07/26 0:50,28.3,,
2021/07/26 0:51,28.3,,
2021/07/26 0:52,28.3,,
2021/07/26 0:53,28.3,,
2021/07/26 0:54,28.3,,
2021/07/26 0:55,28.3,,
2021/07/26 0:56,28.3,,
2021/07/26 0:57,28.3,,
2021/07/26 0:58,28.3,,
2021/07/26 0:59,28.3,,
2021/07/26 1:00,28.3,,
2021/07/26 1:01,28.3,,
2021/07/26 1:02,28.3,,
2021/07/26 1:03,28.3,,
2021/07/26 1:04,28.3,,
2021/07/26 1:05,28.3,,
2021/07/26 1:06,28.3,,
2021/07/26 1:07,28.3,,
2021/07/26 1:08,28.3,,
2021/07/26 1:09,28.3,,
2021/07/26 1:10,28.3,,
2021/07/26 1:11,28.3,,
2021/07/26 1:12,28.3,,
2021/07/26 1:13,28.3,,
2021/07/26 1:14,28.3,,
2021/07/26 1:15,28.3,,
2021/07/26 1:16,28.3,,
2021/07/26 1:17,28.3,,
2021/07/26 1:18,28.3,,
2021/07/26 1:19,28.3,,
2021/07/26 1:20,28.3,,
2021/07/26 1:21,28.3,,
2021/07/26 1:22,28.3,,
2021/07/26 1:23,28.3,,
2021/07/26 1:24,28.3,,
2021/07/26 1:25,28.3,,
2021/07/26 1:26,28.3,,
2021/07/26 1:27,28.3,,
2021/07/26 1:28,28.3,,
2021/07/26 1:29,28.3,,
2021/07/26 1:30,28.3,,
2021/07/26 1:31,28.3,,
2021/07/26 1:32,28.3,,
2021/07/26 1:33,28.2,,
2021/07/26 1:34,28.2,,
2021/07/26 1:35,28.2,,
2021/07/26 1:36,28.3,,
2021/07/26 1:37,28.3,,
2021/07/26 1:38,28.3,,
2021/07/26 1:39,28.3,,
2021/07/26 1:40,28.3,,
2021/07/26 1:41,28.3,,
2021/07/26 1:42,28.3,,
2021/07/26 1:43,28.3,,
2021/07/26 1:44,28.4,,
2021/07/26 1:45,28.4,,
2021/07/26 1:46,28.4,,
2021/07/26 1:47,28.4,,
2021/07/26 1:48,28.4,,
2021/07/26 1:49,28.4,,
2021/07/26 1:50,28.4,,
2021/07/26 1:51,28.4,,
2021/07/26 1:52,28.4,,
2021/07/26 1:53,28.4,,
2021/07/26 1:54,28.4,,
2021/07/26 1:55,28.4,,
2021/07/26 1:56,28.4,,
2021/07/26 1:57,28.4,,
2021/07/26 1:58,28.4,,
