Date,Temp,RH
2021/07/29 0:00,24.2,,
2021/07/29 0:01,24.2,,
2021/07/29 0:02,24.1,,
2021/07/29 0:03,24.1,,
2021/07/29 0:04,24.1,,
2021/07/29 0:05,24.1,,
2021/07/29 0:06,24.0,,
2021/07/29 0:07,24.1,,
2021/07/29 0:08,24.1,,
2021/07/29 0:09,24.1,,
2021/07/29 0:10,24.0,,
2021/07/29 0:11,24.0,,
2021/07/29 0:12,24.0,,
2021/07/29 0:13,24.0,,
2021/07/29 0:14,24.0,,
2021/07/29 0:15,24.0,,
2021/07/29 0:16,24.0,,
2021/07/29 0:17,24.0,,
2021/07/29 0:18,24.0,,
2021/07/29 0:19,24.1,,
2021/07/29 0:20,24.0,,
2021/07/29 0:21,24.0,,
2021/07/29 0:22,24.1,,
2021/07/29 0:23,24.1,,
2021/07/29 0:24,24.1,,
2021/07/29 0:25,24.1,,
2021/07/29 0:26,24.1,,
2021/07/29 0:27,24.1,,
2021/07/29 0:28,24.1,,
2021/07/29 0:29,24.0,,
2021/07/29 0:30,24.0,,
2021/07/29 0:31,24.0,,
2021/07/29 0:32,24.0,,
2021/07/29 0:33,24.0,,
2021/07/29 0:34,24.0,,
2021/07/29 0:35,24.0,,
2021/07/29 0:36,24.0,,
2021/07/29 0:37,24.0,,
2021/07/29 0:38,24.0,,
2021/07/29 0:39,24.0,,
2021/07/29 0:40,24.0,,
2021/07/29 0:41,24.1,,
2021/07/29 0:42,24.1,,
2021/07/29 0:43,24.1,,
2021/07/29 0:44,24.2,,
2021/07/29 0:45,24.2,,
2021/07/29 0:46,24.3,,
2021/07/29 0:47,24.4,,
2021/07/29 0:48,24.4,,
2021/07/29 0:49,24.5,,
2021/07/29 0:50,24.5,,
2021/07/29 0:51,24.5,,
2021/07/29 0:52,24.5,,
2021/07/29 0:53,24.6,,
2021/07/29 0:54,24.6,,
2021/07/29 0:55,24.5,,
2021/07/29 0:56,24.5,,
2021/07/29 0:57,24.6,,
2021/07/29 0:58,24.6,,
2021/07/29 0:59,24.6,,
2021/07/29 1:00,24.6,,
2021/07/29 1:01,24.6,,
2021/07/29 1:02,24.5,,
2021/07/29 1:03,24.5,,
2021/07/29 1:04,24.5,,
2021/07/29 1:05,24.5,,
2021/07/29 1:06,24.5,,
2021/07/29 1:07,24.5,,
2021/07/29 1:08,24.5,,
2021/07/29 1:09,24.5,,
2021/07/29 1:10,24.5,,
2021/07/29 1:11,24.5,,
2021/07/29 1:12,24.6,,
2021/07/29 1:13,24.6,,
2021/07/29 1:14,24.5,,
2021/07/29 1:15,24.5,,
2021/07/29 1:16,24.5,,
2021/07/29 1:17,24.5,,
2021/07/29 1:18,24.5,,
2021/07/29 1:19,24.5,,
2021/07/29 1:20,24.5,,
2021/07/29 1:21,24.6,,
2021/07/29 1:22,24.5,,
2021/07/29 1:23,24.5,,
2021/07/29 1:24,24.5,,
2021/07/29 1:25,24.5,,
2021/07/29 1:26,24.5,,
2021/07/29 1:27,24.5,,
2021/07/29 1:28,24.5,,
2021/07/29 1:29,24.6,,
2021/07/29 1:30,24.5,,
2021/07/29 1:31,24.5,,
2021/07/29 1:32,24.5,,
2021/07/29 1:33,24.5,,
2021/07/29 1:34,24.5,,
2021/07/29 1:35,24.5,,
2021/07/29 1:36,24.5,,
2021/07/29 1:37,24.4,,
2021/07/29 1:38,24.4,,
2021/07/29 1:39,24.4,,
2021/07/29 1:40,24.4,,
2021/07/29 1:41,24.3,,
2021/07/29 1:42,24.3,,
2021/07/29 1:43,24.3,,
2021/07/29 1:44,24.3,,
2021/07/29 1:45,24.2,,
2021/07/29 1:46,24.2,,
2021/07/29 1:47,24.2,,
2021/07/29 1:48,24.2,,
2021/07/29 1:49,24.3,,
2021/07/29 1:50,24.3,,
2021/07/29 1:51,24.3,,
2021/07/29 1:52,24.3,,
2021/07/29 1:53,24.3,,
2021/07/29 1:54,24.3,,
