Date,Wind Spd, Wind Dir
2021/07/31 0:00,3.0,1
2021/07/31 0:01,3.0,2
2021/07/31 0:02,3.0,4
2021/07/31 0:03,3.0,5
2021/07/31 0:04,3.0,10
2021/07/31 0:05,3.0,12
2021/07/31 0:06,2.0,15
2021/07/31 0:07,1.0,18
2021/07/31 0:08,1.0,19
2021/07/31 0:09,1.0,20
2021/07/31 0:10,1.0,23
2021/07/31 0:11,1.0,23
2021/07/31 0:12,1.0,24
2021/07/31 0:13,1.0,25
2021/07/31 0:14,1.0,299
2021/07/31 0:15,0.0,0
2021/07/31 0:16,0.0,0
2021/07/31 0:17,0.0,0
2021/07/31 0:18,0.0,0
2021/07/31 0:19,0.0,0
2021/07/31 0:20,0.0,0
2021/07/31 0:21,0.0,0
2021/07/31 0:22,0.0,0
2021/07/31 0:23,0.0,0
2021/07/31 0:24,0.0,0
2021/07/31 0:25,0.0,0
2021/07/31 0:26,0.0,0
2021/07/31 0:27,0.0,0
2021/07/31 0:28,0.0,0
2021/07/31 0:29,1.0,15
2021/07/31 0:30,1.0,17
2021/07/31 0:31,1.0,19
2021/07/31 0:32,1.0,24
2021/07/31 0:33,1.0,28
2021/07/31 0:34,1.0,29
2021/07/31 0:35,1.0,29
2021/07/31 0:36,1.0,29
2021/07/31 0:37,1.0,29
2021/07/31 0:38,1.0,28
2021/07/31 0:39,1.0,25
2021/07/31 0:40,1.0,23
2021/07/31 0:41,1.0,20
2021/07/31 0:42,1.0,14
2021/07/31 0:43,1.0,10
2021/07/31 0:44,1.0,12
2021/07/31 0:45,1.0,21
2021/07/31 0:46,1.0,24
2021/07/31 0:47,1.0,25
2021/07/31 0:48,1.0,9999
2021/07/31 0:49,1.0,27
2021/07/31 0:50,1.0,9999
2021/07/31 0:51,1.0,9999
2021/07/31 0:52,1.0,190
2021/07/31 0:53,1.0,182
2021/07/31 0:54,1.0,180
2021/07/31 0:55,1.0,184
2021/07/31 0:56,1.0,188
2021/07/31 0:57,2.0,194
2021/07/31 0:58,3.0,197
2021/07/31 0:59,3.0,200
2021/07/31 1:00,3.0,202
2021/07/31 1:01,3.0,204
2021/07/31 1:02,4.0,206
2021/07/31 1:03,4.0,213
2021/07/31 1:04,5.0,217
2021/07/31 1:05,5.0,216
2021/07/31 1:06,6.0,217
2021/07/31 1:07,6.0,215
2021/07/31 1:08,7.0,215
2021/07/31 1:09,8.0,214
2021/07/31 1:10,7.0,214
2021/07/31 1:11,7.0,216
2021/07/31 1:12,6.0,217
2021/07/31 1:13,7.0,216
2021/07/31 1:14,6.0,217
2021/07/31 1:15,6.0,220
2021/07/31 1:16,6.0,221
2021/07/31 1:17,6.0,223
2021/07/31 1:18,6.0,223
2021/07/31 1:19,6.0,222
2021/07/31 1:20,6.0,222
2021/07/31 1:21,7.0,218
2021/07/31 1:22,8.0,218
2021/07/31 1:23,8.0,218
2021/07/31 1:24,8.0,215
2021/07/31 1:25,9.0,213
2021/07/31 1:26,9.0,211
