Date,Temp,RH
2021/07/31 0:00,24.9,,
2021/07/31 0:01,24.9,,
2021/07/31 0:02,24.9,,
2021/07/31 0:03,24.9,,
2021/07/31 0:04,24.9,,
2021/07/31 0:05,24.9,,
2021/07/31 0:06,24.9,,
2021/07/31 0:07,24.9,,
2021/07/31 0:08,25.0,,
2021/07/31 0:09,25.0,,
2021/07/31 0:10,25.0,,
2021/07/31 0:11,24.9,,
2021/07/31 0:12,24.9,,
2021/07/31 0:13,25.0,,
2021/07/31 0:14,24.9,,
2021/07/31 0:15,24.9,,
2021/07/31 0:16,24.9,,
2021/07/31 0:17,24.9,,
2021/07/31 0:18,24.9,,
2021/07/31 0:19,24.9,,
2021/07/31 0:20,24.9,,
2021/07/31 0:21,24.9,,
2021/07/31 0:22,24.9,,
2021/07/31 0:23,24.8,,
2021/07/31 0:24,24.8,,
2021/07/31 0:25,24.8,,
2021/07/31 0:26,24.8,,
2021/07/31 0:27,24.8,,
2021/07/31 0:28,24.8,,
2021/07/31 0:29,24.8,,
2021/07/31 0:30,24.9,,
2021/07/31 0:31,24.9,,
2021/07/31 0:32,24.9,,
2021/07/31 0:33,24.9,,
2021/07/31 0:34,24.9,,
2021/07/31 0:35,24.9,,
2021/07/31 0:36,24.9,,
2021/07/31 0:37,24.9,,
2021/07/31 0:38,24.8,,
2021/07/31 0:39,24.8,,
2021/07/31 0:40,24.8,,
2021/07/31 0:41,24.8,,
2021/07/31 0:42,24.8,,
2021/07/31 0:43,24.7,,
2021/07/31 0:44,24.6,,
2021/07/31 0:45,24.6,,
2021/07/31 0:46,24.6,,
2021/07/31 0:47,24.6,,
2021/07/31 0:48,24.6,,
2021/07/31 0:49,24.6,,
2021/07/31 0:50,24.6,,
2021/07/31 0:51,24.5,,
2021/07/31 0:52,24.5,,
2021/07/31 0:53,24.5,,
2021/07/31 0:54,24.6,,
2021/07/31 0:55,24.6,,
2021/07/31 0:56,24.6,,
2021/07/31 0:57,24.6,,
2021/07/31 0:58,24.6,,
2021/07/31 0:59,24.6,,
2021/07/31 1:00,24.6,,
2021/07/31 1:01,24.7,,
2021/07/31 1:02,24.7,,
2021/07/31 1:03,24.7,,
2021/07/31 1:04,24.7,,
2021/07/31 1:05,24.8,,
2021/07/31 1:06,24.8,,
2021/07/31 1:07,24.8,,
2021/07/31 1:08,24.8,,
2021/07/31 1:09,24.8,,
2021/07/31 1:10,24.8,,
2021/07/31 1:11,24.8,,
2021/07/31 1:12,24.8,,
2021/07/31 1:13,24.7,,
2021/07/31 1:14,24.7,,
2021/07/31 1:15,24.7,,
2021/07/31 1:16,24.8,,
2021/07/31 1:17,24.8,,
2021/07/31 1:18,24.8,,
2021/07/31 1:19,24.8,,
2021/07/31 1:20,24.8,,
2021/07/31 1:21,24.9,,
2021/07/31 1:22,24.9,,
2021/07/31 1:23,24.9,,
2021/07/31 1:24,24.9,,
2021/07/31 1:25,24.9,,
2021/07/31 1:26,24.9,,
2021/07/31 1:27,24.9,,
2021/07/31 1:28,24.9,,
2021/07/31 1:29,24.9,,
2021/07/31 1:30,24.9,,
2021/07/31 1:31,24.9,,
2021/07/31 1:32,24.9,,
2021/07/31 1:33,24.9,,
2021/07/31 1:34,24.9,,
2021/07/31 1:35,24.8,,
2021/07/31 1:36,24.8,,
2021/07/31 1:37,24.7,,
2021/07/31 1:38,24.7,,
2021/07/31 1:39,24.7,,
2021/07/31 1:40,24.7,,
2021/07/31 1:41,24.7,,
2021/07/31 1:42,24.7,,
2021/07/31 1:43,24.7,,
2021/07/31 1:44,24.7,,
2021/07/31 1:45,24.7,,
2021/07/31 1:46,24.8,,
2021/07/31 1:47,24.8,,
2021/07/31 1:48,24.8,,
2021/07/31 1:49,24.8,,
