Date,Visibility
2021/08/01 0:00,5220.0,
2021/08/01 0:01,6790.0,
2021/08/01 0:02,9610.0,
2021/08/01 0:03,11310.0,
2021/08/01 0:04,12560.0,
2021/08/01 0:05,13770.0,
2021/08/01 0:06,13220.0,
2021/08/01 0:07,13710.0,
2021/08/01 0:08,13570.0,
2021/08/01 0:09,13030.0,
2021/08/01 0:10,12250.0,
2021/08/01 0:11,12000.0,
2021/08/01 0:12,12070.0,
2021/08/01 0:13,12030.0,
2021/08/01 0:14,12230.0,
2021/08/01 0:15,12960.0,
2021/08/01 0:16,14800.0,
2021/08/01 0:17,15540.0,
2021/08/01 0:18,16800.0,
2021/08/01 0:19,17370.0,
2021/08/01 0:20,15220.0,
2021/08/01 0:21,12780.0,
2021/08/01 0:22,9470.0,
2021/08/01 0:23,7980.0,
2021/08/01 0:24,7610.0,
2021/08/01 0:25,7380.0,
2021/08/01 0:26,7190.0,
2021/08/01 0:27,7070.0,
2021/08/01 0:28,6980.0,
2021/08/01 0:29,7010.0,
2021/08/01 0:30,5500.0,
2021/08/01 0:31,5020.0,
2021/08/01 0:32,5280.0,
2021/08/01 0:33,5230.0,
2021/08/01 0:34,5140.0,
2021/08/01 0:35,4980.0,
2021/08/01 0:36,4430.0,
2021/08/01 0:37,3940.0,
2021/08/01 0:38,3440.0,
2021/08/01 0:39,3090.0,
2021/08/01 0:40,3090.0,
2021/08/01 0:41,2830.0,
2021/08/01 0:42,2620.0,
2021/08/01 0:43,2480.0,
2021/08/01 0:44,2170.0,
2021/08/01 0:45,1950.0,
2021/08/01 0:46,1830.0,
2021/08/01 0:47,1740.0,
2021/08/01 0:48,1640.0,
2021/08/01 0:49,1530.0,
2021/08/01 0:50,1510.0,
2021/08/01 0:51,1620.0,
2021/08/01 0:52,1680.0,
2021/08/01 0:53,1740.0,
2021/08/01 0:54,1900.0,
2021/08/01 0:55,1890.0,
2021/08/01 0:56,1990.0,
2021/08/01 0:57,2090.0,
2021/08/01 0:58,2230.0,
2021/08/01 0:59,2390.0,
2021/08/01 1:00,2010.0,
2021/08/01 1:01,1840.0,
2021/08/01 1:02,1780.0,
2021/08/01 1:03,1680.0,
2021/08/01 1:04,1580.0,
2021/08/01 1:05,1540.0,
2021/08/01 1:06,1580.0,
2021/08/01 1:07,1620.0,
2021/08/01 1:08,1640.0,
2021/08/01 1:09,1680.0,
2021/08/01 1:10,2130.0,
2021/08/01 1:11,2440.0,
2021/08/01 1:12,2700.0,
2021/08/01 1:13,3120.0,
2021/08/01 1:14,3780.0,
2021/08/01 1:15,5230.0,
2021/08/01 1:16,5640.0,
2021/08/01 1:17,6300.0,
2021/08/01 1:18,8320.0,
2021/08/01 1:19,11610.0,
2021/08/01 1:20,13320.0,
2021/08/01 1:21,13970.0,
2021/08/01 1:22,14240.0,
2021/08/01 1:23,14540.0,
