Date,Pressure
2021/08/01 0:00,1000.1,
2021/08/01 0:01,1000.0,
2021/08/01 0:02,1000.0,
2021/08/01 0:03,999.9,
2021/08/01 0:04,999.9,
2021/08/01 0:05,999.9,
2021/08/01 0:06,999.9,
2021/08/01 0:07,999.9,
2021/08/01 0:08,999.9,
2021/08/01 0:09,999.9,
2021/08/01 0:10,999.9,
2021/08/01 0:11,999.9,
2021/08/01 0:12,999.9,
2021/08/01 0:13,999.8,
2021/08/01 0:14,999.8,
2021/08/01 0:15,999.8,
2021/08/01 0:16,999.7,
2021/08/01 0:17,999.7,
2021/08/01 0:18,999.7,
2021/08/01 0:19,999.7,
2021/08/01 0:20,999.7,
2021/08/01 0:21,999.7,
2021/08/01 0:22,999.7,
2021/08/01 0:23,999.8,
2021/08/01 0:24,999.8,
2021/08/01 0:25,999.8,
2021/08/01 0:26,999.9,
2021/08/01 0:27,999.8,
2021/08/01 0:28,999.8,
2021/08/01 0:29,999.8,
2021/08/01 0:30,999.8,
2021/08/01 0:31,999.7,
2021/08/01 0:32,999.7,
2021/08/01 0:33,999.6,
2021/08/01 0:34,999.6,
2021/08/01 0:35,999.6,
2021/08/01 0:36,999.6,
2021/08/01 0:37,999.6,
2021/08/01 0:38,999.6,
2021/08/01 0:39,999.6,
2021/08/01 0:40,999.6,
2021/08/01 0:41,999.6,
2021/08/01 0:42,999.6,
2021/08/01 0:43,999.6,
2021/08/01 0:44,999.6,
2021/08/01 0:45,999.6,
2021/08/01 0:46,999.6,
2021/08/01 0:47,999.6,
2021/08/01 0:48,999.6,
2021/08/01 0:49,999.6,
2021/08/01 0:50,999.6,
2021/08/01 0:51,999.6,
2021/08/01 0:52,999.6,
2021/08/01 0:53,999.6,
2021/08/01 0:54,999.6,
2021/08/01 0:55,999.6,
2021/08/01 0:56,999.6,
2021/08/01 0:57,999.4,
2021/08/01 0:58,999.4,
2021/08/01 0:59,999.3,
2021/08/01 1:00,999.3,
2021/08/01 1:01,999.3,
2021/08/01 1:02,999.3,
2021/08/01 1:03,999.3,
2021/08/01 1:04,999.3,
2021/08/01 1:05,999.3,
2021/08/01 1:06,999.3,
2021/08/01 1:07,999.3,
2021/08/01 1:08,999.3,
2021/08/01 1:09,999.3,
2021/08/01 1:10,999.3,
2021/08/01 1:11,999.3,
2021/08/01 1:12,999.3,
2021/08/01 1:13,999.3,
2021/08/01 1:14,999.3,
2021/08/01 1:15,999.3,
2021/08/01 1:16,999.2,
2021/08/01 1:17,999.2,
2021/08/01 1:18,999.2,
2021/08/01 1:19,999.2,
2021/08/01 1:20,999.1,
2021/08/01 1:21,999.1,
2021/08/01 1:22,999.0,
2021/08/01 1:23,999.0,
2021/08/01 1:24,999.0,
2021/08/01 1:25,998.8,
2021/08/01 1:26,998.8,
2021/08/01 1:27,998.7,
2021/08/01 1:28,998.7,
2021/08/01 1:29,998.7,
2021/08/01 1:30,998.7,
2021/08/01 1:31,998.6,
2021/08/01 1:32,998.6,
2021/08/01 1:33,998.6,
2021/08/01 1:34,998.6,
2021/08/01 1:35,998.5,
2021/08/01 1:36,998.5,
2021/08/01 1:37,998.5,
2021/08/01 1:38,998.4,
2021/08/01 1:39,998.5,
2021/08/01 1:40,998.4,
2021/08/01 1:41,998.4,
2021/08/01 1:42,998.4,
2021/08/01 1:43,998.4,
2021/08/01 1:44,998.4,
2021/08/01 1:45,998.4,
2021/08/01 1:46,998.4,
2021/08/01 1:47,998.4,
2021/08/01 1:48,998.3,
2021/08/01 1:49,998.3,
2021/08/01 1:50,998.3,
2021/08/01 1:51,998.4,
2021/08/01 1:52,998.4,
2021/08/01 1:53,998.4,
2021/08/01 1:54,998.3,
2021/08/01 1:55,998.3,
2021/08/01 1:56,998.3,
2021/08/01 1:57,998.2,
2021/08/01 1:58,998.2,
2021/08/01 1:59,998.2,
2021/08/01 2:00,998.2,
2021/08/01 2:01,998.2,
2021/08/01 2:02,998.2,
2021/08/01 2:03,998.1,
2021/08/01 2:04,998.1,
2021/08/01 2:05,998.1,
2021/08/01 2:06,998.1,
2021/08/01 2:07,998.1,
2021/08/01 2:08,998.0,
2021/08/01 2:09,998.0,
2021/08/01 2:10,998.0,
2021/08/01 2:11,998.0,
2021/08/01 2:12,998.0,
2021/08/01 2:13,998.0,
2021/08/01 2:14,998.0,
2021/08/01 2:15,998.0,
2021/08/01 2:16,998.0,
2021/08/01 2:17,998.0,
2021/08/01 2:18,998.0,
2021/08/01 2:19,998.0,
2021/08/01 2:20,998.0,
2021/08/01 2:21,998.0,
2021/08/01 2:22,998.0,
2021/08/01 2:23,998.0,
2021/08/01 2:24,998.0,
2021/08/01 2:25,998.1,
2021/08/01 2:26,998.0,
2021/08/01 2:27,998.0,
2021/08/01 2:28,998.0,
2021/08/01 2:29,998.1,
2021/08/01 2:30,998.0,
2021/08/01 2:31,998.1,
2021/08/01 2:32,998.1,
2021/08/01 2:33,998.1,
2021/08/01 2:34,998.1,
2021/08/01 2:35,998.1,
2021/08/01 2:36,998.1,
2021/08/01 2:37,998.1,
2021/08/01 2:38,998.1,
2021/08/01 2:39,998.1,
2021/08/01 2:40,998.1,
2021/08/01 2:41,998.1,
2021/08/01 2:42,998.0,
2021/08/01 2:43,998.1,
2021/08/01 2:44,998.1,
2021/08/01 2:45,998.1,
2021/08/01 2:46,998.1,
2021/08/01 2:47,998.0,
2021/08/01 2:48,998.0,
2021/08/01 2:49,998.0,
2021/08/01 2:50,998.0,
2021/08/01 2:51,998.0,
2021/08/01 2:52,998.0,
2021/08/01 2:53,997.9,
2021/08/01 2:54,997.9,
2021/08/01 2:55,997.9,
2021/08/01 2:56,997.8,
2021/08/01 2:57,997.8,
2021/08/01 2:58,997.8,
2021/08/01 2:59,997.8,
2021/08/01 3:00,997.7,
2021/08/01 3:01,997.7,
2021/08/01 3:02,997.7,
2021/08/01 3:03,997.6,
2021/08/01 3:04,997.7,
2021/08/01 3:05,997.6,
2021/08/01 3:06,997.6,
2021/08/01 3:07,997.6,
2021/08/01 3:08,997.6,
2021/08/01 3:09,997.6,
2021/08/01 3:10,997.5,
2021/08/01 3:11,997.5,
2021/08/01 3:12,997.5,
2021/08/01 3:13,997.4,
2021/08/01 3:14,997.4,
2021/08/01 3:15,997.3,
2021/08/01 3:16,997.4,
2021/08/01 3:17,997.4,
2021/08/01 3:18,997.4,
2021/08/01 3:19,997.4,
2021/08/01 3:20,997.4,
2021/08/01 3:21,997.4,
2021/08/01 3:22,997.4,
2021/08/01 3:23,997.4,
2021/08/01 3:24,997.4,
2021/08/01 3:25,997.3,
2021/08/01 3:26,997.3,
2021/08/01 3:27,997.4,
2021/08/01 3:28,997.4,
2021/08/01 3:29,997.4,
2021/08/01 3:30,997.4,
2021/08/01 3:31,997.4,
2021/08/01 3:32,997.3,
2021/08/01 3:33,997.3,
2021/08/01 3:34,997.4,
2021/08/01 3:35,997.4,
2021/08/01 3:36,997.4,
2021/08/01 3:37,997.4,
2021/08/01 3:38,997.4,
2021/08/01 3:39,997.3,
2021/08/01 3:40,997.3,
2021/08/01 3:41,997.3,
2021/08/01 3:42,997.3,
2021/08/01 3:43,997.3,
2021/08/01 3:44,997.3,
2021/08/01 3:45,997.3,
2021/08/01 3:46,997.3,
2021/08/01 3:47,997.3,
2021/08/01 3:48,997.3,
2021/08/01 3:49,997.3,
2021/08/01 3:50,997.2,
2021/08/01 3:51,997.2,
2021/08/01 3:52,997.2,
2021/08/01 3:53,997.1,
2021/08/01 3:54,997.1,
2021/08/01 3:55,997.2,
2021/08/01 3:56,997.2,
2021/08/01 3:57,997.2,
2021/08/01 3:58,997.2,
2021/08/01 3:59,997.2,
2021/08/01 4:00,997.2,
2021/08/01 4:01,997.2,
2021/08/01 4:02,997.2,
2021/08/01 4:03,997.2,
2021/08/01 4:04,997.2,
2021/08/01 4:05,997.2,
2021/08/01 4:06,997.2,
2021/08/01 4:07,997.2,
2021/08/01 4:08,997.2,
2021/08/01 4:09,997.2,
2021/08/01 4:10,997.2,
2021/08/01 4:11,997.3,
2021/08/01 4:12,997.3,
2021/08/01 4:13,997.3,
2021/08/01 4:14,997.3,
2021/08/01 4:15,997.3,
2021/08/01 4:16,997.3,
2021/08/01 4:17,997.2,
2021/08/01 4:18,997.3,
2021/08/01 4:19,997.2,
2021/08/01 4:20,997.3,
2021/08/01 4:21,997.3,
2021/08/01 4:22,997.3,
2021/08/01 4:23,997.3,
2021/08/01 4:24,997.3,
2021/08/01 4:25,997.3,
2021/08/01 4:26,997.3,
2021/08/01 4:27,997.3,
2021/08/01 4:28,997.3,
2021/08/01 4:29,997.3,
2021/08/01 4:30,997.3,
2021/08/01 4:31,997.3,
2021/08/01 4:32,997.3,
2021/08/01 4:33,997.3,
2021/08/01 4:34,997.3,
2021/08/01 4:35,997.3,
2021/08/01 4:36,997.3,
2021/08/01 4:37,997.3,
2021/08/01 4:38,997.3,
2021/08/01 4:39,997.3,
2021/08/01 4:40,997.3,
2021/08/01 4:41,997.3,
2021/08/01 4:42,997.3,
2021/08/01 4:43,997.3,
2021/08/01 4:44,997.3,
2021/08/01 4:45,997.3,
2021/08/01 4:46,997.3,
2021/08/01 4:47,997.4,
2021/08/01 4:48,997.4,
2021/08/01 4:49,997.4,
2021/08/01 4:50,997.4,
2021/08/01 4:51,997.4,
2021/08/01 4:52,997.4,
2021/08/01 4:53,997.4,
2021/08/01 4:54,997.4,
2021/08/01 4:55,997.4,
2021/08/01 4:56,997.4,
2021/08/01 4:57,997.5,
2021/08/01 4:58,997.5,
2021/08/01 4:59,997.5,
2021/08/01 5:00,997.5,
2021/08/01 5:01,997.6,
2021/08/01 5:02,997.6,
2021/08/01 5:03,997.6,
2021/08/01 5:04,997.6,
2021/08/01 5:05,997.6,
2021/08/01 5:06,997.6,
2021/08/01 5:07,997.6,
2021/08/01 5:08,997.6,
2021/08/01 5:09,997.7,
2021/08/01 5:10,997.7,
2021/08/01 5:11,997.7,
2021/08/01 5:12,997.7,
2021/08/01 5:13,997.8,
2021/08/01 5:14,997.7,
2021/08/01 5:15,997.8,
2021/08/01 5:16,997.8,
2021/08/01 5:17,997.8,
2021/08/01 5:18,997.8,
2021/08/01 5:19,997.9,
2021/08/01 5:20,997.9,
2021/08/01 5:21,997.9,
2021/08/01 5:22,997.9,
2021/08/01 5:23,998.0,
2021/08/01 5:24,998.0,
2021/08/01 5:25,998.0,
2021/08/01 5:26,998.0,
2021/08/01 5:27,998.0,
2021/08/01 5:28,998.0,
2021/08/01 5:29,998.1,
2021/08/01 5:30,998.1,
2021/08/01 5:31,998.1,
2021/08/01 5:32,998.1,
2021/08/01 5:33,998.1,
2021/08/01 5:34,998.1,
2021/08/01 5:35,998.1,
2021/08/01 5:36,998.1,
2021/08/01 5:37,998.1,
2021/08/01 5:38,998.1,
2021/08/01 5:39,998.2,
2021/08/01 5:40,998.2,
2021/08/01 5:41,998.2,
2021/08/01 5:42,998.2,
2021/08/01 5:43,998.2,
2021/08/01 5:44,998.2,
2021/08/01 5:45,998.2,
2021/08/01 5:46,998.2,
2021/08/01 5:47,998.2,
2021/08/01 5:48,998.2,
2021/08/01 5:49,998.2,
2021/08/01 5:50,998.2,
2021/08/01 5:51,998.2,
2021/08/01 5:52,998.3,
2021/08/01 5:53,998.3,
2021/08/01 5:54,998.3,
2021/08/01 5:55,998.3,
2021/08/01 5:56,998.3,
2021/08/01 5:57,998.3,
2021/08/01 5:58,998.3,
