Date,Wind Spd, Wind Dir
2021/08/01 0:00,17.0,223
2021/08/01 0:01,17.0,222
2021/08/01 0:02,17.0,221
2021/08/01 0:03,17.0,220
2021/08/01 0:04,17.0,219
2021/08/01 0:05,17.0,218
2021/08/01 0:06,17.0,218
2021/08/01 0:07,17.0,217
2021/08/01 0:08,17.0,216
2021/08/01 0:09,17.0,216
2021/08/01 0:10,17.0,215
2021/08/01 0:11,17.0,215
2021/08/01 0:12,17.0,215
2021/08/01 0:13,17.0,215
2021/08/01 0:14,17.0,215
2021/08/01 0:15,16.0,215
2021/08/01 0:16,16.0,214
2021/08/01 0:17,15.0,215
2021/08/01 0:18,15.0,216
2021/08/01 0:19,15.0,217
2021/08/01 0:20,15.0,218
2021/08/01 0:21,15.0,219
2021/08/01 0:22,15.0,219
2021/08/01 0:23,15.0,220
2021/08/01 0:24,15.0,220
2021/08/01 0:25,15.0,221
2021/08/01 0:26,15.0,221
2021/08/01 0:27,16.0,220
2021/08/01 0:28,16.0,220
2021/08/01 0:29,16.0,220
2021/08/01 0:30,16.0,220
2021/08/01 0:31,16.0,220
2021/08/01 0:32,16.0,220
2021/08/01 0:33,16.0,221
2021/08/01 0:34,16.0,221
2021/08/01 0:35,16.0,222
2021/08/01 0:36,17.0,224
2021/08/01 0:37,17.0,226
2021/08/01 0:38,18.0,229
2021/08/01 0:39,19.0,232
2021/08/01 0:40,19.0,235
2021/08/01 0:41,19.0,239
2021/08/01 0:42,19.0,241
2021/08/01 0:43,19.0,243
2021/08/01 0:44,19.0,246
2021/08/01 0:45,20.0,248
2021/08/01 0:46,20.0,250
2021/08/01 0:47,19.0,252
2021/08/01 0:48,18.0,254
2021/08/01 0:49,17.0,253
2021/08/01 0:50,17.0,253
2021/08/01 0:51,17.0,252
2021/08/01 0:52,17.0,252
2021/08/01 0:53,16.0,252
2021/08/01 0:54,16.0,250
2021/08/01 0:55,15.0,250
2021/08/01 0:56,15.0,249
2021/08/01 0:57,15.0,247
2021/08/01 0:58,16.0,243
2021/08/01 0:59,17.0,241
2021/08/01 1:00,18.0,240
2021/08/01 1:01,19.0,238
2021/08/01 1:02,19.0,237
2021/08/01 1:03,19.0,236
2021/08/01 1:04,21.0,235
2021/08/01 1:05,21.0,234
2021/08/01 1:06,21.0,233
2021/08/01 1:07,21.0,232
2021/08/01 1:08,20.0,232
2021/08/01 1:09,19.0,232
2021/08/01 1:10,19.0,232
2021/08/01 1:11,18.0,231
2021/08/01 1:12,18.0,231
2021/08/01 1:13,18.0,231
2021/08/01 1:14,17.0,231
2021/08/01 1:15,18.0,231
2021/08/01 1:16,18.0,232
2021/08/01 1:17,18.0,232
2021/08/01 1:18,18.0,233
2021/08/01 1:19,17.0,234
2021/08/01 1:20,17.0,235
2021/08/01 1:21,17.0,237
2021/08/01 1:22,16.0,239
2021/08/01 1:23,15.0,241
2021/08/01 1:24,14.0,242
2021/08/01 1:25,13.0,244
2021/08/01 1:26,12.0,244
2021/08/01 1:27,12.0,245
2021/08/01 1:28,11.0,246
2021/08/01 1:29,11.0,249
2021/08/01 1:30,10.0,251
2021/08/01 1:31,10.0,254
2021/08/01 1:32,10.0,256
2021/08/01 1:33,10.0,258
2021/08/01 1:34,11.0,260
2021/08/01 1:35,11.0,262
2021/08/01 1:36,11.0,265
2021/08/01 1:37,10.0,267
2021/08/01 1:38,10.0,270
2021/08/01 1:39,10.0,270
2021/08/01 1:40,10.0,270
2021/08/01 1:41,9.0,270
2021/08/01 1:42,9.0,271
2021/08/01 1:43,9.0,271
2021/08/01 1:44,9.0,270
2021/08/01 1:45,8.0,271
2021/08/01 1:46,8.0,272
2021/08/01 1:47,8.0,272
2021/08/01 1:48,8.0,272
2021/08/01 1:49,8.0,271
2021/08/01 1:50,8.0,271
2021/08/01 1:51,8.0,270
2021/08/01 1:52,9.0,269
2021/08/01 1:53,9.0,269
2021/08/01 1:54,9.0,269
2021/08/01 1:55,9.0,268
2021/08/01 1:56,9.0,269
2021/08/01 1:57,9.0,269
2021/08/01 1:58,8.0,269
2021/08/01 1:59,8.0,270
2021/08/01 2:00,8.0,271
2021/08/01 2:01,7.0,269
2021/08/01 2:02,6.0,268
2021/08/01 2:03,6.0,267
2021/08/01 2:04,6.0,266
2021/08/01 2:05,6.0,264
2021/08/01 2:06,6.0,261
2021/08/01 2:07,6.0,257
2021/08/01 2:08,6.0,256
2021/08/01 2:09,6.0,254
2021/08/01 2:10,6.0,251
2021/08/01 2:11,6.0,249
2021/08/01 2:12,8.0,246
2021/08/01 2:13,8.0,240
2021/08/01 2:14,8.0,235
2021/08/01 2:15,9.0,232
2021/08/01 2:16,10.0,228
2021/08/01 2:17,11.0,225
2021/08/01 2:18,12.0,221
2021/08/01 2:19,13.0,217
2021/08/01 2:20,14.0,214
2021/08/01 2:21,15.0,212
2021/08/01 2:22,17.0,212
2021/08/01 2:23,18.0,215
2021/08/01 2:24,19.0,217
2021/08/01 2:25,19.0,219
2021/08/01 2:26,20.0,220
2021/08/01 2:27,21.0,220
2021/08/01 2:28,21.0,220
2021/08/01 2:29,21.0,221
2021/08/01 2:30,20.0,220
2021/08/01 2:31,20.0,220
2021/08/01 2:32,20.0,219
2021/08/01 2:33,,,
2021/08/01 2:34,21.0,217
2021/08/01 2:35,19.0,215
2021/08/01 2:36,,,
2021/08/01 2:37,19.0,213
2021/08/01 2:38,19.0,212
2021/08/01 2:39,21.0,211
2021/08/01 2:40,21.0,210
2021/08/01 2:41,21.0,209
2021/08/01 2:42,21.0,209
2021/08/01 2:43,21.0,208
2021/08/01 2:44,21.0,208
2021/08/01 2:45,21.0,208
2021/08/01 2:46,21.0,208
2021/08/01 2:47,20.0,208
2021/08/01 2:48,20.0,207
2021/08/01 2:49,19.0,207
2021/08/01 2:50,19.0,207
2021/08/01 2:51,19.0,205
2021/08/01 2:52,19.0,204
2021/08/01 2:53,18.0,202
2021/08/01 2:54,18.0,201
2021/08/01 2:55,17.0,200
2021/08/01 2:56,16.0,199
2021/08/01 2:57,15.0,199
2021/08/01 2:58,15.0,199
2021/08/01 2:59,14.0,200
2021/08/01 3:00,12.0,199
2021/08/01 3:01,12.0,199
2021/08/01 3:02,12.0,200
2021/08/01 3:03,11.0,202
2021/08/01 3:04,10.0,203
2021/08/01 3:05,10.0,205
2021/08/01 3:06,10.0,207
2021/08/01 3:07,11.0,209
2021/08/01 3:08,12.0,210
2021/08/01 3:09,12.0,212
2021/08/01 3:10,14.0,215
2021/08/01 3:11,,,
2021/08/01 3:12,,,
2021/08/01 3:13,16.0,219
2021/08/01 3:14,17.0,220
2021/08/01 3:15,17.0,221
2021/08/01 3:16,17.0,221
2021/08/01 3:17,17.0,220
2021/08/01 3:18,,,
2021/08/01 3:19,,,
2021/08/01 3:20,,,
2021/08/01 3:21,14.0,218
2021/08/01 3:22,14.0,218
2021/08/01 3:23,14.0,217
2021/08/01 3:24,14.0,217
2021/08/01 3:25,14.0,217
2021/08/01 3:26,15.0,217
2021/08/01 3:27,16.0,217
2021/08/01 3:28,17.0,217
2021/08/01 3:29,18.0,217
2021/08/01 3:30,19.0,219
2021/08/01 3:31,20.0,220
2021/08/01 3:32,21.0,222
2021/08/01 3:33,22.0,224
2021/08/01 3:34,,,
2021/08/01 3:35,,,
2021/08/01 3:36,,,
2021/08/01 3:37,,,
2021/08/01 3:38,23.0,235
2021/08/01 3:39,23.0,237
2021/08/01 3:40,23.0,239
2021/08/01 3:41,23.0,239
2021/08/01 3:42,23.0,239
2021/08/01 3:43,23.0,239
2021/08/01 3:44,23.0,240
2021/08/01 3:45,22.0,241
2021/08/01 3:46,22.0,242
2021/08/01 3:47,22.0,242
2021/08/01 3:48,21.0,242
2021/08/01 3:49,21.0,243
2021/08/01 3:50,21.0,243
2021/08/01 3:51,21.0,244
2021/08/01 3:52,21.0,246
2021/08/01 3:53,20.0,246
2021/08/01 3:54,20.0,248
2021/08/01 3:55,21.0,248
2021/08/01 3:56,21.0,249
2021/08/01 3:57,21.0,250
2021/08/01 3:58,21.0,250
2021/08/01 3:59,21.0,249
2021/08/01 4:00,20.0,249
2021/08/01 4:01,20.0,249
2021/08/01 4:02,19.0,248
2021/08/01 4:03,19.0,249
2021/08/01 4:04,19.0,248
2021/08/01 4:05,18.0,248
2021/08/01 4:06,18.0,248
2021/08/01 4:07,17.0,247
2021/08/01 4:08,18.0,246
2021/08/01 4:09,17.0,245
2021/08/01 4:10,18.0,245
2021/08/01 4:11,18.0,245
2021/08/01 4:12,18.0,244
2021/08/01 4:13,18.0,243
2021/08/01 4:14,18.0,243
2021/08/01 4:15,18.0,243
2021/08/01 4:16,18.0,242
2021/08/01 4:17,17.0,243
2021/08/01 4:18,17.0,243
2021/08/01 4:19,16.0,244
2021/08/01 4:20,16.0,243
2021/08/01 4:21,,,
2021/08/01 4:22,,,
2021/08/01 4:23,,,
2021/08/01 4:24,,,
2021/08/01 4:25,12.0,246
2021/08/01 4:26,12.0,247
2021/08/01 4:27,12.0,247
2021/08/01 4:28,12.0,247
2021/08/01 4:29,12.0,247
2021/08/01 4:30,12.0,247
2021/08/01 4:31,11.0,246
2021/08/01 4:32,10.0,246
2021/08/01 4:33,10.0,245
2021/08/01 4:34,10.0,244
2021/08/01 4:35,10.0,242
2021/08/01 4:36,,,
2021/08/01 4:37,,,
2021/08/01 4:38,,,
