Date,Wind Spd, Wind Dir
2021/08/01 0:00,9.0,187
2021/08/01 0:01,9.0,185
2021/08/01 0:02,9.0,179
2021/08/01 0:03,9.0,173
2021/08/01 0:04,8.0,168
2021/08/01 0:05,8.0,165
2021/08/01 0:06,8.0,161
2021/08/01 0:07,8.0,172
2021/08/01 0:08,8.0,167
2021/08/01 0:09,9.0,164
2021/08/01 0:10,8.0,160
2021/08/01 0:11,8.0,159
2021/08/01 0:12,9.0,159
2021/08/01 0:13,9.0,158
2021/08/01 0:14,10.0,158
2021/08/01 0:15,10.0,156
2021/08/01 0:16,9.0,155
2021/08/01 0:17,9.0,153
2021/08/01 0:18,9.0,151
2021/08/01 0:19,9.0,149
2021/08/01 0:20,10.0,148
2021/08/01 0:21,10.0,149
2021/08/01 0:22,10.0,149
2021/08/01 0:23,10.0,150
2021/08/01 0:24,10.0,149
2021/08/01 0:25,10.0,149
2021/08/01 0:26,11.0,149
2021/08/01 0:27,12.0,149
2021/08/01 0:28,12.0,152
2021/08/01 0:29,12.0,154
2021/08/01 0:30,12.0,157
2021/08/01 0:31,12.0,156
2021/08/01 0:32,12.0,154
2021/08/01 0:33,12.0,153
2021/08/01 0:34,12.0,151
2021/08/01 0:35,12.0,150
2021/08/01 0:36,11.0,149
2021/08/01 0:37,10.0,180
2021/08/01 0:38,9.0,174
2021/08/01 0:39,9.0,170
2021/08/01 0:40,7.0,174
2021/08/01 0:41,6.0,174
2021/08/01 0:42,6.0,174
2021/08/01 0:43,6.0,174
2021/08/01 0:44,6.0,116
2021/08/01 0:45,6.0,111
2021/08/01 0:46,6.0,110
2021/08/01 0:47,7.0,107
2021/08/01 0:48,6.0,102
2021/08/01 0:49,6.0,100
2021/08/01 0:50,7.0,100
2021/08/01 0:51,8.0,97
2021/08/01 0:52,8.0,95
2021/08/01 0:53,8.0,92
2021/08/01 0:54,8.0,92
2021/08/01 0:55,8.0,93
2021/08/01 0:56,8.0,94
2021/08/01 0:57,8.0,99
2021/08/01 0:58,8.0,106
2021/08/01 0:59,8.0,110
2021/08/01 1:00,8.0,113
2021/08/01 1:01,8.0,118
2021/08/01 1:02,8.0,122
2021/08/01 1:03,8.0,127
2021/08/01 1:04,8.0,129
2021/08/01 1:05,9.0,134
2021/08/01 1:06,9.0,138
2021/08/01 1:07,8.0,138
2021/08/01 1:08,8.0,136
2021/08/01 1:09,8.0,134
2021/08/01 1:10,8.0,133
2021/08/01 1:11,8.0,132
2021/08/01 1:12,7.0,131
2021/08/01 1:13,6.0,127
2021/08/01 1:14,6.0,123
2021/08/01 1:15,5.0,117
2021/08/01 1:16,5.0,113
2021/08/01 1:17,5.0,110
2021/08/01 1:18,5.0,107
2021/08/01 1:19,5.0,107
2021/08/01 1:20,6.0,108
2021/08/01 1:21,6.0,109
2021/08/01 1:22,6.0,110
2021/08/01 1:23,7.0,111
2021/08/01 1:24,7.0,113
2021/08/01 1:25,8.0,114
2021/08/01 1:26,8.0,115
2021/08/01 1:27,8.0,118
2021/08/01 1:28,7.0,122
2021/08/01 1:29,7.0,125
2021/08/01 1:30,7.0,126
2021/08/01 1:31,6.0,128
2021/08/01 1:32,6.0,126
2021/08/01 1:33,6.0,127
2021/08/01 1:34,6.0,128
2021/08/01 1:35,7.0,130
2021/08/01 1:36,8.0,130
2021/08/01 1:37,8.0,130
2021/08/01 1:38,9.0,128
2021/08/01 1:39,9.0,124
2021/08/01 1:40,10.0,122
2021/08/01 1:41,10.0,119
2021/08/01 1:42,10.0,118
2021/08/01 1:43,10.0,116
2021/08/01 1:44,10.0,114
2021/08/01 1:45,10.0,114
2021/08/01 1:46,9.0,114
2021/08/01 1:47,9.0,113
2021/08/01 1:48,9.0,112
2021/08/01 1:49,8.0,111
2021/08/01 1:50,8.0,112
2021/08/01 1:51,8.0,110
