Date,Grass Temperature
2021/08/03 17:00,21.8,
2021/08/03 17:01,21.8,
2021/08/03 17:02,21.8,
2021/08/03 17:03,21.8,
2021/08/03 17:04,21.8,
2021/08/03 17:05,21.8,
2021/08/03 17:06,21.9,
2021/08/03 17:07,21.9,
2021/08/03 17:08,21.8,
2021/08/03 17:09,21.8,
2021/08/03 17:10,21.8,
2021/08/03 17:11,21.9,
2021/08/03 17:12,21.9,
2021/08/03 17:13,21.8,
2021/08/03 17:14,21.9,
2021/08/03 17:15,21.9,
2021/08/03 17:16,21.9,
2021/08/03 17:17,21.9,
2021/08/03 17:18,21.9,
2021/08/03 17:19,21.8,
2021/08/03 17:20,21.9,
2021/08/03 17:21,21.8,
2021/08/03 17:22,21.8,
2021/08/03 17:23,21.8,
2021/08/03 17:24,21.8,
2021/08/03 17:25,21.8,
2021/08/03 17:26,21.8,
2021/08/03 17:27,21.8,
2021/08/03 17:28,21.7,
2021/08/03 17:29,21.8,
2021/08/03 17:30,21.8,
2021/08/03 17:31,21.8,
2021/08/03 17:32,21.8,
2021/08/03 17:33,21.8,
2021/08/03 17:34,21.8,
2021/08/03 17:35,21.8,
2021/08/03 17:36,21.8,
2021/08/03 17:37,21.8,
2021/08/03 17:38,21.8,
2021/08/03 17:39,21.8,
2021/08/03 17:40,21.8,
2021/08/03 17:41,21.8,
2021/08/03 17:42,21.9,
2021/08/03 17:43,21.9,
2021/08/03 17:44,21.9,
2021/08/03 17:45,21.9,
2021/08/03 17:46,21.9,
2021/08/03 17:47,21.9,
2021/08/03 17:48,21.9,
2021/08/03 17:49,21.9,
2021/08/03 17:50,21.9,
2021/08/03 17:51,21.9,
2021/08/03 17:52,21.8,
2021/08/03 17:53,21.8,
2021/08/03 17:54,21.8,
2021/08/03 17:55,21.8,
2021/08/03 17:56,21.8,
2021/08/03 17:57,21.8,
2021/08/03 17:58,21.8,
2021/08/03 17:59,21.8,
2021/08/03 18:00,21.8,
2021/08/03 18:01,21.8,
2021/08/03 18:02,21.8,
2021/08/03 18:03,21.8,
2021/08/03 18:04,21.8,
2021/08/03 18:05,21.8,
2021/08/03 18:06,21.8,
2021/08/03 18:07,21.8,
2021/08/03 18:08,21.8,
2021/08/03 18:09,21.8,
2021/08/03 18:10,21.8,
2021/08/03 18:11,21.8,
2021/08/03 18:12,21.8,
2021/08/03 18:13,21.8,
2021/08/03 18:14,21.8,
2021/08/03 18:15,21.8,
2021/08/03 18:16,21.8,
2021/08/03 18:17,21.8,
2021/08/03 18:18,21.8,
2021/08/03 18:19,21.8,
