Date,Wind Spd, Wind Dir
2021/08/04 0:00,14.0,105
2021/08/04 0:01,14.0,104
2021/08/04 0:02,15.0,103
2021/08/04 0:03,15.0,101
2021/08/04 0:04,15.0,98
2021/08/04 0:05,15.0,99
2021/08/04 0:06,15.0,98
2021/08/04 0:07,16.0,97
2021/08/04 0:08,16.0,96
2021/08/04 0:09,16.0,94
2021/08/04 0:10,17.0,93
2021/08/04 0:11,17.0,92
2021/08/04 0:12,17.0,92
2021/08/04 0:13,16.0,95
2021/08/04 0:14,15.0,96
2021/08/04 0:15,15.0,96
2021/08/04 0:16,15.0,97
2021/08/04 0:17,14.0,98
2021/08/04 0:18,14.0,99
2021/08/04 0:19,14.0,101
2021/08/04 0:20,13.0,102
2021/08/04 0:21,12.0,102
2021/08/04 0:22,12.0,103
2021/08/04 0:23,13.0,103
2021/08/04 0:24,14.0,102
2021/08/04 0:25,14.0,101
2021/08/04 0:26,14.0,101
2021/08/04 0:27,14.0,100
2021/08/04 0:28,15.0,97
2021/08/04 0:29,15.0,96
2021/08/04 0:30,16.0,95
2021/08/04 0:31,16.0,95
2021/08/04 0:32,16.0,95
2021/08/04 0:33,16.0,95
2021/08/04 0:34,15.0,95
2021/08/04 0:35,15.0,97
2021/08/04 0:36,15.0,96
2021/08/04 0:37,15.0,97
2021/08/04 0:38,13.0,99
2021/08/04 0:39,12.0,100
2021/08/04 0:40,12.0,101
2021/08/04 0:41,12.0,102
2021/08/04 0:42,12.0,101
2021/08/04 0:43,12.0,100
2021/08/04 0:44,12.0,97
2021/08/04 0:45,12.0,96
2021/08/04 0:46,13.0,96
2021/08/04 0:47,14.0,94
2021/08/04 0:48,14.0,92
2021/08/04 0:49,14.0,90
2021/08/04 0:50,14.0,91
2021/08/04 0:51,14.0,91
2021/08/04 0:52,14.0,92
2021/08/04 0:53,13.0,94
2021/08/04 0:54,13.0,97
2021/08/04 0:55,12.0,98
2021/08/04 0:56,12.0,97
2021/08/04 0:57,12.0,97
2021/08/04 0:58,11.0,99
2021/08/04 0:59,11.0,101
2021/08/04 1:00,10.0,99
2021/08/04 1:01,10.0,98
2021/08/04 1:02,11.0,97
