Date,Pressure
2021/08/05 0:00,996.3,
2021/08/05 0:01,996.3,
2021/08/05 0:02,996.3,
2021/08/05 0:03,996.3,
2021/08/05 0:04,996.3,
2021/08/05 0:05,996.3,
2021/08/05 0:06,996.3,
2021/08/05 0:07,996.3,
2021/08/05 0:08,996.2,
2021/08/05 0:09,996.2,
2021/08/05 0:10,996.2,
2021/08/05 0:11,996.2,
2021/08/05 0:12,996.2,
2021/08/05 0:13,996.1,
2021/08/05 0:14,996.1,
2021/08/05 0:15,996.1,
2021/08/05 0:16,996.1,
2021/08/05 0:17,996.0,
2021/08/05 0:18,996.0,
2021/08/05 0:19,996.0,
2021/08/05 0:20,996.0,
2021/08/05 0:21,996.0,
2021/08/05 0:22,996.0,
2021/08/05 0:23,996.0,
2021/08/05 0:24,996.0,
2021/08/05 0:25,996.0,
2021/08/05 0:26,996.0,
2021/08/05 0:27,996.1,
2021/08/05 0:28,996.0,
2021/08/05 0:29,996.0,
2021/08/05 0:30,996.1,
2021/08/05 0:31,996.1,
2021/08/05 0:32,996.1,
2021/08/05 0:33,996.0,
2021/08/05 0:34,996.0,
2021/08/05 0:35,996.0,
2021/08/05 0:36,996.0,
2021/08/05 0:37,995.9,
2021/08/05 0:38,995.9,
2021/08/05 0:39,995.9,
2021/08/05 0:40,995.9,
2021/08/05 0:41,995.9,
2021/08/05 0:42,995.9,
2021/08/05 0:43,995.9,
2021/08/05 0:44,995.9,
2021/08/05 0:45,995.9,
2021/08/05 0:46,995.8,
2021/08/05 0:47,995.8,
2021/08/05 0:48,995.8,
2021/08/05 0:49,995.8,
2021/08/05 0:50,995.8,
2021/08/05 0:51,995.8,
2021/08/05 0:52,995.7,
2021/08/05 0:53,995.7,
2021/08/05 0:54,995.7,
2021/08/05 0:55,995.7,
2021/08/05 0:56,995.7,
2021/08/05 0:57,995.7,
2021/08/05 0:58,995.7,
2021/08/05 0:59,995.7,
2021/08/05 1:00,995.6,
2021/08/05 1:01,995.7,
2021/08/05 1:02,995.6,
2021/08/05 1:03,995.7,
2021/08/05 1:04,995.7,
2021/08/05 1:05,995.7,
2021/08/05 1:06,995.7,
2021/08/05 1:07,995.7,
2021/08/05 1:08,995.7,
2021/08/05 1:09,995.7,
2021/08/05 1:10,995.7,
2021/08/05 1:11,995.7,
2021/08/05 1:12,995.7,
2021/08/05 1:13,995.7,
2021/08/05 1:14,995.7,
2021/08/05 1:15,995.7,
2021/08/05 1:16,995.7,
2021/08/05 1:17,995.7,
2021/08/05 1:18,995.6,
2021/08/05 1:19,995.7,
2021/08/05 1:20,995.7,
2021/08/05 1:21,995.6,
2021/08/05 1:22,995.7,
2021/08/05 1:23,995.7,
2021/08/05 1:24,995.7,
2021/08/05 1:25,995.7,
2021/08/05 1:26,995.7,
2021/08/05 1:27,995.7,
2021/08/05 1:28,995.7,
2021/08/05 1:29,995.6,
2021/08/05 1:30,995.6,
2021/08/05 1:31,995.6,
2021/08/05 1:32,995.6,
2021/08/05 1:33,995.6,
2021/08/05 1:34,995.6,
2021/08/05 1:35,995.6,
2021/08/05 1:36,995.6,
2021/08/05 1:37,995.6,
2021/08/05 1:38,995.6,
2021/08/05 1:39,995.6,
2021/08/05 1:40,995.6,
2021/08/05 1:41,995.6,
2021/08/05 1:42,995.6,
2021/08/05 1:43,995.6,
2021/08/05 1:44,995.6,
2021/08/05 1:45,995.5,
2021/08/05 1:46,995.6,
2021/08/05 1:47,995.6,
2021/08/05 1:48,995.6,
2021/08/05 1:49,995.6,
2021/08/05 1:50,995.6,
2021/08/05 1:51,995.6,
2021/08/05 1:52,995.6,
2021/08/05 1:53,995.6,
2021/08/05 1:54,995.6,
2021/08/05 1:55,995.6,
2021/08/05 1:56,995.6,
2021/08/05 1:57,995.6,
2021/08/05 1:58,995.6,
2021/08/05 1:59,995.6,
2021/08/05 2:00,995.6,
2021/08/05 2:01,995.6,
2021/08/05 2:02,995.6,
2021/08/05 2:03,995.6,
2021/08/05 2:04,995.6,
2021/08/05 2:05,995.6,
2021/08/05 2:06,995.6,
2021/08/05 2:07,995.6,
2021/08/05 2:08,995.6,
2021/08/05 2:09,995.6,
2021/08/05 2:10,995.6,
2021/08/05 2:11,995.6,
2021/08/05 2:12,995.6,
2021/08/05 2:13,995.6,
2021/08/05 2:14,995.5,
2021/08/05 2:15,995.5,
2021/08/05 2:16,995.6,
2021/08/05 2:17,995.6,
2021/08/05 2:18,995.6,
2021/08/05 2:19,995.6,
2021/08/05 2:20,995.6,
2021/08/05 2:21,995.6,
2021/08/05 2:22,995.6,
2021/08/05 2:23,995.6,
2021/08/05 2:24,995.6,
2021/08/05 2:25,995.6,
2021/08/05 2:26,995.6,
2021/08/05 2:27,995.6,
2021/08/05 2:28,995.6,
2021/08/05 2:29,995.6,
2021/08/05 2:30,995.6,
2021/08/05 2:31,995.6,
2021/08/05 2:32,995.6,
2021/08/05 2:33,995.7,
2021/08/05 2:34,995.7,
2021/08/05 2:35,995.7,
2021/08/05 2:36,995.7,
2021/08/05 2:37,995.7,
2021/08/05 2:38,995.7,
2021/08/05 2:39,995.7,
2021/08/05 2:40,995.7,
2021/08/05 2:41,995.7,
2021/08/05 2:42,995.7,
2021/08/05 2:43,995.7,
2021/08/05 2:44,995.7,
2021/08/05 2:45,995.7,
2021/08/05 2:46,995.7,
2021/08/05 2:47,995.7,
2021/08/05 2:48,995.7,
2021/08/05 2:49,995.7,
2021/08/05 2:50,995.7,
2021/08/05 2:51,995.7,
2021/08/05 2:52,995.7,
2021/08/05 2:53,995.7,
2021/08/05 2:54,995.7,
2021/08/05 2:55,995.6,
2021/08/05 2:56,995.6,
2021/08/05 2:57,995.6,
2021/08/05 2:58,995.6,
2021/08/05 2:59,995.6,
2021/08/05 3:00,995.6,
2021/08/05 3:01,995.6,
2021/08/05 3:02,995.6,
2021/08/05 3:03,995.6,
2021/08/05 3:04,995.5,
2021/08/05 3:05,995.5,
2021/08/05 3:06,995.5,
2021/08/05 3:07,995.5,
2021/08/05 3:08,995.5,
2021/08/05 3:09,995.5,
2021/08/05 3:10,995.4,
2021/08/05 3:11,995.4,
2021/08/05 3:12,995.4,
2021/08/05 3:13,995.4,
2021/08/05 3:14,995.4,
2021/08/05 3:15,995.3,
2021/08/05 3:16,995.3,
2021/08/05 3:17,995.3,
2021/08/05 3:18,995.3,
2021/08/05 3:19,995.3,
2021/08/05 3:20,995.3,
2021/08/05 3:21,995.2,
2021/08/05 3:22,995.2,
2021/08/05 3:23,995.2,
2021/08/05 3:24,995.1,
2021/08/05 3:25,995.2,
2021/08/05 3:26,995.2,
2021/08/05 3:27,995.2,
2021/08/05 3:28,995.2,
2021/08/05 3:29,995.1,
2021/08/05 3:30,995.1,
2021/08/05 3:31,995.1,
2021/08/05 3:32,995.1,
2021/08/05 3:33,995.1,
2021/08/05 3:34,995.1,
2021/08/05 3:35,995.1,
2021/08/05 3:36,995.1,
2021/08/05 3:37,995.1,
2021/08/05 3:38,995.1,
2021/08/05 3:39,995.1,
2021/08/05 3:40,995.1,
2021/08/05 3:41,995.1,
2021/08/05 3:42,995.1,
2021/08/05 3:43,995.1,
2021/08/05 3:44,995.1,
2021/08/05 3:45,995.0,
2021/08/05 3:46,995.1,
2021/08/05 3:47,995.1,
2021/08/05 3:48,995.1,
2021/08/05 3:49,995.1,
2021/08/05 3:50,995.1,
2021/08/05 3:51,995.1,
2021/08/05 3:52,995.1,
2021/08/05 3:53,995.1,
2021/08/05 3:54,995.1,
2021/08/05 3:55,995.1,
2021/08/05 3:56,995.1,
2021/08/05 3:57,995.1,
2021/08/05 3:58,995.1,
2021/08/05 3:59,995.1,
2021/08/05 4:00,995.1,
2021/08/05 4:01,995.1,
2021/08/05 4:02,995.1,
2021/08/05 4:03,995.1,
2021/08/05 4:04,995.1,
2021/08/05 4:05,995.1,
2021/08/05 4:06,995.1,
2021/08/05 4:07,995.1,
2021/08/05 4:08,995.1,
2021/08/05 4:09,995.1,
2021/08/05 4:10,995.1,
2021/08/05 4:11,995.1,
2021/08/05 4:12,995.1,
2021/08/05 4:13,995.1,
2021/08/05 4:14,995.1,
2021/08/05 4:15,995.1,
2021/08/05 4:16,995.1,
2021/08/05 4:17,995.1,
2021/08/05 4:18,995.1,
2021/08/05 4:19,995.1,
2021/08/05 4:20,995.1,
2021/08/05 4:21,995.1,
2021/08/05 4:22,995.1,
2021/08/05 4:23,995.1,
2021/08/05 4:24,995.1,
2021/08/05 4:25,995.1,
2021/08/05 4:26,995.2,
2021/08/05 4:27,995.2,
2021/08/05 4:28,995.2,
2021/08/05 4:29,995.2,
2021/08/05 4:30,995.2,
2021/08/05 4:31,995.2,
2021/08/05 4:32,995.2,
2021/08/05 4:33,995.2,
2021/08/05 4:34,995.2,
2021/08/05 4:35,995.2,
2021/08/05 4:36,995.2,
2021/08/05 4:37,995.2,
2021/08/05 4:38,995.2,
2021/08/05 4:39,995.2,
2021/08/05 4:40,995.2,
2021/08/05 4:41,995.2,
2021/08/05 4:42,995.3,
2021/08/05 4:43,995.3,
2021/08/05 4:44,995.3,
2021/08/05 4:45,995.3,
2021/08/05 4:46,995.3,
2021/08/05 4:47,995.3,
2021/08/05 4:48,995.3,
