Date,Temp,RH
2021/08/05 0:00,26.8,92
2021/08/05 0:01,26.7,93
2021/08/05 0:02,26.5,94
2021/08/05 0:03,26.5,94
2021/08/05 0:04,26.5,94
2021/08/05 0:05,26.5,94
2021/08/05 0:06,26.5,94
2021/08/05 0:07,26.7,94
2021/08/05 0:08,26.8,93
2021/08/05 0:09,26.5,93
2021/08/05 0:10,26.7,94
2021/08/05 0:11,26.5,94
2021/08/05 0:12,26.5,94
2021/08/05 0:13,26.5,94
2021/08/05 0:14,26.5,94
2021/08/05 0:15,26.7,94
2021/08/05 0:16,26.7,93
2021/08/05 0:17,26.7,93
2021/08/05 0:18,26.7,93
2021/08/05 0:19,26.6,93
2021/08/05 0:20,26.6,92
2021/08/05 0:21,26.7,93
2021/08/05 0:22,26.8,93
2021/08/05 0:23,26.7,92
2021/08/05 0:24,26.8,92
2021/08/05 0:25,26.8,93
2021/08/05 0:26,27.0,92
2021/08/05 0:27,26.9,93
2021/08/05 0:28,26.8,93
2021/08/05 0:29,26.9,92
2021/08/05 0:30,26.8,92
2021/08/05 0:31,26.7,93
2021/08/05 0:32,26.8,92
2021/08/05 0:33,26.8,93
2021/08/05 0:34,26.7,93
2021/08/05 0:35,26.8,93
2021/08/05 0:36,26.8,92
2021/08/05 0:37,26.8,93
2021/08/05 0:38,26.8,92
2021/08/05 0:39,26.8,93
2021/08/05 0:40,26.8,94
2021/08/05 0:41,26.7,93
2021/08/05 0:42,26.9,93
2021/08/05 0:43,26.8,93
2021/08/05 0:44,26.8,93
2021/08/05 0:45,26.9,92
2021/08/05 0:46,26.8,93
2021/08/05 0:47,26.9,92
2021/08/05 0:48,26.9,92
2021/08/05 0:49,26.9,93
2021/08/05 0:50,26.9,93
2021/08/05 0:51,27.0,92
2021/08/05 0:52,26.9,93
2021/08/05 0:53,26.8,92
2021/08/05 0:54,26.8,93
2021/08/05 0:55,26.8,93
2021/08/05 0:56,27.0,93
2021/08/05 0:57,26.9,93
2021/08/05 0:58,26.7,93
2021/08/05 0:59,26.8,93
2021/08/05 1:00,26.8,94
2021/08/05 1:01,26.8,94
2021/08/05 1:02,26.7,94
2021/08/05 1:03,26.7,94
2021/08/05 1:04,26.7,94
2021/08/05 1:05,26.7,94
2021/08/05 1:06,26.7,94
2021/08/05 1:07,26.7,94
2021/08/05 1:08,26.7,94
2021/08/05 1:09,26.7,94
2021/08/05 1:10,26.9,93
2021/08/05 1:11,26.9,93
2021/08/05 1:12,26.9,93
2021/08/05 1:13,26.7,93
2021/08/05 1:14,26.7,92
2021/08/05 1:15,26.8,93
2021/08/05 1:16,26.7,92
2021/08/05 1:17,26.7,93
2021/08/05 1:18,26.6,93
2021/08/05 1:19,26.6,93
2021/08/05 1:20,26.6,93
2021/08/05 1:21,26.6,93
2021/08/05 1:22,26.7,92
2021/08/05 1:23,26.8,92
2021/08/05 1:24,26.7,92
2021/08/05 1:25,26.7,93
2021/08/05 1:26,26.7,93
2021/08/05 1:27,26.9,92
2021/08/05 1:28,26.6,93
2021/08/05 1:29,26.7,93
2021/08/05 1:30,26.9,92
2021/08/05 1:31,26.9,92
2021/08/05 1:32,26.9,92
2021/08/05 1:33,26.9,92
2021/08/05 1:34,26.9,92
2021/08/05 1:35,26.9,92
2021/08/05 1:36,26.9,92
2021/08/05 1:37,26.9,92
2021/08/05 1:38,26.9,92
2021/08/05 1:39,26.9,92
2021/08/05 1:40,26.9,92
2021/08/05 1:41,26.9,92
2021/08/05 1:42,26.9,92
2021/08/05 1:43,26.9,91
2021/08/05 1:44,26.7,94
2021/08/05 1:45,26.9,92
2021/08/05 1:46,26.8,93
2021/08/05 1:47,26.9,93
2021/08/05 1:48,26.9,93
2021/08/05 1:49,26.9,93
2021/08/05 1:50,27.0,92
2021/08/05 1:51,27.0,93
2021/08/05 1:52,27.0,92
2021/08/05 1:53,26.8,93
2021/08/05 1:54,27.0,92
2021/08/05 1:55,26.9,93
2021/08/05 1:56,26.8,93
2021/08/05 1:57,26.8,93
2021/08/05 1:58,27.0,91
2021/08/05 1:59,26.9,93
2021/08/05 2:00,26.9,92
