Date,Pressure
2021/08/06 0:00,997.0,
2021/08/06 0:01,997.0,
2021/08/06 0:02,997.0,
2021/08/06 0:03,997.0,
2021/08/06 0:04,997.0,
2021/08/06 0:05,996.9,
2021/08/06 0:06,996.9,
2021/08/06 0:07,996.9,
2021/08/06 0:08,996.9,
2021/08/06 0:09,996.9,
2021/08/06 0:10,996.9,
2021/08/06 0:11,996.9,
2021/08/06 0:12,996.9,
2021/08/06 0:13,996.9,
2021/08/06 0:14,996.9,
2021/08/06 0:15,996.9,
2021/08/06 0:16,996.8,
2021/08/06 0:17,996.8,
2021/08/06 0:18,996.8,
2021/08/06 0:19,996.8,
2021/08/06 0:20,996.7,
2021/08/06 0:21,996.7,
2021/08/06 0:22,996.7,
2021/08/06 0:23,996.7,
2021/08/06 0:24,996.7,
2021/08/06 0:25,996.7,
2021/08/06 0:26,996.7,
2021/08/06 0:27,996.8,
2021/08/06 0:28,996.7,
2021/08/06 0:29,996.7,
2021/08/06 0:30,996.8,
2021/08/06 0:31,996.7,
2021/08/06 0:32,996.7,
2021/08/06 0:33,996.7,
2021/08/06 0:34,996.7,
2021/08/06 0:35,996.6,
2021/08/06 0:36,996.6,
2021/08/06 0:37,996.5,
2021/08/06 0:38,996.5,
2021/08/06 0:39,996.5,
2021/08/06 0:40,996.5,
2021/08/06 0:41,996.5,
2021/08/06 0:42,996.6,
2021/08/06 0:43,996.6,
2021/08/06 0:44,996.6,
2021/08/06 0:45,996.6,
2021/08/06 0:46,996.7,
2021/08/06 0:47,996.7,
2021/08/06 0:48,996.8,
2021/08/06 0:49,996.8,
2021/08/06 0:50,996.9,
2021/08/06 0:51,997.0,
2021/08/06 0:52,997.0,
2021/08/06 0:53,997.0,
2021/08/06 0:54,997.0,
2021/08/06 0:55,997.0,
2021/08/06 0:56,997.0,
2021/08/06 0:57,997.0,
2021/08/06 0:58,997.0,
2021/08/06 0:59,997.0,
2021/08/06 1:00,997.0,
2021/08/06 1:01,997.0,
2021/08/06 1:02,996.9,
2021/08/06 1:03,996.9,
2021/08/06 1:04,996.8,
2021/08/06 1:05,996.9,
2021/08/06 1:06,996.8,
2021/08/06 1:07,996.8,
2021/08/06 1:08,996.8,
2021/08/06 1:09,996.8,
2021/08/06 1:10,996.8,
2021/08/06 1:11,996.7,
2021/08/06 1:12,996.7,
2021/08/06 1:13,996.7,
2021/08/06 1:14,996.8,
2021/08/06 1:15,996.8,
2021/08/06 1:16,996.8,
2021/08/06 1:17,996.8,
2021/08/06 1:18,996.8,
2021/08/06 1:19,996.9,
2021/08/06 1:20,996.9,
2021/08/06 1:21,996.9,
2021/08/06 1:22,996.8,
2021/08/06 1:23,996.8,
2021/08/06 1:24,996.8,
2021/08/06 1:25,996.8,
2021/08/06 1:26,996.9,
2021/08/06 1:27,996.9,
2021/08/06 1:28,996.9,
2021/08/06 1:29,996.9,
2021/08/06 1:30,996.9,
2021/08/06 1:31,996.9,
2021/08/06 1:32,996.9,
2021/08/06 1:33,996.8,
2021/08/06 1:34,996.9,
2021/08/06 1:35,996.9,
2021/08/06 1:36,996.9,
2021/08/06 1:37,996.9,
2021/08/06 1:38,996.8,
2021/08/06 1:39,996.7,
2021/08/06 1:40,996.7,
2021/08/06 1:41,996.8,
2021/08/06 1:42,996.9,
2021/08/06 1:43,996.9,
2021/08/06 1:44,997.0,
2021/08/06 1:45,996.9,
2021/08/06 1:46,996.9,
2021/08/06 1:47,997.0,
2021/08/06 1:48,997.0,
2021/08/06 1:49,997.0,
2021/08/06 1:50,996.9,
2021/08/06 1:51,996.9,
2021/08/06 1:52,997.0,
2021/08/06 1:53,997.0,
2021/08/06 1:54,997.0,
2021/08/06 1:55,997.0,
2021/08/06 1:56,997.0,
2021/08/06 1:57,997.0,
2021/08/06 1:58,996.9,
2021/08/06 1:59,996.8,
2021/08/06 2:00,996.8,
2021/08/06 2:01,996.8,
2021/08/06 2:02,996.8,
2021/08/06 2:03,996.8,
2021/08/06 2:04,996.8,
2021/08/06 2:05,996.8,
2021/08/06 2:06,996.8,
2021/08/06 2:07,996.8,
2021/08/06 2:08,996.8,
2021/08/06 2:09,996.9,
2021/08/06 2:10,996.9,
2021/08/06 2:11,996.9,
2021/08/06 2:12,996.9,
2021/08/06 2:13,996.8,
2021/08/06 2:14,996.7,
2021/08/06 2:15,996.7,
2021/08/06 2:16,996.7,
2021/08/06 2:17,996.6,
2021/08/06 2:18,996.7,
2021/08/06 2:19,996.7,
2021/08/06 2:20,996.7,
2021/08/06 2:21,996.6,
2021/08/06 2:22,996.6,
2021/08/06 2:23,996.6,
2021/08/06 2:24,996.6,
2021/08/06 2:25,996.6,
2021/08/06 2:26,996.5,
2021/08/06 2:27,996.5,
2021/08/06 2:28,996.4,
2021/08/06 2:29,996.4,
2021/08/06 2:30,996.4,
2021/08/06 2:31,996.4,
2021/08/06 2:32,996.4,
2021/08/06 2:33,996.4,
2021/08/06 2:34,996.4,
2021/08/06 2:35,996.4,
2021/08/06 2:36,996.4,
2021/08/06 2:37,996.4,
2021/08/06 2:38,996.4,
2021/08/06 2:39,996.3,
2021/08/06 2:40,996.2,
2021/08/06 2:41,996.2,
2021/08/06 2:42,996.2,
2021/08/06 2:43,996.2,
2021/08/06 2:44,996.3,
2021/08/06 2:45,996.3,
2021/08/06 2:46,996.2,
2021/08/06 2:47,996.3,
2021/08/06 2:48,996.2,
2021/08/06 2:49,996.2,
2021/08/06 2:50,996.1,
2021/08/06 2:51,996.1,
2021/08/06 2:52,996.1,
2021/08/06 2:53,996.1,
2021/08/06 2:54,996.1,
2021/08/06 2:55,996.1,
2021/08/06 2:56,996.0,
2021/08/06 2:57,996.0,
2021/08/06 2:58,996.0,
2021/08/06 2:59,996.0,
2021/08/06 3:00,996.0,
2021/08/06 3:01,996.0,
2021/08/06 3:02,996.0,
2021/08/06 3:03,996.0,
2021/08/06 3:04,996.0,
2021/08/06 3:05,996.0,
2021/08/06 3:06,996.0,
2021/08/06 3:07,996.0,
2021/08/06 3:08,996.0,
2021/08/06 3:09,996.0,
2021/08/06 3:10,995.9,
2021/08/06 3:11,995.9,
2021/08/06 3:12,995.8,
2021/08/06 3:13,995.8,
2021/08/06 3:14,995.8,
2021/08/06 3:15,995.8,
2021/08/06 3:16,995.9,
2021/08/06 3:17,995.8,
2021/08/06 3:18,995.8,
2021/08/06 3:19,995.8,
2021/08/06 3:20,995.8,
2021/08/06 3:21,995.8,
2021/08/06 3:22,995.8,
2021/08/06 3:23,995.8,
2021/08/06 3:24,995.8,
2021/08/06 3:25,995.8,
2021/08/06 3:26,995.8,
2021/08/06 3:27,995.8,
2021/08/06 3:28,995.8,
2021/08/06 3:29,995.8,
2021/08/06 3:30,995.8,
2021/08/06 3:31,995.9,
2021/08/06 3:32,995.9,
2021/08/06 3:33,995.9,
2021/08/06 3:34,995.8,
2021/08/06 3:35,995.8,
2021/08/06 3:36,995.8,
2021/08/06 3:37,995.8,
2021/08/06 3:38,995.8,
2021/08/06 3:39,995.8,
2021/08/06 3:40,995.8,
2021/08/06 3:41,995.8,
2021/08/06 3:42,995.8,
2021/08/06 3:43,995.8,
2021/08/06 3:44,995.8,
2021/08/06 3:45,995.8,
2021/08/06 3:46,995.8,
2021/08/06 3:47,995.8,
2021/08/06 3:48,995.8,
2021/08/06 3:49,995.8,
2021/08/06 3:50,995.8,
2021/08/06 3:51,995.8,
2021/08/06 3:52,995.9,
2021/08/06 3:53,995.8,
2021/08/06 3:54,995.9,
2021/08/06 3:55,995.9,
2021/08/06 3:56,996.0,
2021/08/06 3:57,995.9,
2021/08/06 3:58,996.0,
2021/08/06 3:59,995.9,
2021/08/06 4:00,995.9,
2021/08/06 4:01,995.9,
2021/08/06 4:02,995.9,
2021/08/06 4:03,995.9,
2021/08/06 4:04,995.9,
2021/08/06 4:05,995.9,
2021/08/06 4:06,995.8,
2021/08/06 4:07,995.8,
2021/08/06 4:08,995.8,
2021/08/06 4:09,995.8,
2021/08/06 4:10,995.8,
2021/08/06 4:11,995.8,
2021/08/06 4:12,995.8,
2021/08/06 4:13,995.8,
2021/08/06 4:14,995.8,
2021/08/06 4:15,995.8,
2021/08/06 4:16,995.8,
2021/08/06 4:17,995.8,
2021/08/06 4:18,995.8,
2021/08/06 4:19,995.9,
2021/08/06 4:20,996.0,
2021/08/06 4:21,996.0,
2021/08/06 4:22,996.0,
2021/08/06 4:23,996.0,
2021/08/06 4:24,995.9,
2021/08/06 4:25,996.0,
2021/08/06 4:26,995.9,
2021/08/06 4:27,996.0,
2021/08/06 4:28,995.9,
2021/08/06 4:29,995.9,
2021/08/06 4:30,995.9,
2021/08/06 4:31,995.8,
2021/08/06 4:32,995.8,
2021/08/06 4:33,995.8,
2021/08/06 4:34,995.8,
2021/08/06 4:35,995.8,
2021/08/06 4:36,995.8,
2021/08/06 4:37,995.8,
2021/08/06 4:38,995.8,
2021/08/06 4:39,995.8,
2021/08/06 4:40,995.8,
2021/08/06 4:41,995.8,
2021/08/06 4:42,995.8,
2021/08/06 4:43,995.7,
2021/08/06 4:44,995.8,
2021/08/06 4:45,995.8,
2021/08/06 4:46,995.7,
2021/08/06 4:47,995.8,
2021/08/06 4:48,995.8,
2021/08/06 4:49,995.8,
2021/08/06 4:50,995.8,
2021/08/06 4:51,995.8,
2021/08/06 4:52,995.8,
2021/08/06 4:53,995.8,
2021/08/06 4:54,995.8,
2021/08/06 4:55,995.8,
2021/08/06 4:56,995.8,
2021/08/06 4:57,995.8,
2021/08/06 4:58,995.8,
2021/08/06 4:59,995.8,
2021/08/06 5:00,995.8,
2021/08/06 5:01,995.8,
2021/08/06 5:02,995.8,
2021/08/06 5:03,995.8,
2021/08/06 5:04,995.9,
2021/08/06 5:05,995.9,
2021/08/06 5:06,995.9,
2021/08/06 5:07,995.8,
2021/08/06 5:08,995.9,
2021/08/06 5:09,995.9,
2021/08/06 5:10,995.9,
2021/08/06 5:11,995.9,
2021/08/06 5:12,995.9,
2021/08/06 5:13,995.8,
2021/08/06 5:14,995.9,
2021/08/06 5:15,995.9,
2021/08/06 5:16,995.9,
2021/08/06 5:17,995.9,
2021/08/06 5:18,995.9,
2021/08/06 5:19,995.9,
2021/08/06 5:20,995.9,
2021/08/06 5:21,995.9,
2021/08/06 5:22,995.9,
2021/08/06 5:23,996.0,
2021/08/06 5:24,996.0,
2021/08/06 5:25,996.0,
2021/08/06 5:26,996.0,
2021/08/06 5:27,996.0,
2021/08/06 5:28,996.0,
2021/08/06 5:29,996.0,
2021/08/06 5:30,996.0,
2021/08/06 5:31,996.1,
2021/08/06 5:32,996.0,
2021/08/06 5:33,996.0,
2021/08/06 5:34,996.0,
2021/08/06 5:35,996.0,
2021/08/06 5:36,996.1,
2021/08/06 5:37,996.1,
2021/08/06 5:38,996.0,
2021/08/06 5:39,996.1,
2021/08/06 5:40,996.1,
2021/08/06 5:41,996.1,
2021/08/06 5:42,996.1,
2021/08/06 5:43,996.1,
2021/08/06 5:44,996.1,
2021/08/06 5:45,996.1,
2021/08/06 5:46,996.1,
2021/08/06 5:47,996.1,
2021/08/06 5:48,996.1,
2021/08/06 5:49,996.1,
2021/08/06 5:50,996.1,
2021/08/06 5:51,996.1,
2021/08/06 5:52,996.1,
2021/08/06 5:53,996.1,
2021/08/06 5:54,996.1,
2021/08/06 5:55,996.1,
2021/08/06 5:56,996.1,
2021/08/06 5:57,996.1,
2021/08/06 5:58,996.1,
2021/08/06 5:59,996.1,
2021/08/06 6:00,996.1,
2021/08/06 6:01,996.1,
2021/08/06 6:02,996.1,
2021/08/06 6:03,996.2,
2021/08/06 6:04,996.2,
2021/08/06 6:05,996.1,
2021/08/06 6:06,996.1,
2021/08/06 6:07,996.2,
2021/08/06 6:08,996.1,
2021/08/06 6:09,996.2,
2021/08/06 6:10,996.1,
2021/08/06 6:11,996.2,
2021/08/06 6:12,996.2,
2021/08/06 6:13,996.2,
2021/08/06 6:14,996.2,
2021/08/06 6:15,996.3,
2021/08/06 6:16,996.3,
2021/08/06 6:17,996.3,
2021/08/06 6:18,996.4,
2021/08/06 6:19,996.4,
2021/08/06 6:20,996.4,
2021/08/06 6:21,996.4,
2021/08/06 6:22,996.4,
2021/08/06 6:23,996.4,
2021/08/06 6:24,996.5,
2021/08/06 6:25,996.4,
2021/08/06 6:26,996.4,
2021/08/06 6:27,996.5,
2021/08/06 6:28,996.5,
2021/08/06 6:29,996.6,
2021/08/06 6:30,996.6,
2021/08/06 6:31,996.6,
2021/08/06 6:32,996.7,
2021/08/06 6:33,996.7,
2021/08/06 6:34,996.7,
2021/08/06 6:35,996.7,
2021/08/06 6:36,996.8,
2021/08/06 6:37,996.8,
2021/08/06 6:38,996.9,
2021/08/06 6:39,996.9,
2021/08/06 6:40,996.9,
2021/08/06 6:41,996.9,
2021/08/06 6:42,997.0,
2021/08/06 6:43,997.0,
2021/08/06 6:44,997.0,
2021/08/06 6:45,997.0,
2021/08/06 6:46,997.0,
2021/08/06 6:47,997.0,
2021/08/06 6:48,997.0,
2021/08/06 6:49,997.0,
2021/08/06 6:50,997.0,
2021/08/06 6:51,997.0,
2021/08/06 6:52,997.0,
2021/08/06 6:53,997.1,
2021/08/06 6:54,997.0,
2021/08/06 6:55,997.1,
2021/08/06 6:56,997.1,
2021/08/06 6:57,997.2,
2021/08/06 6:58,997.2,
2021/08/06 6:59,997.2,
2021/08/06 7:00,997.2,
2021/08/06 7:01,997.2,
2021/08/06 7:02,997.2,
2021/08/06 7:03,997.3,
2021/08/06 7:04,997.3,
2021/08/06 7:05,997.3,
2021/08/06 7:06,997.3,
2021/08/06 7:07,997.3,
2021/08/06 7:08,997.3,
2021/08/06 7:09,997.3,
2021/08/06 7:10,997.3,
2021/08/06 7:11,997.3,
2021/08/06 7:12,997.3,
2021/08/06 7:13,997.3,
2021/08/06 7:14,997.3,
2021/08/06 7:15,997.3,
2021/08/06 7:16,997.3,
2021/08/06 7:17,997.3,
2021/08/06 7:18,997.3,
2021/08/06 7:19,997.3,
2021/08/06 7:20,997.3,
2021/08/06 7:21,997.3,
2021/08/06 7:22,997.3,
2021/08/06 7:23,997.4,
2021/08/06 7:24,997.4,
2021/08/06 7:25,997.4,
