Date,Pressure
2021/08/06 0:00,997.1,
2021/08/06 0:01,997.1,
2021/08/06 0:02,997.1,
2021/08/06 0:03,997.1,
2021/08/06 0:04,997.0,
2021/08/06 0:05,997.0,
2021/08/06 0:06,997.0,
2021/08/06 0:07,997.0,
2021/08/06 0:08,997.0,
2021/08/06 0:09,996.8,
2021/08/06 0:10,996.8,
2021/08/06 0:11,996.8,
2021/08/06 0:12,996.8,
2021/08/06 0:13,996.8,
2021/08/06 0:14,996.8,
2021/08/06 0:15,996.8,
2021/08/06 0:16,996.8,
2021/08/06 0:17,996.8,
2021/08/06 0:18,996.8,
2021/08/06 0:19,996.8,
2021/08/06 0:20,996.8,
2021/08/06 0:21,996.8,
2021/08/06 0:22,996.7,
2021/08/06 0:23,996.8,
2021/08/06 0:24,996.7,
2021/08/06 0:25,996.7,
2021/08/06 0:26,996.8,
2021/08/06 0:27,996.8,
2021/08/06 0:28,996.8,
2021/08/06 0:29,996.8,
2021/08/06 0:30,996.8,
2021/08/06 0:31,997.0,
2021/08/06 0:32,997.0,
2021/08/06 0:33,997.0,
2021/08/06 0:34,997.0,
2021/08/06 0:35,997.0,
2021/08/06 0:36,997.0,
2021/08/06 0:37,997.0,
2021/08/06 0:38,997.1,
2021/08/06 0:39,997.1,
2021/08/06 0:40,997.1,
2021/08/06 0:41,997.1,
2021/08/06 0:42,997.1,
2021/08/06 0:43,997.2,
2021/08/06 0:44,997.2,
2021/08/06 0:45,997.3,
2021/08/06 0:46,997.3,
2021/08/06 0:47,997.3,
2021/08/06 0:48,997.3,
2021/08/06 0:49,997.3,
2021/08/06 0:50,997.3,
2021/08/06 0:51,997.3,
2021/08/06 0:52,997.3,
2021/08/06 0:53,997.2,
2021/08/06 0:54,997.2,
2021/08/06 0:55,997.2,
2021/08/06 0:56,997.2,
2021/08/06 0:57,997.2,
2021/08/06 0:58,997.2,
2021/08/06 0:59,997.2,
2021/08/06 1:00,997.2,
2021/08/06 1:01,997.2,
2021/08/06 1:02,997.2,
2021/08/06 1:03,997.1,
2021/08/06 1:04,997.0,
2021/08/06 1:05,997.0,
2021/08/06 1:06,997.1,
2021/08/06 1:07,997.1,
2021/08/06 1:08,997.1,
2021/08/06 1:09,997.2,
2021/08/06 1:10,997.2,
2021/08/06 1:11,997.2,
2021/08/06 1:12,997.2,
2021/08/06 1:13,997.2,
2021/08/06 1:14,997.2,
2021/08/06 1:15,997.3,
2021/08/06 1:16,997.5,
2021/08/06 1:17,997.5,
2021/08/06 1:18,997.5,
2021/08/06 1:19,997.5,
2021/08/06 1:20,997.5,
2021/08/06 1:21,997.5,
2021/08/06 1:22,997.5,
2021/08/06 1:23,997.5,
2021/08/06 1:24,997.3,
2021/08/06 1:25,997.3,
2021/08/06 1:26,997.3,
2021/08/06 1:27,997.3,
2021/08/06 1:28,997.3,
2021/08/06 1:29,997.2,
2021/08/06 1:30,997.2,
2021/08/06 1:31,997.2,
2021/08/06 1:32,997.1,
2021/08/06 1:33,997.1,
2021/08/06 1:34,997.2,
2021/08/06 1:35,997.2,
2021/08/06 1:36,997.1,
2021/08/06 1:37,997.1,
2021/08/06 1:38,997.1,
2021/08/06 1:39,997.0,
2021/08/06 1:40,997.0,
2021/08/06 1:41,997.0,
2021/08/06 1:42,997.0,
2021/08/06 1:43,997.0,
2021/08/06 1:44,997.1,
2021/08/06 1:45,997.1,
2021/08/06 1:46,997.1,
2021/08/06 1:47,997.1,
2021/08/06 1:48,997.2,
2021/08/06 1:49,997.2,
2021/08/06 1:50,997.2,
2021/08/06 1:51,997.2,
2021/08/06 1:52,997.2,
2021/08/06 1:53,997.2,
2021/08/06 1:54,997.2,
2021/08/06 1:55,997.2,
2021/08/06 1:56,997.2,
2021/08/06 1:57,997.1,
2021/08/06 1:58,997.1,
2021/08/06 1:59,997.0,
2021/08/06 2:00,996.8,
2021/08/06 2:01,996.8,
2021/08/06 2:02,996.7,
2021/08/06 2:03,996.7,
2021/08/06 2:04,996.7,
2021/08/06 2:05,996.7,
2021/08/06 2:06,996.8,
2021/08/06 2:07,996.8,
2021/08/06 2:08,996.8,
2021/08/06 2:09,996.8,
2021/08/06 2:10,996.8,
2021/08/06 2:11,996.8,
2021/08/06 2:12,996.8,
2021/08/06 2:13,996.8,
2021/08/06 2:14,996.7,
2021/08/06 2:15,996.7,
2021/08/06 2:16,996.7,
2021/08/06 2:17,996.7,
2021/08/06 2:18,996.6,
2021/08/06 2:19,996.6,
2021/08/06 2:20,996.6,
2021/08/06 2:21,996.6,
2021/08/06 2:22,996.6,
2021/08/06 2:23,996.6,
2021/08/06 2:24,996.6,
2021/08/06 2:25,996.6,
2021/08/06 2:26,996.6,
2021/08/06 2:27,996.6,
2021/08/06 2:28,996.6,
2021/08/06 2:29,996.6,
2021/08/06 2:30,996.6,
2021/08/06 2:31,996.6,
2021/08/06 2:32,996.6,
2021/08/06 2:33,996.6,
2021/08/06 2:34,996.6,
2021/08/06 2:35,996.6,
2021/08/06 2:36,996.6,
2021/08/06 2:37,996.5,
2021/08/06 2:38,996.3,
2021/08/06 2:39,996.3,
2021/08/06 2:40,996.3,
2021/08/06 2:41,996.3,
2021/08/06 2:42,996.3,
2021/08/06 2:43,996.2,
2021/08/06 2:44,996.2,
2021/08/06 2:45,996.2,
2021/08/06 2:46,996.2,
2021/08/06 2:47,996.2,
2021/08/06 2:48,996.2,
2021/08/06 2:49,996.2,
2021/08/06 2:50,996.2,
2021/08/06 2:51,996.2,
2021/08/06 2:52,996.2,
2021/08/06 2:53,996.1,
2021/08/06 2:54,996.1,
2021/08/06 2:55,996.1,
2021/08/06 2:56,996.1,
2021/08/06 2:57,996.1,
2021/08/06 2:58,996.0,
2021/08/06 2:59,996.0,
2021/08/06 3:00,996.0,
2021/08/06 3:01,996.0,
2021/08/06 3:02,996.0,
2021/08/06 3:03,996.0,
2021/08/06 3:04,996.0,
2021/08/06 3:05,996.0,
2021/08/06 3:06,996.0,
2021/08/06 3:07,996.0,
