Date,Temp,RH
2021/08/06 0:00,27.5,,
2021/08/06 0:01,27.6,,
2021/08/06 0:02,27.6,,
2021/08/06 0:03,27.6,,
2021/08/06 0:04,27.6,,
2021/08/06 0:05,27.6,,
2021/08/06 0:06,27.6,,
2021/08/06 0:07,27.5,,
2021/08/06 0:08,27.6,,
2021/08/06 0:09,27.5,,
2021/08/06 0:10,27.5,,
2021/08/06 0:11,27.5,,
2021/08/06 0:12,27.5,,
2021/08/06 0:13,27.5,,
2021/08/06 0:14,27.5,,
2021/08/06 0:15,27.5,,
2021/08/06 0:16,27.5,,
2021/08/06 0:17,27.5,,
2021/08/06 0:18,27.5,,
2021/08/06 0:19,27.5,,
2021/08/06 0:20,27.5,,
2021/08/06 0:21,27.5,,
2021/08/06 0:22,27.5,,
2021/08/06 0:23,27.5,,
2021/08/06 0:24,27.5,,
2021/08/06 0:25,27.5,,
2021/08/06 0:26,27.5,,
2021/08/06 0:27,27.5,,
2021/08/06 0:28,27.5,,
2021/08/06 0:29,27.5,,
2021/08/06 0:30,27.5,,
2021/08/06 0:31,27.5,,
2021/08/06 0:32,27.4,,
2021/08/06 0:33,27.4,,
2021/08/06 0:34,27.4,,
2021/08/06 0:35,27.4,,
2021/08/06 0:36,27.4,,
2021/08/06 0:37,27.4,,
2021/08/06 0:38,27.4,,
2021/08/06 0:39,27.4,,
2021/08/06 0:40,27.4,,
2021/08/06 0:41,27.4,,
2021/08/06 0:42,27.4,,
2021/08/06 0:43,27.4,,
2021/08/06 0:44,27.4,,
2021/08/06 0:45,27.4,,
2021/08/06 0:46,27.4,,
2021/08/06 0:47,27.4,,
2021/08/06 0:48,27.4,,
2021/08/06 0:49,27.4,,
2021/08/06 0:50,27.4,,
2021/08/06 0:51,27.4,,
2021/08/06 0:52,,,
2021/08/06 0:53,,,
2021/08/06 0:54,,,
2021/08/06 0:55,,,
2021/08/06 0:56,,,
2021/08/06 0:57,,,
2021/08/06 0:58,,,
2021/08/06 0:59,,,
