Date,Temp,RH
2021/08/09 0:00,27.2,,
2021/08/09 0:01,27.2,,
2021/08/09 0:02,27.3,,
2021/08/09 0:03,27.3,,
2021/08/09 0:04,27.3,,
2021/08/09 0:05,27.3,,
2021/08/09 0:06,27.3,,
2021/08/09 0:07,27.3,,
2021/08/09 0:08,27.3,,
2021/08/09 0:09,27.3,,
2021/08/09 0:10,27.3,,
2021/08/09 0:11,27.3,,
2021/08/09 0:12,27.3,,
2021/08/09 0:13,27.3,,
2021/08/09 0:14,27.3,,
2021/08/09 0:15,27.4,,
2021/08/09 0:16,27.4,,
2021/08/09 0:17,27.4,,
2021/08/09 0:18,27.4,,
2021/08/09 0:19,27.4,,
2021/08/09 0:20,27.4,,
2021/08/09 0:21,27.5,,
2021/08/09 0:22,27.5,,
2021/08/09 0:23,27.5,,
2021/08/09 0:24,27.5,,
2021/08/09 0:25,27.6,,
2021/08/09 0:26,27.6,,
2021/08/09 0:27,27.6,,
2021/08/09 0:28,27.6,,
2021/08/09 0:29,27.6,,
2021/08/09 0:30,27.6,,
2021/08/09 0:31,27.6,,
2021/08/09 0:32,27.6,,
2021/08/09 0:33,27.6,,
2021/08/09 0:34,27.6,,
2021/08/09 0:35,27.6,,
2021/08/09 0:36,27.6,,
2021/08/09 0:37,27.5,,
2021/08/09 0:38,27.5,,
2021/08/09 0:39,27.6,,
2021/08/09 0:40,27.5,,
2021/08/09 0:41,27.4,,
2021/08/09 0:42,27.4,,
2021/08/09 0:43,27.3,,
2021/08/09 0:44,27.4,,
2021/08/09 0:45,27.3,,
2021/08/09 0:46,27.1,,
2021/08/09 0:47,27.0,,
2021/08/09 0:48,27.0,,
2021/08/09 0:49,26.9,,
2021/08/09 0:50,26.9,,
2021/08/09 0:51,26.9,,
2021/08/09 0:52,26.9,,
2021/08/09 0:53,26.9,,
2021/08/09 0:54,26.9,,
2021/08/09 0:55,26.9,,
2021/08/09 0:56,26.9,,
2021/08/09 0:57,26.9,,
2021/08/09 0:58,26.8,,
2021/08/09 0:59,26.8,,
2021/08/09 1:00,26.7,,
2021/08/09 1:01,26.7,,
2021/08/09 1:02,26.7,,
2021/08/09 1:03,26.6,,
2021/08/09 1:04,26.6,,
2021/08/09 1:05,26.5,,
2021/08/09 1:06,26.5,,
2021/08/09 1:07,26.5,,
2021/08/09 1:08,26.4,,
2021/08/09 1:09,26.4,,
2021/08/09 1:10,26.3,,
2021/08/09 1:11,26.3,,
2021/08/09 1:12,26.3,,
2021/08/09 1:13,26.4,,
2021/08/09 1:14,26.4,,
2021/08/09 1:15,26.4,,
2021/08/09 1:16,26.3,,
2021/08/09 1:17,26.3,,
2021/08/09 1:18,26.3,,
2021/08/09 1:19,26.3,,
2021/08/09 1:20,26.3,,
2021/08/09 1:21,26.3,,
2021/08/09 1:22,26.3,,
2021/08/09 1:23,26.3,,
2021/08/09 1:24,26.3,,
2021/08/09 1:25,26.3,,
2021/08/09 1:26,26.3,,
2021/08/09 1:27,26.3,,
2021/08/09 1:28,26.3,,
2021/08/09 1:29,26.3,,
2021/08/09 1:30,26.4,,
2021/08/09 1:31,26.4,,
2021/08/09 1:32,26.4,,
2021/08/09 1:33,26.4,,
2021/08/09 1:34,26.4,,
2021/08/09 1:35,26.4,,
2021/08/09 1:36,26.4,,
2021/08/09 1:37,26.2,,
2021/08/09 1:38,26.2,,
2021/08/09 1:39,26.3,,
2021/08/09 1:40,26.3,,
2021/08/09 1:41,26.4,,
2021/08/09 1:42,26.4,,
2021/08/09 1:43,26.5,,
2021/08/09 1:44,26.5,,
2021/08/09 1:45,26.5,,
2021/08/09 1:46,26.5,,
2021/08/09 1:47,26.5,,
2021/08/09 1:48,26.5,,
2021/08/09 1:49,26.5,,
2021/08/09 1:50,26.6,,
2021/08/09 1:51,26.6,,
2021/08/09 1:52,26.6,,
2021/08/09 1:53,26.6,,
2021/08/09 1:54,26.6,,
2021/08/09 1:55,26.6,,
2021/08/09 1:56,26.6,,
2021/08/09 1:57,26.6,,
2021/08/09 1:58,26.6,,
2021/08/09 1:59,26.6,,
2021/08/09 2:00,26.7,,
2021/08/09 2:01,26.7,,
2021/08/09 2:02,26.7,,
2021/08/09 2:03,26.7,,
2021/08/09 2:04,26.7,,
2021/08/09 2:05,26.8,,
2021/08/09 2:06,26.8,,
2021/08/09 2:07,26.8,,
2021/08/09 2:08,26.8,,
2021/08/09 2:09,26.9,,
2021/08/09 2:10,26.9,,
2021/08/09 2:11,26.9,,
2021/08/09 2:12,26.9,,
2021/08/09 2:13,26.9,,
2021/08/09 2:14,26.9,,
2021/08/09 2:15,27.0,,
2021/08/09 2:16,27.0,,
2021/08/09 2:17,27.0,,
2021/08/09 2:18,27.0,,
2021/08/09 2:19,27.0,,
2021/08/09 2:20,27.0,,
2021/08/09 2:21,27.0,,
2021/08/09 2:22,27.0,,
2021/08/09 2:23,27.0,,
2021/08/09 2:24,27.0,,
2021/08/09 2:25,27.0,,
2021/08/09 2:26,27.0,,
2021/08/09 2:27,27.0,,
2021/08/09 2:28,27.0,,
2021/08/09 2:29,27.1,,
2021/08/09 2:30,27.1,,
2021/08/09 2:31,27.1,,
2021/08/09 2:32,27.1,,
2021/08/09 2:33,27.1,,
2021/08/09 2:34,27.1,,
2021/08/09 2:35,27.1,,
2021/08/09 2:36,27.1,,
2021/08/09 2:37,27.1,,
2021/08/09 2:38,27.1,,
2021/08/09 2:39,27.1,,
2021/08/09 2:40,27.1,,
2021/08/09 2:41,27.1,,
2021/08/09 2:42,27.1,,
2021/08/09 2:43,27.1,,
2021/08/09 2:44,27.2,,
2021/08/09 2:45,27.2,,
2021/08/09 2:46,27.2,,
2021/08/09 2:47,27.3,,
2021/08/09 2:48,27.3,,
2021/08/09 2:49,27.3,,
2021/08/09 2:50,27.3,,
2021/08/09 2:51,27.3,,
2021/08/09 2:52,27.3,,
2021/08/09 2:53,27.4,,
2021/08/09 2:54,27.4,,
2021/08/09 2:55,27.4,,
2021/08/09 2:56,27.4,,
2021/08/09 2:57,27.5,,
2021/08/09 2:58,27.5,,
2021/08/09 2:59,27.5,,
2021/08/09 3:00,27.5,,
2021/08/09 3:01,27.5,,
2021/08/09 3:02,27.5,,
2021/08/09 3:03,27.5,,
2021/08/09 3:04,27.5,,
2021/08/09 3:05,27.5,,
2021/08/09 3:06,27.5,,
2021/08/09 3:07,27.5,,
2021/08/09 3:08,27.5,,
2021/08/09 3:09,27.5,,
2021/08/09 3:10,27.5,,
2021/08/09 3:11,27.5,,
2021/08/09 3:12,27.5,,
2021/08/09 3:13,27.5,,
2021/08/09 3:14,27.5,,
2021/08/09 3:15,27.5,,
2021/08/09 3:16,27.5,,
2021/08/09 3:17,27.5,,
2021/08/09 3:18,27.5,,
2021/08/09 3:19,27.5,,
2021/08/09 3:20,27.5,,
2021/08/09 3:21,27.5,,
2021/08/09 3:22,27.5,,
2021/08/09 3:23,27.5,,
2021/08/09 3:24,27.5,,
2021/08/09 3:25,27.6,,
2021/08/09 3:26,27.6,,
2021/08/09 3:27,27.5,,
2021/08/09 3:28,27.6,,
2021/08/09 3:29,27.6,,
2021/08/09 3:30,27.6,,
2021/08/09 3:31,27.6,,
2021/08/09 3:32,27.6,,
2021/08/09 3:33,27.6,,
2021/08/09 3:34,27.6,,
2021/08/09 3:35,27.6,,
2021/08/09 3:36,27.6,,
2021/08/09 3:37,27.6,,
2021/08/09 3:38,27.6,,
2021/08/09 3:39,27.6,,
2021/08/09 3:40,27.6,,
2021/08/09 3:41,27.6,,
2021/08/09 3:42,27.6,,
2021/08/09 3:43,27.6,,
2021/08/09 3:44,27.6,,
2021/08/09 3:45,27.6,,
