Date,Temp,RH
2021/08/10 0:00,24.9,,
2021/08/10 0:01,24.9,,
2021/08/10 0:02,24.9,,
2021/08/10 0:03,24.9,,
2021/08/10 0:04,24.9,,
2021/08/10 0:05,24.9,,
2021/08/10 0:06,24.9,,
2021/08/10 0:07,24.9,,
2021/08/10 0:08,24.9,,
2021/08/10 0:09,24.9,,
2021/08/10 0:10,24.9,,
2021/08/10 0:11,24.9,,
2021/08/10 0:12,24.9,,
2021/08/10 0:13,24.9,,
2021/08/10 0:14,24.9,,
2021/08/10 0:15,24.9,,
2021/08/10 0:16,24.9,,
2021/08/10 0:17,24.9,,
2021/08/10 0:18,24.9,,
2021/08/10 0:19,24.9,,
2021/08/10 0:20,24.9,,
2021/08/10 0:21,24.9,,
2021/08/10 0:22,24.9,,
2021/08/10 0:23,24.9,,
2021/08/10 0:24,24.9,,
2021/08/10 0:25,24.9,,
2021/08/10 0:26,24.9,,
2021/08/10 0:27,24.9,,
2021/08/10 0:28,24.9,,
2021/08/10 0:29,24.9,,
2021/08/10 0:30,24.9,,
2021/08/10 0:31,24.9,,
2021/08/10 0:32,24.9,,
2021/08/10 0:33,24.9,,
2021/08/10 0:34,25.0,,
2021/08/10 0:35,25.0,,
2021/08/10 0:36,25.0,,
2021/08/10 0:37,25.0,,
2021/08/10 0:38,25.0,,
2021/08/10 0:39,25.0,,
2021/08/10 0:40,25.0,,
2021/08/10 0:41,25.0,,
2021/08/10 0:42,25.0,,
2021/08/10 0:43,25.0,,
2021/08/10 0:44,25.0,,
2021/08/10 0:45,25.0,,
2021/08/10 0:46,25.0,,
2021/08/10 0:47,25.0,,
2021/08/10 0:48,25.0,,
2021/08/10 0:49,25.0,,
2021/08/10 0:50,25.0,,
2021/08/10 0:51,25.0,,
2021/08/10 0:52,25.0,,
2021/08/10 0:53,25.0,,
2021/08/10 0:54,25.0,,
2021/08/10 0:55,25.0,,
2021/08/10 0:56,25.0,,
2021/08/10 0:57,25.0,,
2021/08/10 0:58,25.0,,
2021/08/10 0:59,25.0,,
2021/08/10 1:00,25.0,,
2021/08/10 1:01,25.0,,
2021/08/10 1:02,25.0,,
2021/08/10 1:03,25.0,,
2021/08/10 1:04,25.0,,
