Date,Temp,RH
2021/08/11 0:00,28.9,,
2021/08/11 0:01,28.9,,
2021/08/11 0:02,28.9,,
2021/08/11 0:03,28.9,,
2021/08/11 0:04,28.9,,
2021/08/11 0:05,28.9,,
2021/08/11 0:06,28.9,,
2021/08/11 0:07,29.0,,
2021/08/11 0:08,28.9,,
2021/08/11 0:09,28.9,,
2021/08/11 0:10,28.9,,
2021/08/11 0:11,28.9,,
2021/08/11 0:12,28.9,,
2021/08/11 0:13,28.9,,
2021/08/11 0:14,28.9,,
2021/08/11 0:15,29.0,,
2021/08/11 0:16,29.0,,
2021/08/11 0:17,29.0,,
2021/08/11 0:18,29.0,,
2021/08/11 0:19,29.0,,
2021/08/11 0:20,29.0,,
2021/08/11 0:21,28.9,,
2021/08/11 0:22,28.9,,
2021/08/11 0:23,28.9,,
2021/08/11 0:24,28.9,,
2021/08/11 0:25,28.9,,
2021/08/11 0:26,28.9,,
2021/08/11 0:27,28.9,,
2021/08/11 0:28,28.8,,
2021/08/11 0:29,28.8,,
2021/08/11 0:30,28.8,,
2021/08/11 0:31,28.7,,
2021/08/11 0:32,28.7,,
2021/08/11 0:33,28.7,,
2021/08/11 0:34,28.7,,
2021/08/11 0:35,28.7,,
2021/08/11 0:36,28.7,,
2021/08/11 0:37,28.7,,
2021/08/11 0:38,28.6,,
2021/08/11 0:39,28.6,,
2021/08/11 0:40,28.6,,
2021/08/11 0:41,28.6,,
2021/08/11 0:42,28.6,,
2021/08/11 0:43,28.6,,
2021/08/11 0:44,28.6,,
2021/08/11 0:45,28.6,,
2021/08/11 0:46,28.6,,
2021/08/11 0:47,28.6,,
2021/08/11 0:48,28.6,,
2021/08/11 0:49,28.6,,
2021/08/11 0:50,28.6,,
2021/08/11 0:51,28.6,,
2021/08/11 0:52,28.6,,
2021/08/11 0:53,28.6,,
2021/08/11 0:54,28.6,,
2021/08/11 0:55,28.6,,
2021/08/11 0:56,28.6,,
2021/08/11 0:57,28.6,,
2021/08/11 0:58,28.6,,
2021/08/11 0:59,28.6,,
2021/08/11 1:00,28.6,,
2021/08/11 1:01,28.6,,
2021/08/11 1:02,28.6,,
2021/08/11 1:03,28.6,,
2021/08/11 1:04,28.6,,
2021/08/11 1:05,28.6,,
2021/08/11 1:06,28.6,,
2021/08/11 1:07,28.6,,
2021/08/11 1:08,28.6,,
2021/08/11 1:09,28.7,,
2021/08/11 1:10,28.7,,
2021/08/11 1:11,28.7,,
2021/08/11 1:12,28.7,,
2021/08/11 1:13,28.7,,
2021/08/11 1:14,28.7,,
2021/08/11 1:15,28.7,,
2021/08/11 1:16,28.7,,
2021/08/11 1:17,28.7,,
2021/08/11 1:18,28.7,,
2021/08/11 1:19,28.7,,
2021/08/11 1:20,28.7,,
2021/08/11 1:21,28.7,,
2021/08/11 1:22,28.7,,
2021/08/11 1:23,28.7,,
2021/08/11 1:24,28.7,,
2021/08/11 1:25,28.7,,
2021/08/11 1:26,28.7,,
2021/08/11 1:27,28.7,,
2021/08/11 1:28,28.7,,
2021/08/11 1:29,28.7,,
2021/08/11 1:30,28.7,,
2021/08/11 1:31,28.7,,
2021/08/11 1:32,28.6,,
2021/08/11 1:33,28.6,,
2021/08/11 1:34,28.6,,
2021/08/11 1:35,28.6,,
2021/08/11 1:36,28.6,,
2021/08/11 1:37,28.6,,
2021/08/11 1:38,28.6,,
2021/08/11 1:39,28.6,,
2021/08/11 1:40,28.6,,
2021/08/11 1:41,28.6,,
2021/08/11 1:42,28.6,,
2021/08/11 1:43,28.6,,
2021/08/11 1:44,28.6,,
2021/08/11 1:45,28.6,,
2021/08/11 1:46,28.5,,
2021/08/11 1:47,28.5,,
2021/08/11 1:48,28.5,,
2021/08/11 1:49,28.5,,
2021/08/11 1:50,28.5,,
2021/08/11 1:51,28.5,,
2021/08/11 1:52,28.5,,
2021/08/11 1:53,28.5,,
2021/08/11 1:54,28.5,,
2021/08/11 1:55,28.5,,
2021/08/11 1:56,28.5,,
2021/08/11 1:57,28.6,,
2021/08/11 1:58,28.6,,
2021/08/11 1:59,28.6,,
2021/08/11 2:00,28.6,,
2021/08/11 2:01,28.6,,
2021/08/11 2:02,28.6,,
2021/08/11 2:03,28.6,,
2021/08/11 2:04,28.6,,
2021/08/11 2:05,28.5,,
2021/08/11 2:06,28.5,,
2021/08/11 2:07,28.5,,
2021/08/11 2:08,28.5,,
2021/08/11 2:09,28.5,,
2021/08/11 2:10,28.6,,
2021/08/11 2:11,28.6,,
2021/08/11 2:12,28.6,,
2021/08/11 2:13,28.6,,
2021/08/11 2:14,28.6,,
2021/08/11 2:15,28.6,,
2021/08/11 2:16,28.6,,
2021/08/11 2:17,28.6,,
2021/08/11 2:18,28.6,,
2021/08/11 2:19,28.6,,
2021/08/11 2:20,28.6,,
2021/08/11 2:21,28.6,,
