Date,Temp,RH
2021/08/12 0:00,22.3,,
2021/08/12 0:01,22.3,,
2021/08/12 0:02,22.3,,
2021/08/12 0:03,22.3,,
2021/08/12 0:04,22.3,,
2021/08/12 0:05,22.3,,
2021/08/12 0:06,22.3,,
2021/08/12 0:07,22.4,,
2021/08/12 0:08,22.4,,
2021/08/12 0:09,22.4,,
2021/08/12 0:10,22.4,,
2021/08/12 0:11,22.4,,
2021/08/12 0:12,22.4,,
2021/08/12 0:13,22.3,,
2021/08/12 0:14,22.3,,
2021/08/12 0:15,22.2,,
2021/08/12 0:16,22.2,,
2021/08/12 0:17,22.2,,
2021/08/12 0:18,22.2,,
2021/08/12 0:19,22.2,,
2021/08/12 0:20,22.2,,
2021/08/12 0:21,22.3,,
2021/08/12 0:22,22.2,,
2021/08/12 0:23,22.2,,
2021/08/12 0:24,22.2,,
2021/08/12 0:25,22.2,,
2021/08/12 0:26,22.2,,
2021/08/12 0:27,22.2,,
2021/08/12 0:28,22.1,,
2021/08/12 0:29,22.1,,
2021/08/12 0:30,22.1,,
2021/08/12 0:31,22.0,,
2021/08/12 0:32,22.0,,
2021/08/12 0:33,22.1,,
2021/08/12 0:34,22.1,,
2021/08/12 0:35,22.1,,
2021/08/12 0:36,22.1,,
2021/08/12 0:37,22.1,,
2021/08/12 0:38,22.1,,
2021/08/12 0:39,22.1,,
2021/08/12 0:40,22.1,,
2021/08/12 0:41,22.1,,
2021/08/12 0:42,22.1,,
2021/08/12 0:43,22.1,,
2021/08/12 0:44,22.1,,
2021/08/12 0:45,22.1,,
2021/08/12 0:46,22.1,,
2021/08/12 0:47,22.1,,
2021/08/12 0:48,22.1,,
2021/08/12 0:49,22.1,,
2021/08/12 0:50,22.1,,
2021/08/12 0:51,22.2,,
2021/08/12 0:52,22.2,,
2021/08/12 0:53,22.3,,
2021/08/12 0:54,22.3,,
2021/08/12 0:55,22.2,,
2021/08/12 0:56,22.2,,
2021/08/12 0:57,22.1,,
2021/08/12 0:58,22.1,,
2021/08/12 0:59,22.2,,
2021/08/12 1:00,22.2,,
2021/08/12 1:01,22.2,,
2021/08/12 1:02,22.2,,
2021/08/12 1:03,22.2,,
2021/08/12 1:04,22.2,,
2021/08/12 1:05,22.1,,
2021/08/12 1:06,22.1,,
2021/08/12 1:07,22.1,,
2021/08/12 1:08,22.2,,
2021/08/12 1:09,22.2,,
2021/08/12 1:10,22.2,,
2021/08/12 1:11,22.2,,
2021/08/12 1:12,22.2,,
2021/08/12 1:13,22.2,,
2021/08/12 1:14,22.2,,
2021/08/12 1:15,22.2,,
2021/08/12 1:16,22.2,,
2021/08/12 1:17,22.2,,
2021/08/12 1:18,22.2,,
2021/08/12 1:19,22.2,,
2021/08/12 1:20,22.3,,
2021/08/12 1:21,22.3,,
2021/08/12 1:22,22.2,,
2021/08/12 1:23,22.2,,
2021/08/12 1:24,22.3,,
2021/08/12 1:25,22.3,,
2021/08/12 1:26,22.3,,
2021/08/12 1:27,22.3,,
2021/08/12 1:28,22.3,,
2021/08/12 1:29,22.4,,
2021/08/12 1:30,22.4,,
2021/08/12 1:31,22.4,,
2021/08/12 1:32,22.4,,
2021/08/12 1:33,22.3,,
2021/08/12 1:34,22.3,,
2021/08/12 1:35,22.3,,
2021/08/12 1:36,22.4,,
2021/08/12 1:37,22.4,,
2021/08/12 1:38,22.4,,
2021/08/12 1:39,22.4,,
2021/08/12 1:40,22.4,,
2021/08/12 1:41,22.3,,
2021/08/12 1:42,22.2,,
2021/08/12 1:43,22.3,,
2021/08/12 1:44,22.3,,
2021/08/12 1:45,22.4,,
2021/08/12 1:46,22.4,,
2021/08/12 1:47,22.4,,
2021/08/12 1:48,22.4,,
2021/08/12 1:49,22.4,,
2021/08/12 1:50,22.3,,
2021/08/12 1:51,22.3,,
2021/08/12 1:52,22.3,,
2021/08/12 1:53,22.3,,
2021/08/12 1:54,22.2,,
2021/08/12 1:55,22.3,,
2021/08/12 1:56,22.3,,
2021/08/12 1:57,22.3,,
2021/08/12 1:58,22.3,,
2021/08/12 1:59,22.2,,
2021/08/12 2:00,22.2,,
2021/08/12 2:01,22.2,,
2021/08/12 2:02,22.1,,
2021/08/12 2:03,22.1,,
2021/08/12 2:04,22.1,,
2021/08/12 2:05,22.1,,
2021/08/12 2:06,21.9,,
2021/08/12 2:07,21.7,,
2021/08/12 2:08,21.6,,
