Date,Temp,RH
2021/08/14 0:00,25.4,,
2021/08/14 0:01,25.4,,
2021/08/14 0:02,25.4,,
2021/08/14 0:03,25.4,,
2021/08/14 0:04,25.4,,
2021/08/14 0:05,25.4,,
2021/08/14 0:06,25.4,,
2021/08/14 0:07,25.4,,
2021/08/14 0:08,25.4,,
2021/08/14 0:09,25.4,,
2021/08/14 0:10,25.4,,
2021/08/14 0:11,25.4,,
2021/08/14 0:12,25.4,,
2021/08/14 0:13,25.4,,
2021/08/14 0:14,25.4,,
2021/08/14 0:15,25.4,,
2021/08/14 0:16,25.4,,
2021/08/14 0:17,25.4,,
2021/08/14 0:18,25.4,,
2021/08/14 0:19,25.4,,
2021/08/14 0:20,25.4,,
2021/08/14 0:21,25.4,,
2021/08/14 0:22,25.4,,
2021/08/14 0:23,25.4,,
2021/08/14 0:24,25.4,,
2021/08/14 0:25,25.4,,
2021/08/14 0:26,25.4,,
2021/08/14 0:27,25.4,,
2021/08/14 0:28,25.4,,
2021/08/14 0:29,25.4,,
2021/08/14 0:30,25.4,,
2021/08/14 0:31,25.4,,
2021/08/14 0:32,25.4,,
2021/08/14 0:33,25.4,,
2021/08/14 0:34,25.4,,
2021/08/14 0:35,25.4,,
2021/08/14 0:36,25.4,,
2021/08/14 0:37,25.4,,
2021/08/14 0:38,25.4,,
2021/08/14 0:39,25.4,,
2021/08/14 0:40,25.4,,
2021/08/14 0:41,25.4,,
2021/08/14 0:42,25.3,,
2021/08/14 0:43,25.3,,
2021/08/14 0:44,25.4,,
2021/08/14 0:45,25.4,,
2021/08/14 0:46,25.4,,
2021/08/14 0:47,25.4,,
2021/08/14 0:48,25.4,,
2021/08/14 0:49,25.4,,
2021/08/14 0:50,25.4,,
2021/08/14 0:51,25.4,,
2021/08/14 0:52,25.4,,
2021/08/14 0:53,25.4,,
2021/08/14 0:54,25.4,,
2021/08/14 0:55,25.4,,
2021/08/14 0:56,25.4,,
2021/08/14 0:57,25.4,,
2021/08/14 0:58,25.4,,
2021/08/14 0:59,25.4,,
2021/08/14 1:00,25.4,,
2021/08/14 1:01,25.4,,
2021/08/14 1:02,25.4,,
2021/08/14 1:03,25.4,,
2021/08/14 1:04,25.4,,
2021/08/14 1:05,25.4,,
2021/08/14 1:06,25.3,,
2021/08/14 1:07,25.3,,
2021/08/14 1:08,25.3,,
2021/08/14 1:09,25.3,,
2021/08/14 1:10,25.3,,
2021/08/14 1:11,25.3,,
2021/08/14 1:12,25.3,,
2021/08/14 1:13,25.3,,
2021/08/14 1:14,25.3,,
2021/08/14 1:15,25.3,,
2021/08/14 1:16,25.3,,
2021/08/14 1:17,25.3,,
2021/08/14 1:18,25.3,,
2021/08/14 1:19,25.3,,
2021/08/14 1:20,25.3,,
2021/08/14 1:21,25.3,,
2021/08/14 1:22,25.3,,
2021/08/14 1:23,25.3,,
2021/08/14 1:24,25.3,,
2021/08/14 1:25,25.3,,
2021/08/14 1:26,25.3,,
2021/08/14 1:27,25.3,,
2021/08/14 1:28,25.3,,
2021/08/14 1:29,25.3,,
2021/08/14 1:30,25.3,,
2021/08/14 1:31,25.3,,
2021/08/14 1:32,25.3,,
2021/08/14 1:33,25.3,,
2021/08/14 1:34,25.3,,
2021/08/14 1:35,25.3,,
2021/08/14 1:36,25.3,,
2021/08/14 1:37,25.3,,
2021/08/14 1:38,25.3,,
2021/08/14 1:39,25.3,,
2021/08/14 1:40,25.2,,
2021/08/14 1:41,25.3,,
2021/08/14 1:42,25.3,,
2021/08/14 1:43,25.3,,
2021/08/14 1:44,25.3,,
2021/08/14 1:45,25.3,,
2021/08/14 1:46,25.3,,
2021/08/14 1:47,25.3,,
2021/08/14 1:48,25.3,,
2021/08/14 1:49,25.3,,
2021/08/14 1:50,25.3,,
2021/08/14 1:51,25.3,,
2021/08/14 1:52,25.3,,
2021/08/14 1:53,25.3,,
2021/08/14 1:54,25.3,,
2021/08/14 1:55,25.3,,
