Date,Wind Spd, Wind Dir
2021/08/15 0:00,0.0,,
2021/08/15 0:01,0.0,,
2021/08/15 0:02,0.0,,
2021/08/15 0:03,0.0,,
2021/08/15 0:04,0.0,,
2021/08/15 0:05,0.0,,
2021/08/15 0:06,0.0,,
2021/08/15 0:07,0.0,,
2021/08/15 0:08,0.0,,
2021/08/15 0:09,1.0,,
2021/08/15 0:10,1.0,,
2021/08/15 0:11,1.0,,
2021/08/15 0:12,1.0,,
2021/08/15 0:13,1.0,,
2021/08/15 0:14,1.0,,
2021/08/15 0:15,1.0,,
2021/08/15 0:16,1.0,,
2021/08/15 0:17,1.0,,
2021/08/15 0:18,2.0,,
2021/08/15 0:19,2.0,,
2021/08/15 0:20,1.0,,
2021/08/15 0:21,1.0,,
2021/08/15 0:22,1.0,,
2021/08/15 0:23,1.0,,
2021/08/15 0:24,1.0,,
2021/08/15 0:25,1.0,,
2021/08/15 0:26,1.0,,
2021/08/15 0:27,1.0,,
2021/08/15 0:28,1.0,,
2021/08/15 0:29,1.0,,
2021/08/15 0:30,1.0,,
2021/08/15 0:31,1.0,,
2021/08/15 0:32,1.0,,
2021/08/15 0:33,1.0,,
2021/08/15 0:34,1.0,,
2021/08/15 0:35,1.0,,
2021/08/15 0:36,2.0,,
2021/08/15 0:37,2.0,,
2021/08/15 0:38,3.0,,
2021/08/15 0:39,3.0,,
2021/08/15 0:40,3.0,,
2021/08/15 0:41,3.0,,
2021/08/15 0:42,3.0,,
2021/08/15 0:43,3.0,,
2021/08/15 0:44,3.0,,
2021/08/15 0:45,3.0,,
2021/08/15 0:46,3.0,,
2021/08/15 0:47,2.0,,
2021/08/15 0:48,1.0,,
2021/08/15 0:49,1.0,,
2021/08/15 0:50,1.0,,
2021/08/15 0:51,1.0,,
2021/08/15 0:52,1.0,,
2021/08/15 0:53,1.0,,
2021/08/15 0:54,1.0,,
2021/08/15 0:55,2.0,,
2021/08/15 0:56,2.0,,
2021/08/15 0:57,2.0,,
2021/08/15 0:58,2.0,,
2021/08/15 0:59,3.0,,
2021/08/15 1:00,3.0,,
2021/08/15 1:01,4.0,,
2021/08/15 1:02,4.0,,
2021/08/15 1:03,4.0,,
2021/08/15 1:04,4.0,,
2021/08/15 1:05,3.0,,
2021/08/15 1:06,3.0,,
2021/08/15 1:07,4.0,,
2021/08/15 1:08,4.0,,
2021/08/15 1:09,3.0,,
2021/08/15 1:10,3.0,,
2021/08/15 1:11,3.0,,
2021/08/15 1:12,3.0,,
2021/08/15 1:13,4.0,,
2021/08/15 1:14,5.0,,
2021/08/15 1:15,5.0,,
2021/08/15 1:16,5.0,,
2021/08/15 1:17,6.0,,
2021/08/15 1:18,6.0,,
2021/08/15 1:19,8.0,,
2021/08/15 1:20,8.0,,
2021/08/15 1:21,8.0,,
2021/08/15 1:22,7.0,,
2021/08/15 1:23,6.0,,
2021/08/15 1:24,6.0,,
2021/08/15 1:25,6.0,,
2021/08/15 1:26,6.0,,
2021/08/15 1:27,6.0,,
2021/08/15 1:28,6.0,,
2021/08/15 1:29,5.0,,
2021/08/15 1:30,5.0,,
2021/08/15 1:31,5.0,,
2021/08/15 1:32,5.0,,
2021/08/15 1:33,5.0,,
2021/08/15 1:34,5.0,,
2021/08/15 1:35,5.0,,
2021/08/15 1:36,5.0,,
2021/08/15 1:37,4.0,,
2021/08/15 1:38,4.0,,
2021/08/15 1:39,3.0,,
2021/08/15 1:40,3.0,,
2021/08/15 1:41,3.0,,
2021/08/15 1:42,3.0,,
2021/08/15 1:43,2.0,,
2021/08/15 1:44,1.0,,
2021/08/15 1:45,1.0,,
2021/08/15 1:46,2.0,,
2021/08/15 1:47,2.0,,
2021/08/15 1:48,3.0,,
2021/08/15 1:49,3.0,,
