Date,Temp,RH
2021/08/15 0:00,23.5,,
2021/08/15 0:01,23.5,,
2021/08/15 0:02,23.5,,
2021/08/15 0:03,23.5,,
2021/08/15 0:04,23.5,,
2021/08/15 0:05,23.5,,
2021/08/15 0:06,23.4,,
2021/08/15 0:07,23.4,,
2021/08/15 0:08,23.4,,
2021/08/15 0:09,23.4,,
2021/08/15 0:10,23.4,,
2021/08/15 0:11,23.3,,
2021/08/15 0:12,23.3,,
2021/08/15 0:13,23.3,,
2021/08/15 0:14,23.3,,
2021/08/15 0:15,23.3,,
2021/08/15 0:16,23.3,,
2021/08/15 0:17,23.3,,
2021/08/15 0:18,23.3,,
2021/08/15 0:19,23.3,,
2021/08/15 0:20,23.3,,
2021/08/15 0:21,23.3,,
2021/08/15 0:22,23.3,,
2021/08/15 0:23,23.3,,
2021/08/15 0:24,23.3,,
2021/08/15 0:25,23.3,,
2021/08/15 0:26,23.3,,
2021/08/15 0:27,23.3,,
2021/08/15 0:28,23.3,,
2021/08/15 0:29,23.2,,
2021/08/15 0:30,23.2,,
2021/08/15 0:31,23.2,,
2021/08/15 0:32,23.2,,
2021/08/15 0:33,23.2,,
2021/08/15 0:34,23.2,,
2021/08/15 0:35,23.2,,
2021/08/15 0:36,23.2,,
2021/08/15 0:37,23.2,,
2021/08/15 0:38,23.2,,
2021/08/15 0:39,23.2,,
2021/08/15 0:40,23.2,,
2021/08/15 0:41,23.2,,
2021/08/15 0:42,23.2,,
2021/08/15 0:43,23.2,,
2021/08/15 0:44,23.2,,
2021/08/15 0:45,23.2,,
2021/08/15 0:46,23.2,,
2021/08/15 0:47,23.2,,
2021/08/15 0:48,23.2,,
2021/08/15 0:49,23.2,,
2021/08/15 0:50,23.2,,
2021/08/15 0:51,23.2,,
2021/08/15 0:52,23.2,,
2021/08/15 0:53,23.2,,
2021/08/15 0:54,23.2,,
2021/08/15 0:55,23.2,,
2021/08/15 0:56,23.2,,
2021/08/15 0:57,23.2,,
2021/08/15 0:58,23.2,,
2021/08/15 0:59,23.2,,
2021/08/15 1:00,23.3,,
2021/08/15 1:01,23.3,,
2021/08/15 1:02,23.2,,
2021/08/15 1:03,23.2,,
2021/08/15 1:04,23.2,,
2021/08/15 1:05,23.2,,
2021/08/15 1:06,23.2,,
2021/08/15 1:07,23.2,,
2021/08/15 1:08,23.2,,
2021/08/15 1:09,23.1,,
2021/08/15 1:10,23.1,,
2021/08/15 1:11,22.9,,
2021/08/15 1:12,22.8,,
2021/08/15 1:13,22.8,,
2021/08/15 1:14,22.8,,
2021/08/15 1:15,22.8,,
2021/08/15 1:16,22.7,,
2021/08/15 1:17,22.7,,
2021/08/15 1:18,22.7,,
2021/08/15 1:19,22.7,,
2021/08/15 1:20,22.7,,
2021/08/15 1:21,22.7,,
2021/08/15 1:22,22.7,,
2021/08/15 1:23,22.7,,
2021/08/15 1:24,22.7,,
2021/08/15 1:25,22.7,,
2021/08/15 1:26,22.6,,
2021/08/15 1:27,22.6,,
2021/08/15 1:28,22.6,,
2021/08/15 1:29,22.6,,
2021/08/15 1:30,22.6,,
2021/08/15 1:31,22.6,,
2021/08/15 1:32,22.6,,
2021/08/15 1:33,22.6,,
2021/08/15 1:34,22.6,,
2021/08/15 1:35,22.6,,
2021/08/15 1:36,22.7,,
2021/08/15 1:37,22.7,,
2021/08/15 1:38,22.7,,
2021/08/15 1:39,22.7,,
2021/08/15 1:40,22.7,,
2021/08/15 1:41,22.7,,
2021/08/15 1:42,22.7,,
2021/08/15 1:43,22.7,,
2021/08/15 1:44,22.7,,
2021/08/15 1:45,22.7,,
2021/08/15 1:46,22.7,,
2021/08/15 1:47,22.7,,
2021/08/15 1:48,22.7,,
2021/08/15 1:49,22.7,,
2021/08/15 1:50,22.6,,
2021/08/15 1:51,22.6,,
2021/08/15 1:52,22.6,,
2021/08/15 1:53,22.6,,
2021/08/15 1:54,22.6,,
2021/08/15 1:55,22.6,,
2021/08/15 1:56,22.5,,
2021/08/15 1:57,22.5,,
2021/08/15 1:58,22.5,,
2021/08/15 1:59,22.5,,
2021/08/15 2:00,22.5,,
2021/08/15 2:01,22.5,,
2021/08/15 2:02,22.5,,
2021/08/15 2:03,22.4,,
2021/08/15 2:04,22.4,,
2021/08/15 2:05,22.4,,
2021/08/15 2:06,22.4,,
2021/08/15 2:07,22.3,,
2021/08/15 2:08,22.3,,
2021/08/15 2:09,22.3,,
2021/08/15 2:10,22.3,,
2021/08/15 2:11,22.3,,
2021/08/15 2:12,22.3,,
2021/08/15 2:13,22.3,,
2021/08/15 2:14,22.3,,
2021/08/15 2:15,22.3,,
2021/08/15 2:16,22.3,,
2021/08/15 2:17,22.3,,
2021/08/15 2:18,22.3,,
2021/08/15 2:19,22.3,,
2021/08/15 2:20,22.3,,
2021/08/15 2:21,22.3,,
2021/08/15 2:22,22.3,,
2021/08/15 2:23,22.3,,
2021/08/15 2:24,22.3,,
2021/08/15 2:25,22.3,,
2021/08/15 2:26,22.3,,
2021/08/15 2:27,22.3,,
2021/08/15 2:28,22.3,,
2021/08/15 2:29,22.3,,
2021/08/15 2:30,22.3,,
2021/08/15 2:31,22.4,,
2021/08/15 2:32,22.4,,
2021/08/15 2:33,22.4,,
2021/08/15 2:34,22.4,,
2021/08/15 2:35,22.4,,
2021/08/15 2:36,22.4,,
2021/08/15 2:37,22.4,,
2021/08/15 2:38,22.4,,
2021/08/15 2:39,22.4,,
2021/08/15 2:40,22.4,,
2021/08/15 2:41,22.5,,
2021/08/15 2:42,22.5,,
2021/08/15 2:43,22.6,,
2021/08/15 2:44,22.5,,
2021/08/15 2:45,22.5,,
2021/08/15 2:46,22.5,,
2021/08/15 2:47,22.5,,
2021/08/15 2:48,22.5,,
2021/08/15 2:49,22.5,,
2021/08/15 2:50,22.5,,
2021/08/15 2:51,22.5,,
2021/08/15 2:52,22.5,,
2021/08/15 2:53,22.5,,
2021/08/15 2:54,22.5,,
2021/08/15 2:55,22.5,,
2021/08/15 2:56,22.5,,
2021/08/15 2:57,22.5,,
2021/08/15 2:58,22.5,,
2021/08/15 2:59,22.5,,
2021/08/15 3:00,22.6,,
2021/08/15 3:01,22.5,,
2021/08/15 3:02,22.5,,
2021/08/15 3:03,22.5,,
2021/08/15 3:04,22.5,,
2021/08/15 3:05,22.5,,
2021/08/15 3:06,22.5,,
2021/08/15 3:07,22.5,,
2021/08/15 3:08,22.5,,
2021/08/15 3:09,22.5,,
2021/08/15 3:10,22.5,,
2021/08/15 3:11,22.5,,
2021/08/15 3:12,22.6,,
2021/08/15 3:13,22.6,,
2021/08/15 3:14,22.6,,
2021/08/15 3:15,22.5,,
2021/08/15 3:16,22.5,,
2021/08/15 3:17,22.5,,
2021/08/15 3:18,22.5,,
2021/08/15 3:19,22.5,,
2021/08/15 3:20,22.5,,
2021/08/15 3:21,22.5,,
2021/08/15 3:22,22.6,,
2021/08/15 3:23,22.5,,
2021/08/15 3:24,22.5,,
2021/08/15 3:25,22.5,,
2021/08/15 3:26,22.5,,
2021/08/15 3:27,22.5,,
2021/08/15 3:28,22.5,,
2021/08/15 3:29,22.5,,
2021/08/15 3:30,22.5,,
2021/08/15 3:31,22.5,,
2021/08/15 3:32,22.4,,
2021/08/15 3:33,22.4,,
2021/08/15 3:34,22.4,,
2021/08/15 3:35,22.4,,
2021/08/15 3:36,22.4,,
2021/08/15 3:37,22.4,,
2021/08/15 3:38,22.5,,
2021/08/15 3:39,22.5,,
2021/08/15 3:40,22.5,,
2021/08/15 3:41,22.6,,
2021/08/15 3:42,22.6,,
2021/08/15 3:43,22.6,,
2021/08/15 3:44,22.6,,
2021/08/15 3:45,22.6,,
2021/08/15 3:46,22.5,,
2021/08/15 3:47,22.4,,
2021/08/15 3:48,22.5,,
2021/08/15 3:49,22.5,,
2021/08/15 3:50,22.6,,
2021/08/15 3:51,22.6,,
2021/08/15 3:52,22.6,,
2021/08/15 3:53,22.6,,
2021/08/15 3:54,22.7,,
2021/08/15 3:55,22.7,,
2021/08/15 3:56,22.7,,
2021/08/15 3:57,22.7,,
2021/08/15 3:58,22.7,,
2021/08/15 3:59,22.7,,
2021/08/15 4:00,22.7,,
2021/08/15 4:01,22.7,,
2021/08/15 4:02,22.7,,
2021/08/15 4:03,22.7,,
2021/08/15 4:04,22.7,,
2021/08/15 4:05,22.7,,
2021/08/15 4:06,22.7,,
2021/08/15 4:07,22.8,,
2021/08/15 4:08,22.8,,
2021/08/15 4:09,22.8,,
2021/08/15 4:10,22.8,,
2021/08/15 4:11,22.8,,
2021/08/15 4:12,22.9,,
2021/08/15 4:13,22.9,,
2021/08/15 4:14,22.9,,
2021/08/15 4:15,22.9,,
2021/08/15 4:16,22.9,,
2021/08/15 4:17,23.0,,
2021/08/15 4:18,23.0,,
2021/08/15 4:19,22.9,,
2021/08/15 4:20,23.0,,
2021/08/15 4:21,23.0,,
2021/08/15 4:22,23.2,,
2021/08/15 4:23,23.2,,
2021/08/15 4:24,23.2,,
2021/08/15 4:25,23.1,,
2021/08/15 4:26,23.1,,
2021/08/15 4:27,23.2,,
2021/08/15 4:28,23.1,,
2021/08/15 4:29,23.0,,
2021/08/15 4:30,22.9,,
2021/08/15 4:31,22.8,,
2021/08/15 4:32,22.8,,
2021/08/15 4:33,22.8,,
2021/08/15 4:34,22.9,,
2021/08/15 4:35,22.8,,
2021/08/15 4:36,22.7,,
2021/08/15 4:37,22.7,,
2021/08/15 4:38,22.6,,
2021/08/15 4:39,22.6,,
2021/08/15 4:40,22.6,,
2021/08/15 4:41,22.5,,
2021/08/15 4:42,22.5,,
2021/08/15 4:43,22.5,,
2021/08/15 4:44,22.6,,
2021/08/15 4:45,22.6,,
2021/08/15 4:46,22.6,,
2021/08/15 4:47,22.5,,
2021/08/15 4:48,22.4,,
2021/08/15 4:49,22.5,,
2021/08/15 4:50,22.4,,
2021/08/15 4:51,22.4,,
2021/08/15 4:52,22.4,,
2021/08/15 4:53,22.3,,
2021/08/15 4:54,22.4,,
2021/08/15 4:55,22.4,,
2021/08/15 4:56,22.4,,
2021/08/15 4:57,22.5,,
2021/08/15 4:58,22.4,,
2021/08/15 4:59,22.3,,
2021/08/15 5:00,22.3,,
2021/08/15 5:01,22.3,,
2021/08/15 5:02,22.3,,
2021/08/15 5:03,22.4,,
2021/08/15 5:04,22.4,,
2021/08/15 5:05,22.3,,
2021/08/15 5:06,22.3,,
2021/08/15 5:07,22.3,,
2021/08/15 5:08,22.3,,
2021/08/15 5:09,22.4,,
2021/08/15 5:10,22.3,,
2021/08/15 5:11,22.3,,
2021/08/15 5:12,22.4,,
2021/08/15 5:13,22.4,,
2021/08/15 5:14,22.3,,
2021/08/15 5:15,22.3,,
2021/08/15 5:16,22.2,,
2021/08/15 5:17,22.2,,
2021/08/15 5:18,22.0,,
2021/08/15 5:19,22.0,,
2021/08/15 5:20,22.0,,
2021/08/15 5:21,22.0,,
2021/08/15 5:22,21.9,,
2021/08/15 5:23,21.9,,
2021/08/15 5:24,21.9,,
2021/08/15 5:25,21.9,,
2021/08/15 5:26,21.9,,
2021/08/15 5:27,21.8,,
2021/08/15 5:28,21.8,,
2021/08/15 5:29,21.8,,
2021/08/15 5:30,21.8,,
2021/08/15 5:31,21.9,,
2021/08/15 5:32,21.8,,
2021/08/15 5:33,21.8,,
2021/08/15 5:34,21.9,,
2021/08/15 5:35,21.9,,
2021/08/15 5:36,21.9,,
2021/08/15 5:37,21.9,,
2021/08/15 5:38,21.9,,
2021/08/15 5:39,21.9,,
2021/08/15 5:40,21.8,,
2021/08/15 5:41,21.9,,
2021/08/15 5:42,21.9,,
2021/08/15 5:43,21.9,,
2021/08/15 5:44,21.9,,
2021/08/15 5:45,22.0,,
2021/08/15 5:46,22.1,,
2021/08/15 5:47,22.1,,
2021/08/15 5:48,22.1,,
2021/08/15 5:49,22.0,,
2021/08/15 5:50,22.0,,
2021/08/15 5:51,22.1,,
2021/08/15 5:52,22.1,,
2021/08/15 5:53,22.2,,
2021/08/15 5:54,22.2,,
2021/08/15 5:55,22.2,,
2021/08/15 5:56,22.3,,
2021/08/15 5:57,22.3,,
2021/08/15 5:58,22.3,,
2021/08/15 5:59,22.3,,
2021/08/15 6:00,22.4,,
2021/08/15 6:01,22.4,,
2021/08/15 6:02,22.4,,
2021/08/15 6:03,22.4,,
2021/08/15 6:04,22.4,,
2021/08/15 6:05,22.4,,
2021/08/15 6:06,22.4,,
2021/08/15 6:07,22.5,,
2021/08/15 6:08,22.4,,
2021/08/15 6:09,22.3,,
2021/08/15 6:10,22.3,,
2021/08/15 6:11,22.2,,
2021/08/15 6:12,22.1,,
2021/08/15 6:13,22.1,,
2021/08/15 6:14,22.1,,
2021/08/15 6:15,22.1,,
2021/08/15 6:16,22.1,,
2021/08/15 6:17,22.0,,
2021/08/15 6:18,22.1,,
2021/08/15 6:19,22.1,,
2021/08/15 6:20,22.1,,
2021/08/15 6:21,22.2,,
2021/08/15 6:22,22.2,,
2021/08/15 6:23,22.2,,
2021/08/15 6:24,22.3,,
2021/08/15 6:25,22.4,,
2021/08/15 6:26,22.4,,
2021/08/15 6:27,22.5,,
2021/08/15 6:28,22.5,,
2021/08/15 6:29,22.5,,
2021/08/15 6:30,22.6,,
2021/08/15 6:31,22.6,,
2021/08/15 6:32,22.6,,
2021/08/15 6:33,22.7,,
2021/08/15 6:34,22.7,,
2021/08/15 6:35,22.7,,
2021/08/15 6:36,22.7,,
2021/08/15 6:37,22.7,,
2021/08/15 6:38,22.8,,
2021/08/15 6:39,22.7,,
2021/08/15 6:40,22.8,,
2021/08/15 6:41,22.8,,
2021/08/15 6:42,22.8,,
2021/08/15 6:43,22.8,,
2021/08/15 6:44,22.8,,
2021/08/15 6:45,22.8,,
2021/08/15 6:46,22.8,,
2021/08/15 6:47,22.8,,
2021/08/15 6:48,22.7,,
2021/08/15 6:49,22.7,,
2021/08/15 6:50,22.7,,
2021/08/15 6:51,22.7,,
2021/08/15 6:52,22.7,,
2021/08/15 6:53,22.8,,
2021/08/15 6:54,22.8,,
2021/08/15 6:55,22.8,,
2021/08/15 6:56,22.8,,
2021/08/15 6:57,22.9,,
2021/08/15 6:58,22.9,,
2021/08/15 6:59,22.9,,
2021/08/15 7:00,22.9,,
2021/08/15 7:01,22.9,,
2021/08/15 7:02,22.9,,
2021/08/15 7:03,22.9,,
2021/08/15 7:04,22.9,,
2021/08/15 7:05,22.9,,
2021/08/15 7:06,23.0,,
2021/08/15 7:07,22.9,,
2021/08/15 7:08,23.0,,
2021/08/15 7:09,23.0,,
2021/08/15 7:10,23.0,,
2021/08/15 7:11,22.9,,
2021/08/15 7:12,23.0,,
2021/08/15 7:13,23.0,,
2021/08/15 7:14,23.1,,
2021/08/15 7:15,23.1,,
2021/08/15 7:16,23.1,,
2021/08/15 7:17,23.1,,
2021/08/15 7:18,23.0,,
2021/08/15 7:19,23.0,,
2021/08/15 7:20,23.0,,
2021/08/15 7:21,23.1,,
2021/08/15 7:22,23.1,,
2021/08/15 7:23,23.1,,
2021/08/15 7:24,23.0,,
2021/08/15 7:25,23.0,,
2021/08/15 7:26,22.9,,
2021/08/15 7:27,22.9,,
2021/08/15 7:28,22.9,,
2021/08/15 7:29,22.9,,
2021/08/15 7:30,23.0,,
2021/08/15 7:31,23.0,,
2021/08/15 7:32,23.0,,
2021/08/15 7:33,23.0,,
2021/08/15 7:34,23.0,,
2021/08/15 7:35,23.0,,
2021/08/15 7:36,23.0,,
2021/08/15 7:37,23.0,,
2021/08/15 7:38,22.9,,
2021/08/15 7:39,22.9,,
2021/08/15 7:40,22.9,,
2021/08/15 7:41,22.9,,
2021/08/15 7:42,22.9,,
2021/08/15 7:43,22.9,,
2021/08/15 7:44,22.8,,
2021/08/15 7:45,22.7,,
2021/08/15 7:46,22.8,,
2021/08/15 7:47,22.8,,
2021/08/15 7:48,22.8,,
2021/08/15 7:49,22.8,,
2021/08/15 7:50,22.9,,
2021/08/15 7:51,22.9,,
2021/08/15 7:52,22.9,,
2021/08/15 7:53,22.9,,
2021/08/15 7:54,23.0,,
2021/08/15 7:55,23.1,,
2021/08/15 7:56,23.1,,
2021/08/15 7:57,23.0,,
2021/08/15 7:58,23.1,,
2021/08/15 7:59,23.0,,
2021/08/15 8:00,23.1,,
2021/08/15 8:01,23.1,,
2021/08/15 8:02,23.1,,
2021/08/15 8:03,23.1,,
2021/08/15 8:04,23.1,,
2021/08/15 8:05,23.0,,
2021/08/15 8:06,23.0,,
2021/08/15 8:07,23.1,,
2021/08/15 8:08,23.0,,
2021/08/15 8:09,23.0,,
2021/08/15 8:10,23.0,,
2021/08/15 8:11,22.9,,
2021/08/15 8:12,22.9,,
2021/08/15 8:13,22.8,,
2021/08/15 8:14,22.9,,
2021/08/15 8:15,22.9,,
2021/08/15 8:16,22.9,,
2021/08/15 8:17,22.9,,
2021/08/15 8:18,22.9,,
2021/08/15 8:19,22.8,,
2021/08/15 8:20,22.8,,
2021/08/15 8:21,22.7,,
2021/08/15 8:22,22.8,,
2021/08/15 8:23,22.7,,
2021/08/15 8:24,22.6,,
2021/08/15 8:25,22.5,,
2021/08/15 8:26,22.4,,
2021/08/15 8:27,22.5,,
2021/08/15 8:28,22.5,,
2021/08/15 8:29,22.6,,
2021/08/15 8:30,22.6,,
2021/08/15 8:31,22.6,,
2021/08/15 8:32,22.5,,
2021/08/15 8:33,22.5,,
2021/08/15 8:34,22.5,,
2021/08/15 8:35,22.5,,
2021/08/15 8:36,22.4,,
2021/08/15 8:37,22.5,,
2021/08/15 8:38,22.5,,
2021/08/15 8:39,22.5,,
2021/08/15 8:40,22.5,,
2021/08/15 8:41,22.5,,
2021/08/15 8:42,22.5,,
2021/08/15 8:43,22.5,,
2021/08/15 8:44,22.5,,
2021/08/15 8:45,22.5,,
2021/08/15 8:46,22.3,,
2021/08/15 8:47,22.2,,
2021/08/15 8:48,22.2,,
2021/08/15 8:49,22.3,,
2021/08/15 8:50,22.3,,
2021/08/15 8:51,22.3,,
2021/08/15 8:52,22.3,,
2021/08/15 8:53,22.2,,
2021/08/15 8:54,22.3,,
2021/08/15 8:55,22.3,,
2021/08/15 8:56,22.4,,
2021/08/15 8:57,22.4,,
2021/08/15 8:58,22.4,,
2021/08/15 8:59,22.5,,
2021/08/15 9:00,22.5,,
2021/08/15 9:01,22.5,,
2021/08/15 9:02,22.5,,
2021/08/15 9:03,22.6,,
2021/08/15 9:04,22.7,,
2021/08/15 9:05,22.7,,
2021/08/15 9:06,22.7,,
2021/08/15 9:07,22.7,,
2021/08/15 9:08,22.7,,
2021/08/15 9:09,22.8,,
2021/08/15 9:10,22.8,,
2021/08/15 9:11,22.8,,
2021/08/15 9:12,22.8,,
2021/08/15 9:13,22.8,,
2021/08/15 9:14,22.8,,
2021/08/15 9:15,22.8,,
2021/08/15 9:16,22.8,,
2021/08/15 9:17,22.8,,
2021/08/15 9:18,22.9,,
2021/08/15 9:19,22.9,,
2021/08/15 9:20,22.8,,
2021/08/15 9:21,22.8,,
2021/08/15 9:22,22.9,,
2021/08/15 9:23,23.0,,
2021/08/15 9:24,23.0,,
2021/08/15 9:25,22.9,,
2021/08/15 9:26,22.9,,
2021/08/15 9:27,22.9,,
2021/08/15 9:28,23.0,,
2021/08/15 9:29,23.1,,
2021/08/15 9:30,22.9,,
2021/08/15 9:31,23.0,,
2021/08/15 9:32,23.0,,
2021/08/15 9:33,23.1,,
2021/08/15 9:34,23.0,,
2021/08/15 9:35,23.1,,
2021/08/15 9:36,23.0,,
2021/08/15 9:37,23.1,,
2021/08/15 9:38,23.1,,
2021/08/15 9:39,23.0,,
2021/08/15 9:40,23.0,,
2021/08/15 9:41,23.0,,
2021/08/15 9:42,23.0,,
2021/08/15 9:43,23.0,,
2021/08/15 9:44,23.1,,
2021/08/15 9:45,23.1,,
2021/08/15 9:46,23.0,,
2021/08/15 9:47,23.1,,
2021/08/15 9:48,23.1,,
2021/08/15 9:49,23.0,,
2021/08/15 9:50,23.0,,
2021/08/15 9:51,23.0,,
2021/08/15 9:52,23.0,,
2021/08/15 9:53,22.9,,
2021/08/15 9:54,23.0,,
2021/08/15 9:55,23.1,,
2021/08/15 9:56,23.1,,
2021/08/15 9:57,23.1,,
2021/08/15 9:58,23.1,,
2021/08/15 9:59,23.0,,
2021/08/15 10:00,23.0,,
2021/08/15 10:01,23.0,,
2021/08/15 10:02,22.9,,
2021/08/15 10:03,22.9,,
2021/08/15 10:04,23.0,,
2021/08/15 10:05,23.0,,
2021/08/15 10:06,23.0,,
2021/08/15 10:07,23.1,,
2021/08/15 10:08,23.0,,
2021/08/15 10:09,23.0,,
2021/08/15 10:10,23.0,,
2021/08/15 10:11,23.0,,
2021/08/15 10:12,22.9,,
2021/08/15 10:13,22.9,,
2021/08/15 10:14,23.0,,
2021/08/15 10:15,22.9,,
2021/08/15 10:16,22.9,,
2021/08/15 10:17,23.0,,
2021/08/15 10:18,23.0,,
2021/08/15 10:19,23.0,,
2021/08/15 10:20,22.9,,
2021/08/15 10:21,23.0,,
2021/08/15 10:22,23.0,,
2021/08/15 10:23,23.0,,
2021/08/15 10:24,23.1,,
2021/08/15 10:25,23.0,,
2021/08/15 10:26,22.9,,
2021/08/15 10:27,23.1,,
2021/08/15 10:28,23.1,,
