Date,Temp,RH
2021/08/23 0:00,23.6,,
2021/08/23 0:01,23.6,,
2021/08/23 0:02,23.6,,
2021/08/23 0:03,23.6,,
2021/08/23 0:04,23.6,,
2021/08/23 0:05,23.6,,
2021/08/23 0:06,23.6,,
2021/08/23 0:07,23.6,,
2021/08/23 0:08,23.6,,
2021/08/23 0:09,23.6,,
2021/08/23 0:10,23.6,,
2021/08/23 0:11,23.6,,
2021/08/23 0:12,23.6,,
2021/08/23 0:13,23.6,,
2021/08/23 0:14,23.6,,
2021/08/23 0:15,,,
2021/08/23 0:16,,,
2021/08/23 0:17,,,
2021/08/23 0:18,,,
2021/08/23 0:19,,,
2021/08/23 0:20,23.6,,
2021/08/23 0:21,23.6,,
2021/08/23 0:22,23.6,,
2021/08/23 0:23,23.6,,
2021/08/23 0:24,23.6,,
2021/08/23 0:25,23.6,,
2021/08/23 0:26,23.6,,
2021/08/23 0:27,23.6,,
2021/08/23 0:28,23.6,,
2021/08/23 0:29,23.6,,
2021/08/23 0:30,23.6,,
2021/08/23 0:31,23.6,,
2021/08/23 0:32,23.7,,
2021/08/23 0:33,23.6,,
2021/08/23 0:34,23.6,,
2021/08/23 0:35,23.6,,
2021/08/23 0:36,23.6,,
2021/08/23 0:37,23.6,,
2021/08/23 0:38,23.6,,
2021/08/23 0:39,23.6,,
2021/08/23 0:40,23.6,,
2021/08/23 0:41,23.6,,
2021/08/23 0:42,23.6,,
2021/08/23 0:43,23.6,,
2021/08/23 0:44,23.6,,
2021/08/23 0:45,23.6,,
2021/08/23 0:46,23.6,,
2021/08/23 0:47,23.6,,
2021/08/23 0:48,23.6,,
2021/08/23 0:49,23.6,,
2021/08/23 0:50,23.6,,
2021/08/23 0:51,23.6,,
2021/08/23 0:52,23.6,,
2021/08/23 0:53,23.6,,
2021/08/23 0:54,23.6,,
2021/08/23 0:55,23.6,,
2021/08/23 0:56,23.6,,
2021/08/23 0:57,23.6,,
2021/08/23 0:58,23.6,,
2021/08/23 0:59,23.6,,
2021/08/23 1:00,23.6,,
2021/08/23 1:01,23.6,,
2021/08/23 1:02,23.6,,
2021/08/23 1:03,23.6,,
