Date,Wind Spd, Wind Dir
2021/08/23 0:00,1.0,,
2021/08/23 0:01,1.0,,
2021/08/23 0:02,1.0,,
2021/08/23 0:03,2.0,,
2021/08/23 0:04,2.0,,
2021/08/23 0:05,2.0,,
2021/08/23 0:06,1.0,,
2021/08/23 0:07,1.0,,
2021/08/23 0:08,2.0,,
2021/08/23 0:09,1.0,,
2021/08/23 0:10,1.0,,
2021/08/23 0:11,1.0,,
2021/08/23 0:12,1.0,,
2021/08/23 0:13,1.0,,
2021/08/23 0:14,1.0,,
2021/08/23 0:15,1.0,,
2021/08/23 0:16,1.0,,
2021/08/23 0:17,1.0,,
2021/08/23 0:18,1.0,,
2021/08/23 0:19,1.0,,
2021/08/23 0:20,1.0,,
2021/08/23 0:21,1.0,,
2021/08/23 0:22,1.0,,
2021/08/23 0:23,1.0,,
2021/08/23 0:24,1.0,,
2021/08/23 0:25,1.0,,
2021/08/23 0:26,1.0,,
2021/08/23 0:27,1.0,,
2021/08/23 0:28,2.0,,
2021/08/23 0:29,2.0,,
2021/08/23 0:30,3.0,,
2021/08/23 0:31,3.0,,
2021/08/23 0:32,3.0,,
2021/08/23 0:33,3.0,,
2021/08/23 0:34,3.0,,
2021/08/23 0:35,3.0,,
2021/08/23 0:36,3.0,,
2021/08/23 0:37,3.0,,
2021/08/23 0:38,3.0,,
2021/08/23 0:39,3.0,,
2021/08/23 0:40,3.0,,
2021/08/23 0:41,3.0,,
2021/08/23 0:42,3.0,,
2021/08/23 0:43,3.0,,
2021/08/23 0:44,3.0,,
2021/08/23 0:45,3.0,,
2021/08/23 0:46,3.0,,
2021/08/23 0:47,3.0,,
2021/08/23 0:48,2.0,,
2021/08/23 0:49,2.0,,
2021/08/23 0:50,3.0,,
2021/08/23 0:51,3.0,,
2021/08/23 0:52,3.0,,
2021/08/23 0:53,3.0,,
2021/08/23 0:54,3.0,,
2021/08/23 0:55,3.0,,
2021/08/23 0:56,3.0,,
2021/08/23 0:57,3.0,,
2021/08/23 0:58,3.0,,
2021/08/23 0:59,3.0,,
2021/08/23 1:00,3.0,,
2021/08/23 1:01,3.0,,
2021/08/23 1:02,3.0,,
2021/08/23 1:03,3.0,,
2021/08/23 1:04,3.0,,
2021/08/23 1:05,3.0,,
2021/08/23 1:06,3.0,,
2021/08/23 1:07,3.0,,
2021/08/23 1:08,3.0,,
2021/08/23 1:09,3.0,,
2021/08/23 1:10,3.0,,
2021/08/23 1:11,3.0,,
2021/08/23 1:12,3.0,,
2021/08/23 1:13,3.0,,
2021/08/23 1:14,3.0,,
2021/08/23 1:15,3.0,,
2021/08/23 1:16,3.0,,
2021/08/23 1:17,3.0,,
2021/08/23 1:18,3.0,,
2021/08/23 1:19,3.0,,
2021/08/23 1:20,2.0,,
2021/08/23 1:21,2.0,,
2021/08/23 1:22,1.0,,
2021/08/23 1:23,1.0,,
2021/08/23 1:24,1.0,,
2021/08/23 1:25,1.0,,
2021/08/23 1:26,1.0,,
2021/08/23 1:27,1.0,,
2021/08/23 1:28,1.0,,
2021/08/23 1:29,1.0,,
2021/08/23 1:30,1.0,,
2021/08/23 1:31,1.0,,
2021/08/23 1:32,1.0,,
2021/08/23 1:33,1.0,,
2021/08/23 1:34,1.0,,
2021/08/23 1:35,1.0,,
2021/08/23 1:36,1.0,,
2021/08/23 1:37,1.0,,
2021/08/23 1:38,1.0,,
2021/08/23 1:39,1.0,,
2021/08/23 1:40,1.0,,
2021/08/23 1:41,1.0,,
2021/08/23 1:42,1.0,,
2021/08/23 1:43,1.0,,
2021/08/23 1:44,1.0,,
2021/08/23 1:45,1.0,,
2021/08/23 1:46,1.0,,
2021/08/23 1:47,1.0,,
2021/08/23 1:48,0.0,,
2021/08/23 1:49,0.0,,
2021/08/23 1:50,0.0,,
2021/08/23 1:51,0.0,,
2021/08/23 1:52,0.0,,
2021/08/23 1:53,1.0,,
2021/08/23 1:54,1.0,,
2021/08/23 1:55,1.0,,
2021/08/23 1:56,1.0,,
2021/08/23 1:57,1.0,,
2021/08/23 1:58,2.0,,
2021/08/23 1:59,2.0,,
2021/08/23 2:00,3.0,,
2021/08/23 2:01,3.0,,
2021/08/23 2:02,3.0,,
2021/08/23 2:03,2.0,,
2021/08/23 2:04,2.0,,
2021/08/23 2:05,1.0,,
2021/08/23 2:06,1.0,,
2021/08/23 2:07,1.0,,
2021/08/23 2:08,1.0,,
2021/08/23 2:09,1.0,,
2021/08/23 2:10,1.0,,
2021/08/23 2:11,2.0,,
2021/08/23 2:12,2.0,,
2021/08/23 2:13,2.0,,
2021/08/23 2:14,2.0,,
2021/08/23 2:15,3.0,,
2021/08/23 2:16,3.0,,
2021/08/23 2:17,3.0,,
2021/08/23 2:18,3.0,,
2021/08/23 2:19,3.0,,
2021/08/23 2:20,3.0,,
2021/08/23 2:21,3.0,,
2021/08/23 2:22,3.0,,
2021/08/23 2:23,3.0,,
2021/08/23 2:24,3.0,,
2021/08/23 2:25,3.0,,
2021/08/23 2:26,3.0,,
2021/08/23 2:27,3.0,,
2021/08/23 2:28,2.0,,
2021/08/23 2:29,1.0,,
2021/08/23 2:30,1.0,,
2021/08/23 2:31,1.0,,
2021/08/23 2:32,1.0,,
2021/08/23 2:33,1.0,,
2021/08/23 2:34,1.0,,
2021/08/23 2:35,1.0,,
2021/08/23 2:36,1.0,,
2021/08/23 2:37,1.0,,
2021/08/23 2:38,1.0,,
2021/08/23 2:39,1.0,,
2021/08/23 2:40,1.0,,
2021/08/23 2:41,1.0,,
2021/08/23 2:42,1.0,,
2021/08/23 2:43,1.0,,
2021/08/23 2:44,1.0,,
2021/08/23 2:45,1.0,,
2021/08/23 2:46,1.0,,
2021/08/23 2:47,0.0,,
2021/08/23 2:48,0.0,,
2021/08/23 2:49,0.0,,
2021/08/23 2:50,0.0,,
2021/08/23 2:51,0.0,,
2021/08/23 2:52,0.0,,
2021/08/23 2:53,0.0,,
2021/08/23 2:54,0.0,,
2021/08/23 2:55,0.0,,
2021/08/23 2:56,0.0,,
2021/08/23 2:57,0.0,,
2021/08/23 2:58,0.0,,
2021/08/23 2:59,0.0,,
2021/08/23 3:00,0.0,,
2021/08/23 3:01,0.0,,
2021/08/23 3:02,0.0,,
2021/08/23 3:03,0.0,,
2021/08/23 3:04,0.0,,
2021/08/23 3:05,1.0,,
2021/08/23 3:06,1.0,,
2021/08/23 3:07,1.0,,
2021/08/23 3:08,1.0,,
2021/08/23 3:09,1.0,,
2021/08/23 3:10,1.0,,
2021/08/23 3:11,1.0,,
2021/08/23 3:12,1.0,,
2021/08/23 3:13,1.0,,
2021/08/23 3:14,1.0,,
2021/08/23 3:15,1.0,,
2021/08/23 3:16,1.0,,
2021/08/23 3:17,0.0,,
2021/08/23 3:18,0.0,,
2021/08/23 3:19,0.0,,
2021/08/23 3:20,0.0,,
2021/08/23 3:21,0.0,,
2021/08/23 3:22,0.0,,
2021/08/23 3:23,0.0,,
2021/08/23 3:24,0.0,,
