Date,Temp,RH
2021/08/25 0:00,29.1,78
2021/08/25 0:01,29.2,78
2021/08/25 0:02,29.0,80
2021/08/25 0:03,29.3,79
2021/08/25 0:04,29.3,79
2021/08/25 0:05,29.1,80
2021/08/25 0:06,29.1,80
2021/08/25 0:07,29.1,80
2021/08/25 0:08,29.1,80
2021/08/25 0:09,29.2,79
2021/08/25 0:10,29.3,78
2021/08/25 0:11,29.2,78
2021/08/25 0:12,29.3,78
2021/08/25 0:13,29.3,77
2021/08/25 0:14,29.3,77
2021/08/25 0:15,29.3,77
2021/08/25 0:16,29.2,78
2021/08/25 0:17,29.2,78
2021/08/25 0:18,29.3,77
2021/08/25 0:19,29.1,78
2021/08/25 0:20,29.1,79
2021/08/25 0:21,29.1,78
2021/08/25 0:22,29.1,79
2021/08/25 0:23,29.1,79
2021/08/25 0:24,29.2,78
2021/08/25 0:25,29.3,76
2021/08/25 0:26,29.2,77
2021/08/25 0:27,29.2,77
2021/08/25 0:28,29.2,77
2021/08/25 0:29,29.2,77
2021/08/25 0:30,29.2,78
2021/08/25 0:31,29.1,78
2021/08/25 0:32,29.2,77
2021/08/25 0:33,29.3,77
2021/08/25 0:34,29.2,77
2021/08/25 0:35,29.1,78
2021/08/25 0:36,29.2,78
2021/08/25 0:37,29.5,77
2021/08/25 0:38,29.2,78
2021/08/25 0:39,29.3,78
2021/08/25 0:40,29.3,78
2021/08/25 0:41,29.7,76
2021/08/25 0:42,29.3,78
2021/08/25 0:43,29.4,78
2021/08/25 0:44,29.3,77
2021/08/25 0:45,29.2,78
2021/08/25 0:46,29.4,78
2021/08/25 0:47,29.3,78
2021/08/25 0:48,29.1,79
2021/08/25 0:49,29.1,79
2021/08/25 0:50,29.1,80
2021/08/25 0:51,29.1,79
2021/08/25 0:52,29.2,79
2021/08/25 0:53,29.2,79
2021/08/25 0:54,29.1,80
2021/08/25 0:55,29.2,79
2021/08/25 0:56,29.2,78
2021/08/25 0:57,29.3,78
2021/08/25 0:58,29.3,78
2021/08/25 0:59,29.3,78
2021/08/25 1:00,29.3,77
2021/08/25 1:01,29.3,78
2021/08/25 1:02,29.3,78
2021/08/25 1:03,29.2,78
2021/08/25 1:04,29.2,78
2021/08/25 1:05,29.2,78
2021/08/25 1:06,29.2,78
2021/08/25 1:07,29.2,78
2021/08/25 1:08,29.2,78
2021/08/25 1:09,29.2,78
2021/08/25 1:10,29.2,78
2021/08/25 1:11,29.0,79
2021/08/25 1:12,29.0,79
2021/08/25 1:13,29.1,78
2021/08/25 1:14,29.3,77
2021/08/25 1:15,29.1,79
2021/08/25 1:16,29.0,78
2021/08/25 1:17,29.1,78
2021/08/25 1:18,29.1,77
2021/08/25 1:19,29.1,78
2021/08/25 1:20,29.0,78
2021/08/25 1:21,29.1,78
2021/08/25 1:22,29.1,78
2021/08/25 1:23,29.1,77
2021/08/25 1:24,29.2,77
2021/08/25 1:25,29.1,78
2021/08/25 1:26,29.1,78
2021/08/25 1:27,29.1,78
2021/08/25 1:28,29.3,77
2021/08/25 1:29,29.2,77
2021/08/25 1:30,29.1,77
2021/08/25 1:31,29.1,77
2021/08/25 1:32,29.2,77
2021/08/25 1:33,29.2,77
2021/08/25 1:34,29.2,78
2021/08/25 1:35,29.1,78
2021/08/25 1:36,29.3,77
2021/08/25 1:37,29.2,77
2021/08/25 1:38,29.1,77
2021/08/25 1:39,29.0,77
2021/08/25 1:40,29.2,77
2021/08/25 1:41,29.2,77
2021/08/25 1:42,29.2,77
2021/08/25 1:43,29.2,77
2021/08/25 1:44,29.2,77
2021/08/25 1:45,29.2,76
2021/08/25 1:46,29.2,75
2021/08/25 1:47,29.2,76
2021/08/25 1:48,29.1,76
2021/08/25 1:49,29.2,76
2021/08/25 1:50,29.3,75
2021/08/25 1:51,29.2,75
2021/08/25 1:52,29.3,75
2021/08/25 1:53,29.3,74
2021/08/25 1:54,29.3,74
2021/08/25 1:55,29.3,75
2021/08/25 1:56,29.1,77
2021/08/25 1:57,29.2,75
2021/08/25 1:58,29.2,75
2021/08/25 1:59,29.2,75
2021/08/25 2:00,29.2,75
2021/08/25 2:01,29.3,75
2021/08/25 2:02,29.3,75
2021/08/25 2:03,29.2,75
2021/08/25 2:04,29.2,75
2021/08/25 2:05,29.2,75
2021/08/25 2:06,29.2,75
2021/08/25 2:07,29.2,75
2021/08/25 2:08,29.2,75
2021/08/25 2:09,29.2,75
2021/08/25 2:10,29.1,76
2021/08/25 2:11,29.1,76
2021/08/25 2:12,29.2,76
2021/08/25 2:13,29.1,76
2021/08/25 2:14,29.0,77
2021/08/25 2:15,29.2,76
2021/08/25 2:16,29.4,75
2021/08/25 2:17,29.3,75
2021/08/25 2:18,29.1,76
2021/08/25 2:19,29.0,76
2021/08/25 2:20,29.1,76
2021/08/25 2:21,29.1,76
2021/08/25 2:22,29.2,75
2021/08/25 2:23,29.2,75
2021/08/25 2:24,29.2,75
2021/08/25 2:25,29.2,75
2021/08/25 2:26,29.2,76
2021/08/25 2:27,29.2,75
2021/08/25 2:28,29.2,76
2021/08/25 2:29,29.2,76
2021/08/25 2:30,29.0,76
2021/08/25 2:31,29.2,76
2021/08/25 2:32,29.1,76
2021/08/25 2:33,29.0,76
2021/08/25 2:34,29.2,75
2021/08/25 2:35,29.1,76
2021/08/25 2:36,29.0,76
2021/08/25 2:37,29.2,75
2021/08/25 2:38,29.2,75
2021/08/25 2:39,29.2,76
2021/08/25 2:40,29.0,76
2021/08/25 2:41,28.9,77
2021/08/25 2:42,29.1,76
2021/08/25 2:43,29.0,76
2021/08/25 2:44,29.1,77
2021/08/25 2:45,29.0,77
2021/08/25 2:46,29.1,77
2021/08/25 2:47,29.2,76
2021/08/25 2:48,29.2,76
2021/08/25 2:49,29.1,77
2021/08/25 2:50,29.1,77
2021/08/25 2:51,29.0,77
2021/08/25 2:52,29.0,77
2021/08/25 2:53,29.0,77
2021/08/25 2:54,29.0,75
2021/08/25 2:55,29.0,75
2021/08/25 2:56,29.1,75
2021/08/25 2:57,29.2,74
2021/08/25 2:58,29.3,73
2021/08/25 2:59,29.2,74
2021/08/25 3:00,29.2,74
2021/08/25 3:01,29.1,75
2021/08/25 3:02,29.2,74
2021/08/25 3:03,29.2,74
2021/08/25 3:04,29.2,74
2021/08/25 3:05,29.1,75
