Date,Temp,RH
2021/08/25 0:00,28.6,,
2021/08/25 0:01,28.6,,
2021/08/25 0:02,28.6,,
2021/08/25 0:03,28.6,,
2021/08/25 0:04,28.6,,
2021/08/25 0:05,28.6,,
2021/08/25 0:06,28.6,,
2021/08/25 0:07,28.5,,
2021/08/25 0:08,28.5,,
2021/08/25 0:09,28.5,,
2021/08/25 0:10,28.5,,
2021/08/25 0:11,28.4,,
2021/08/25 0:12,28.4,,
2021/08/25 0:13,28.4,,
2021/08/25 0:14,28.4,,
2021/08/25 0:15,28.4,,
2021/08/25 0:16,28.4,,
2021/08/25 0:17,28.4,,
2021/08/25 0:18,28.3,,
2021/08/25 0:19,28.3,,
2021/08/25 0:20,28.3,,
2021/08/25 0:21,28.3,,
2021/08/25 0:22,28.3,,
2021/08/25 0:23,28.2,,
2021/08/25 0:24,28.2,,
2021/08/25 0:25,28.2,,
2021/08/25 0:26,28.2,,
2021/08/25 0:27,28.2,,
2021/08/25 0:28,28.3,,
2021/08/25 0:29,28.3,,
2021/08/25 0:30,28.3,,
2021/08/25 0:31,28.3,,
2021/08/25 0:32,28.4,,
2021/08/25 0:33,28.4,,
2021/08/25 0:34,28.4,,
2021/08/25 0:35,28.4,,
2021/08/25 0:36,28.4,,
2021/08/25 0:37,28.4,,
2021/08/25 0:38,28.4,,
2021/08/25 0:39,28.4,,
2021/08/25 0:40,28.4,,
2021/08/25 0:41,28.4,,
2021/08/25 0:42,28.4,,
2021/08/25 0:43,28.4,,
2021/08/25 0:44,28.4,,
2021/08/25 0:45,28.4,,
2021/08/25 0:46,28.4,,
2021/08/25 0:47,28.3,,
2021/08/25 0:48,28.3,,
2021/08/25 0:49,28.3,,
2021/08/25 0:50,28.3,,
2021/08/25 0:51,28.2,,
2021/08/25 0:52,28.2,,
2021/08/25 0:53,28.2,,
2021/08/25 0:54,28.2,,
2021/08/25 0:55,28.2,,
2021/08/25 0:56,28.2,,
2021/08/25 0:57,28.2,,
2021/08/25 0:58,28.1,,
2021/08/25 0:59,28.1,,
2021/08/25 1:00,28.1,,
2021/08/25 1:01,28.1,,
2021/08/25 1:02,28.1,,
2021/08/25 1:03,28.1,,
2021/08/25 1:04,28.1,,
2021/08/25 1:05,28.0,,
2021/08/25 1:06,28.0,,
2021/08/25 1:07,28.1,,
2021/08/25 1:08,28.1,,
2021/08/25 1:09,28.2,,
2021/08/25 1:10,28.2,,
2021/08/25 1:11,28.2,,
2021/08/25 1:12,28.2,,
2021/08/25 1:13,28.2,,
2021/08/25 1:14,28.2,,
2021/08/25 1:15,28.2,,
2021/08/25 1:16,28.2,,
2021/08/25 1:17,28.2,,
2021/08/25 1:18,28.2,,
2021/08/25 1:19,28.2,,
2021/08/25 1:20,28.2,,
2021/08/25 1:21,28.2,,
2021/08/25 1:22,28.2,,
2021/08/25 1:23,28.2,,
2021/08/25 1:24,28.2,,
2021/08/25 1:25,28.2,,
2021/08/25 1:26,28.2,,
2021/08/25 1:27,28.2,,
2021/08/25 1:28,28.2,,
2021/08/25 1:29,28.2,,
2021/08/25 1:30,28.2,,
2021/08/25 1:31,28.2,,
2021/08/25 1:32,28.2,,
2021/08/25 1:33,28.2,,
2021/08/25 1:34,28.2,,
2021/08/25 1:35,28.2,,
2021/08/25 1:36,28.2,,
2021/08/25 1:37,28.2,,
2021/08/25 1:38,28.1,,
2021/08/25 1:39,28.1,,
2021/08/25 1:40,28.1,,
2021/08/25 1:41,28.1,,
2021/08/25 1:42,28.2,,
2021/08/25 1:43,28.2,,
2021/08/25 1:44,28.2,,
2021/08/25 1:45,28.2,,
2021/08/25 1:46,28.2,,
2021/08/25 1:47,28.2,,
2021/08/25 1:48,28.2,,
2021/08/25 1:49,28.2,,
2021/08/25 1:50,28.2,,
2021/08/25 1:51,28.3,,
2021/08/25 1:52,28.3,,
2021/08/25 1:53,28.4,,
2021/08/25 1:54,28.4,,
2021/08/25 1:55,28.4,,
2021/08/25 1:56,28.4,,
2021/08/25 1:57,28.4,,
2021/08/25 1:58,28.4,,
2021/08/25 1:59,28.4,,
2021/08/25 2:00,28.4,,
2021/08/25 2:01,28.4,,
2021/08/25 2:02,28.4,,
2021/08/25 2:03,28.4,,
2021/08/25 2:04,28.4,,
2021/08/25 2:05,28.4,,
2021/08/25 2:06,28.4,,
2021/08/25 2:07,28.4,,
2021/08/25 2:08,28.4,,
2021/08/25 2:09,28.4,,
2021/08/25 2:10,28.4,,
2021/08/25 2:11,28.4,,
2021/08/25 2:12,28.4,,
2021/08/25 2:13,28.4,,
2021/08/25 2:14,28.4,,
2021/08/25 2:15,28.4,,
2021/08/25 2:16,28.4,,
2021/08/25 2:17,28.3,,
2021/08/25 2:18,28.3,,
2021/08/25 2:19,28.3,,
2021/08/25 2:20,28.3,,
2021/08/25 2:21,28.3,,
2021/08/25 2:22,28.3,,
2021/08/25 2:23,28.3,,
2021/08/25 2:24,28.3,,
2021/08/25 2:25,28.3,,
2021/08/25 2:26,28.3,,
2021/08/25 2:27,28.3,,
2021/08/25 2:28,28.3,,
2021/08/25 2:29,28.3,,
2021/08/25 2:30,28.3,,
2021/08/25 2:31,28.3,,
2021/08/25 2:32,28.3,,
2021/08/25 2:33,28.3,,
2021/08/25 2:34,28.4,,
2021/08/25 2:35,28.4,,
2021/08/25 2:36,28.4,,
2021/08/25 2:37,28.4,,
2021/08/25 2:38,28.3,,
2021/08/25 2:39,28.3,,
2021/08/25 2:40,28.3,,
2021/08/25 2:41,28.3,,
2021/08/25 2:42,28.4,,
2021/08/25 2:43,28.4,,
2021/08/25 2:44,28.4,,
2021/08/25 2:45,28.4,,
2021/08/25 2:46,28.4,,
