Date,Temp,RH
2021/08/25 0:00,27.1,,
2021/08/25 0:01,27.1,,
2021/08/25 0:02,27.1,,
2021/08/25 0:03,27.1,,
2021/08/25 0:04,27.1,,
2021/08/25 0:05,27.0,,
2021/08/25 0:06,27.0,,
2021/08/25 0:07,27.0,,
2021/08/25 0:08,27.0,,
2021/08/25 0:09,27.0,,
2021/08/25 0:10,27.0,,
2021/08/25 0:11,27.0,,
2021/08/25 0:12,27.0,,
2021/08/25 0:13,26.9,,
2021/08/25 0:14,26.9,,
2021/08/25 0:15,26.9,,
2021/08/25 0:16,26.9,,
2021/08/25 0:17,27.0,,
2021/08/25 0:18,27.0,,
2021/08/25 0:19,27.0,,
2021/08/25 0:20,27.0,,
2021/08/25 0:21,27.0,,
2021/08/25 0:22,27.0,,
2021/08/25 0:23,27.0,,
2021/08/25 0:24,27.0,,
2021/08/25 0:25,27.0,,
2021/08/25 0:26,27.0,,
2021/08/25 0:27,27.0,,
2021/08/25 0:28,27.0,,
2021/08/25 0:29,27.0,,
2021/08/25 0:30,27.0,,
2021/08/25 0:31,27.0,,
2021/08/25 0:32,27.1,,
2021/08/25 0:33,27.1,,
2021/08/25 0:34,27.1,,
2021/08/25 0:35,27.1,,
2021/08/25 0:36,27.1,,
2021/08/25 0:37,27.1,,
2021/08/25 0:38,27.1,,
2021/08/25 0:39,27.1,,
2021/08/25 0:40,27.1,,
2021/08/25 0:41,27.1,,
2021/08/25 0:42,27.1,,
2021/08/25 0:43,27.1,,
2021/08/25 0:44,27.1,,
2021/08/25 0:45,27.1,,
2021/08/25 0:46,27.1,,
2021/08/25 0:47,27.1,,
2021/08/25 0:48,27.1,,
2021/08/25 0:49,27.1,,
2021/08/25 0:50,27.1,,
2021/08/25 0:51,27.1,,
2021/08/25 0:52,27.1,,
2021/08/25 0:53,27.1,,
2021/08/25 0:54,27.1,,
2021/08/25 0:55,27.1,,
2021/08/25 0:56,27.1,,
2021/08/25 0:57,27.1,,
2021/08/25 0:58,27.1,,
2021/08/25 0:59,27.1,,
2021/08/25 1:00,27.1,,
2021/08/25 1:01,27.1,,
2021/08/25 1:02,27.1,,
2021/08/25 1:03,27.1,,
2021/08/25 1:04,27.1,,
2021/08/25 1:05,27.1,,
2021/08/25 1:06,27.1,,
2021/08/25 1:07,27.1,,
2021/08/25 1:08,27.1,,
2021/08/25 1:09,27.1,,
2021/08/25 1:10,27.2,,
2021/08/25 1:11,27.2,,
2021/08/25 1:12,27.2,,
2021/08/25 1:13,27.2,,
2021/08/25 1:14,27.2,,
2021/08/25 1:15,27.2,,
2021/08/25 1:16,27.2,,
2021/08/25 1:17,27.2,,
2021/08/25 1:18,27.2,,
2021/08/25 1:19,27.2,,
2021/08/25 1:20,27.2,,
2021/08/25 1:21,27.2,,
2021/08/25 1:22,27.2,,
2021/08/25 1:23,27.2,,
2021/08/25 1:24,27.2,,
2021/08/25 1:25,27.2,,
2021/08/25 1:26,27.2,,
2021/08/25 1:27,27.2,,
