Date,Temp,RH
2021/08/29 0:00,28.0,,
2021/08/29 0:01,28.0,,
2021/08/29 0:02,28.0,,
2021/08/29 0:03,28.1,,
2021/08/29 0:04,28.1,,
2021/08/29 0:05,28.1,,
2021/08/29 0:06,28.1,,
2021/08/29 0:07,28.0,,
2021/08/29 0:08,27.9,,
2021/08/29 0:09,27.9,,
2021/08/29 0:10,27.8,,
2021/08/29 0:11,27.8,,
2021/08/29 0:12,27.9,,
2021/08/29 0:13,28.0,,
2021/08/29 0:14,28.1,,
2021/08/29 0:15,28.2,,
2021/08/29 0:16,28.2,,
2021/08/29 0:17,28.3,,
2021/08/29 0:18,28.3,,
2021/08/29 0:19,28.4,,
2021/08/29 0:20,28.4,,
2021/08/29 0:21,28.4,,
2021/08/29 0:22,28.4,,
2021/08/29 0:23,28.4,,
2021/08/29 0:24,28.4,,
2021/08/29 0:25,28.4,,
2021/08/29 0:26,28.4,,
2021/08/29 0:27,28.4,,
2021/08/29 0:28,28.4,,
2021/08/29 0:29,28.4,,
2021/08/29 0:30,28.4,,
2021/08/29 0:31,28.4,,
2021/08/29 0:32,28.5,,
2021/08/29 0:33,28.5,,
2021/08/29 0:34,28.5,,
2021/08/29 0:35,28.4,,
2021/08/29 0:36,28.4,,
2021/08/29 0:37,28.5,,
2021/08/29 0:38,28.5,,
2021/08/29 0:39,28.5,,
2021/08/29 0:40,28.5,,
2021/08/29 0:41,28.5,,
2021/08/29 0:42,28.5,,
2021/08/29 0:43,28.5,,
2021/08/29 0:44,28.5,,
2021/08/29 0:45,28.5,,
2021/08/29 0:46,28.5,,
2021/08/29 0:47,28.4,,
2021/08/29 0:48,28.4,,
2021/08/29 0:49,28.4,,
2021/08/29 0:50,28.4,,
2021/08/29 0:51,28.4,,
2021/08/29 0:52,28.5,,
2021/08/29 0:53,28.5,,
2021/08/29 0:54,28.5,,
2021/08/29 0:55,28.5,,
2021/08/29 0:56,28.5,,
2021/08/29 0:57,28.5,,
2021/08/29 0:58,28.5,,
2021/08/29 0:59,28.5,,
2021/08/29 1:00,28.5,,
2021/08/29 1:01,28.6,,
2021/08/29 1:02,28.6,,
2021/08/29 1:03,28.6,,
2021/08/29 1:04,28.6,,
2021/08/29 1:05,28.7,,
2021/08/29 1:06,28.6,,
2021/08/29 1:07,28.6,,
2021/08/29 1:08,28.6,,
2021/08/29 1:09,28.6,,
2021/08/29 1:10,28.6,,
2021/08/29 1:11,28.5,,
2021/08/29 1:12,28.4,,
2021/08/29 1:13,28.4,,
2021/08/29 1:14,28.4,,
2021/08/29 1:15,28.4,,
2021/08/29 1:16,28.4,,
2021/08/29 1:17,28.4,,
2021/08/29 1:18,28.4,,
2021/08/29 1:19,28.3,,
2021/08/29 1:20,28.4,,
2021/08/29 1:21,28.4,,
2021/08/29 1:22,28.4,,
2021/08/29 1:23,28.5,,
2021/08/29 1:24,28.5,,
2021/08/29 1:25,28.5,,
2021/08/29 1:26,28.5,,
2021/08/29 1:27,28.5,,
2021/08/29 1:28,28.5,,
2021/08/29 1:29,28.5,,
2021/08/29 1:30,28.4,,
2021/08/29 1:31,28.4,,
2021/08/29 1:32,28.4,,
2021/08/29 1:33,28.3,,
2021/08/29 1:34,28.3,,
2021/08/29 1:35,28.4,,
2021/08/29 1:36,28.4,,
2021/08/29 1:37,28.3,,
2021/08/29 1:38,28.3,,
2021/08/29 1:39,28.3,,
2021/08/29 1:40,28.2,,
2021/08/29 1:41,28.1,,
2021/08/29 1:42,28.1,,
2021/08/29 1:43,28.1,,
2021/08/29 1:44,28.1,,
2021/08/29 1:45,28.1,,
2021/08/29 1:46,28.1,,
2021/08/29 1:47,28.0,,
2021/08/29 1:48,28.0,,
2021/08/29 1:49,28.1,,
2021/08/29 1:50,28.1,,
2021/08/29 1:51,28.1,,
2021/08/29 1:52,28.1,,
2021/08/29 1:53,28.1,,
2021/08/29 1:54,28.1,,
2021/08/29 1:55,28.1,,
2021/08/29 1:56,28.1,,
2021/08/29 1:57,28.1,,
2021/08/29 1:58,28.1,,
