Date,Wind Spd, Wind Dir
2021/08/29 0:00,5.0,94
2021/08/29 0:01,5.0,95
2021/08/29 0:02,5.0,95
2021/08/29 0:03,5.0,96
2021/08/29 0:04,6.0,93
2021/08/29 0:05,5.0,91
2021/08/29 0:06,5.0,91
2021/08/29 0:07,5.0,9999
2021/08/29 0:08,4.0,9999
2021/08/29 0:09,4.0,68
2021/08/29 0:10,4.0,68
2021/08/29 0:11,4.0,68
2021/08/29 0:12,4.0,69
2021/08/29 0:13,4.0,69
2021/08/29 0:14,3.0,69
2021/08/29 0:15,3.0,69
2021/08/29 0:16,4.0,69
2021/08/29 0:17,4.0,9999
2021/08/29 0:18,4.0,73
2021/08/29 0:19,5.0,73
2021/08/29 0:20,5.0,71
2021/08/29 0:21,4.0,71
2021/08/29 0:22,4.0,71
2021/08/29 0:23,4.0,71
2021/08/29 0:24,4.0,37
2021/08/29 0:25,4.0,9999
2021/08/29 0:26,4.0,9999
2021/08/29 0:27,3.0,88
2021/08/29 0:28,3.0,95
2021/08/29 0:29,3.0,97
2021/08/29 0:30,3.0,94
2021/08/29 0:31,3.0,92
2021/08/29 0:32,3.0,89
2021/08/29 0:33,2.0,90
2021/08/29 0:34,1.0,91
2021/08/29 0:35,1.0,90
2021/08/29 0:36,1.0,89
2021/08/29 0:37,1.0,89
2021/08/29 0:38,1.0,85
2021/08/29 0:39,1.0,84
2021/08/29 0:40,1.0,87
2021/08/29 0:41,1.0,88
2021/08/29 0:42,1.0,88
2021/08/29 0:43,1.0,87
2021/08/29 0:44,1.0,83
2021/08/29 0:45,1.0,80
2021/08/29 0:46,1.0,81
2021/08/29 0:47,2.0,79
2021/08/29 0:48,2.0,79
2021/08/29 0:49,2.0,77
2021/08/29 0:50,2.0,73
2021/08/29 0:51,1.0,70
2021/08/29 0:52,1.0,9999
2021/08/29 0:53,1.0,100
2021/08/29 0:54,2.0,9999
2021/08/29 0:55,3.0,9999
2021/08/29 0:56,3.0,76
2021/08/29 0:57,3.0,75
2021/08/29 0:58,4.0,71
2021/08/29 0:59,4.0,70
2021/08/29 1:00,5.0,70
2021/08/29 1:01,5.0,70
2021/08/29 1:02,5.0,9999
2021/08/29 1:03,5.0,9999
2021/08/29 1:04,5.0,9999
2021/08/29 1:05,5.0,83
2021/08/29 1:06,5.0,80
2021/08/29 1:07,4.0,80
2021/08/29 1:08,4.0,80
2021/08/29 1:09,4.0,80
2021/08/29 1:10,4.0,80
2021/08/29 1:11,4.0,9999
2021/08/29 1:12,4.0,139
2021/08/29 1:13,3.0,9999
2021/08/29 1:14,3.0,9999
2021/08/29 1:15,2.0,115
2021/08/29 1:16,1.0,115
2021/08/29 1:17,1.0,115
2021/08/29 1:18,1.0,115
2021/08/29 1:19,1.0,115
2021/08/29 1:20,1.0,185
2021/08/29 1:21,1.0,182
2021/08/29 1:22,0.0,0
2021/08/29 1:23,0.0,0
2021/08/29 1:24,0.0,0
2021/08/29 1:25,0.0,0
2021/08/29 1:26,0.0,0
2021/08/29 1:27,0.0,0
2021/08/29 1:28,0.0,0
2021/08/29 1:29,0.0,0
2021/08/29 1:30,0.0,0
2021/08/29 1:31,0.0,0
2021/08/29 1:32,0.0,0
2021/08/29 1:33,0.0,0
2021/08/29 1:34,1.0,63
2021/08/29 1:35,1.0,66
2021/08/29 1:36,1.0,66
2021/08/29 1:37,1.0,66
2021/08/29 1:38,1.0,68
2021/08/29 1:39,1.0,70
2021/08/29 1:40,2.0,76
2021/08/29 1:41,2.0,84
2021/08/29 1:42,2.0,89
2021/08/29 1:43,2.0,92
2021/08/29 1:44,2.0,96
2021/08/29 1:45,1.0,98
2021/08/29 1:46,2.0,102
2021/08/29 1:47,2.0,108
2021/08/29 1:48,1.0,112
2021/08/29 1:49,1.0,101
2021/08/29 1:50,1.0,103
