Date,Wind Spd, Wind Dir
2021/08/29 0:00,9.0,92
2021/08/29 0:01,10.0,90
2021/08/29 0:02,10.0,91
2021/08/29 0:03,10.0,90
2021/08/29 0:04,10.0,88
2021/08/29 0:05,10.0,88
2021/08/29 0:06,9.0,88
2021/08/29 0:07,9.0,87
2021/08/29 0:08,9.0,85
2021/08/29 0:09,9.0,84
2021/08/29 0:10,9.0,83
2021/08/29 0:11,9.0,84
2021/08/29 0:12,9.0,83
2021/08/29 0:13,9.0,85
2021/08/29 0:14,10.0,84
2021/08/29 0:15,10.0,82
2021/08/29 0:16,10.0,81
2021/08/29 0:17,10.0,83
2021/08/29 0:18,10.0,83
2021/08/29 0:19,10.0,87
2021/08/29 0:20,10.0,91
2021/08/29 0:21,9.0,92
2021/08/29 0:22,9.0,93
2021/08/29 0:23,8.0,90
2021/08/29 0:24,8.0,90
2021/08/29 0:25,8.0,90
2021/08/29 0:26,8.0,88
2021/08/29 0:27,8.0,85
2021/08/29 0:28,7.0,84
2021/08/29 0:29,8.0,80
2021/08/29 0:30,8.0,77
2021/08/29 0:31,7.0,77
2021/08/29 0:32,7.0,75
2021/08/29 0:33,7.0,78
2021/08/29 0:34,6.0,129
2021/08/29 0:35,6.0,76
2021/08/29 0:36,6.0,9999
2021/08/29 0:37,6.0,98
2021/08/29 0:38,6.0,101
2021/08/29 0:39,6.0,96
2021/08/29 0:40,6.0,94
2021/08/29 0:41,8.0,93
2021/08/29 0:42,8.0,93
2021/08/29 0:43,8.0,95
2021/08/29 0:44,8.0,94
2021/08/29 0:45,8.0,97
2021/08/29 0:46,8.0,97
2021/08/29 0:47,9.0,94
2021/08/29 0:48,9.0,90
2021/08/29 0:49,9.0,88
2021/08/29 0:50,9.0,86
2021/08/29 0:51,9.0,87
2021/08/29 0:52,9.0,92
2021/08/29 0:53,9.0,89
2021/08/29 0:54,9.0,80
2021/08/29 0:55,10.0,77
2021/08/29 0:56,10.0,75
2021/08/29 0:57,9.0,71
2021/08/29 0:58,9.0,67
2021/08/29 0:59,8.0,64
2021/08/29 1:00,8.0,62
2021/08/29 1:01,8.0,56
2021/08/29 1:02,8.0,54
2021/08/29 1:03,8.0,52
2021/08/29 1:04,8.0,49
2021/08/29 1:05,7.0,45
2021/08/29 1:06,6.0,42
2021/08/29 1:07,6.0,64
2021/08/29 1:08,5.0,75
2021/08/29 1:09,5.0,89
2021/08/29 1:10,5.0,95
2021/08/29 1:11,5.0,100
2021/08/29 1:12,5.0,102
2021/08/29 1:13,5.0,103
2021/08/29 1:14,5.0,103
2021/08/29 1:15,6.0,109
2021/08/29 1:16,7.0,113
2021/08/29 1:17,8.0,118
2021/08/29 1:18,9.0,119
2021/08/29 1:19,9.0,116
2021/08/29 1:20,9.0,113
2021/08/29 1:21,9.0,110
2021/08/29 1:22,8.0,108
2021/08/29 1:23,9.0,106
2021/08/29 1:24,9.0,107
2021/08/29 1:25,8.0,104
2021/08/29 1:26,8.0,104
2021/08/29 1:27,8.0,102
2021/08/29 1:28,9.0,101
2021/08/29 1:29,9.0,96
2021/08/29 1:30,9.0,93
2021/08/29 1:31,10.0,92
2021/08/29 1:32,10.0,92
2021/08/29 1:33,10.0,91
2021/08/29 1:34,10.0,89
2021/08/29 1:35,10.0,88
2021/08/29 1:36,10.0,87
2021/08/29 1:37,10.0,88
2021/08/29 1:38,10.0,86
2021/08/29 1:39,10.0,89
2021/08/29 1:40,10.0,59
2021/08/29 1:41,10.0,65
